tab 	er_images
er_citation_names	er_image_name	er_location_name	er_photographer_mail_names	er_site_name	image_date	image_keywords	image_title	image_type
This study	DSC_0001B.JPG	McMurdo	Hubert Staudigel	mc215	2006:12:13:00:00:00.00	South of Abbot peak : paleomagnetic sampling : McMurdo Volcanics	MC215 detail of samples	Outcrop
This study	DSC_0001D.JPG	McMurdo	Hubert Staudigel	mc220	2006:12:18:00:00:00.00	Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC220 outcrop overview	Outcrop
This study	DSC_0002.JPG	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	Tryggve Point : paleomagnetic sampling : McMurdo Volcanics	MC205 detail of samples	Outcrop
This study	DSC_0002A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 drilling	Outcrop
This study	DSC_0002B.JPG	McMurdo	Hubert Staudigel	mc215	2006:12:13:00:00:00.00	South of Abbot peak : paleomagnetic sampling : McMurdo Volcanics	MC215 detail of samples	Outcrop
This study	DSC_0002D.JPG	McMurdo	Hubert Staudigel	mc220	2006:12:18:00:00:00.00	Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC220 outcrop overview	Outcrop
This study	DSC_0003.JPG	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	Tryggve Point : paleomagnetic sampling : McMurdo Volcanics	MC205 detail of samples	Outcrop
This study	DSC_0003A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 drilling	Outcrop
This study	DSC_0003B.JPG	McMurdo	Hubert Staudigel	mc215	2006:12:13:00:00:00.00	South of Abbot peak : paleomagnetic sampling : McMurdo Volcanics	MC215 detail of samples	Outcrop
This study	DSC_0004.JPG	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	Tryggve Point : paleomagnetic sampling : McMurdo Volcanics	MC205 detail of samples	Outcrop
This study	DSC_0004A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 detail of samples	Outcrop
This study	DSC_0004B.JPG	McMurdo	Hubert Staudigel	mc215	2006:12:13:00:00:00.00	South of Abbot peak : paleomagnetic sampling : McMurdo Volcanics	MC215 detail of samples	Outcrop
This study	DSC_0004D.JPG	McMurdo	Hubert Staudigel	mc220	2006:12:18:00:00:00.00	Abbot Peak : paleomagnetic sampling : McMurdo Volcanics	MC220 sample detail	Outcrop
This study	DSC_0005.JPG	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	Tryggve Point : paleomagnetic sampling : McMurdo Volcanics	MC205 detail of samples	Outcrop
