tab 	pmag_sites
er_citation_names	er_location_name	er_site_name	magic_method_codes	site_dec	site_inc	site_k	site_n	site_polarity	site_tilt_correction
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	6	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	106.1	-44.2	70	5	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	6	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	112.6	-18.1	70	5	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	7	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	109.8	-62.4	351	6	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	7	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	124.5	-45.3	351	6	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	8	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	140.7	-64.8	679	5	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	8	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	144.3	-47	679	5	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	9	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	110.0	-56.6	321	3	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	9	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	121.0	-39.1	321	3	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	10	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	128.2	-42	59	5	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	10	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	129.7	-12.1	59	5	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	11	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	88.3	-59.1	456	3	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	11	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	106.7	-33.9	456	3	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	12	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	118.6	-48.9	240	5	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	12	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	123.2	-9.6	240	5	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	13	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	128.1	-38	886	3	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	13	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	126.4	-3.3	886	3	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	14	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	108.2	-55.8	121	6	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	14	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	111.9	-36.2	121	6	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	15	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	118.5	-46	402	6	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	15	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	117.6	-16.1	402	6	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	16	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	106.0	-54.2	125	6	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	16	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	107.7	-9.3	125	6	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	17	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	93.7	-54.1	362	4	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	17	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	99.1	-29.8	362	4	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	18	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	116.0	-53	224	4	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	18	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	123.8	-43.2	224	4	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	19	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	131.7	-64.9	871	4	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	19	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	132.1	-53	871	4	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	20	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	119.9	-55.8	108	4	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	20	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	122.3	-46	108	4	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	21	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	94.3	-65.5	84	5	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	21	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	100.8	-45.9	84	5	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	22	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	91.8	-58.2	94	5	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	22	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	97.9	-38.9	94	5	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	23	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	114.3	-64	69	4	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	23	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	122.1	-55.1	69	4	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	24	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	116.8	-40.4	77	3	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	24	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	122.2	-22.3	77	3	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	25	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	126.3	-58.7	166	3	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	25	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	130.9	-39.2	166	3	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	26	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	112.0	-75.1	3634	3	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	26	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	127.6	-56.2	3634	3	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	27	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	118.6	-70.3	729	3	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	27	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	122.3	-60.5	729	3	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	28	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	132.6	-54.1	1039	3	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	28	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	132.3	-47.2	1039	3	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	29	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	129.1	-54.5	1149	3	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	29	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	129.3	-47.5	1149	3	r	0
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	30	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	80.5	-80.4	267	5	r	100
This study	Osler Volcanics, Nipigon Strait, Lower Reversed	30	DE-K:FS-FD:FS-H:LP-DC2:SO-SM	98.7	-75.8	267	5	r	0
