tab 	criteria
citations	criterion	criterion_operation	criterion_value	decimal_points	description	table_column
This study	DE-SPEC	<=	5	0	Criteria for selection of specimen direction	specimens.dir_mad_free
This study	DE-SPEC	<=	180	0	Criteria for selection of specimen direction	specimens.dir_alpha95
This study	DE-SPEC	>=	4	0	Criteria for selection of specimen direction	specimens.dir_n_measurements
This study	IE-SPEC	<=	11	0	Criteria for selection of specimen intensity	specimens.int_mad_free
This study	IE-SPEC	>=	1	2	Criteria for selection of specimen intensity	specimens.int_q
This study	IE-SPEC	>=	0.3	2	Criteria for selection of specimen intensity	specimens.int_fvds
This study	IE-SPEC	<=	0.14	3	Criteria for selection of specimen intensity	specimens.int_b_beta
This study	IE-SPEC	<=	13	0	Criteria for selection of specimen intensity	specimens.int_dang
This study	IE-SPEC	<=	15	0	Criteria for selection of specimen intensity	specimens.int_md
This study	IE-SPEC	<=	17	0	Criteria for selection of specimen intensity	specimens.int_drats
This study	IE-SPEC	>=	2	0	Criteria for selection of specimen intensity	specimens.int_n_ptrm
This study	DE-SAMP	<=	180	0	Criteria for selection of sample direction	samples.dir_alpha95
This study	IE-SAMP	<=	-1	0	sample intensity	samples.int_abs_sigma
This study	IE-SAMP	<=	200	0	sample intensity	samples.int_abs_sigma_perc
This study	IE-SAMP	>=	1	0	sample intensity	samples.int_n_specimens
This study	DE-SITE	<=	180	0	Criteria for selection of site direction	sites.dir_alpha95
This study	DE-SITE	>=	5	0	Criteria for selection of site direction	sites.dir_n_samples
This study	DE-SITE	>=	4	0	Criteria for selection of site direction	sites.dir_n_specimens_lines
This study	DE-SITE	>=	50	0	Criteria for selection of site direction	sites.dir_k
This study	IE-SITE	<=		0	Criteria for selection of site intensity	sites.int_abs_sigma
This study	IE-SITE	<=	15	0	Criteria for selection of site intensity	sites.int_abs_sigma_perc
This study	IE-SITE	>=	2	0	Criteria for selection of site intensity	sites.int_n_samples
This study	NPOLE	=	n	-999	Criteria for inclusion in normal mean	sites.dir_polarity
This study	RPOLE	=	r	-999	Criteria for inclusion in reverse mean	sites.dir_polarity
This study	average_by_sample_or_site	+	-999	0		samples.int_abs
