tab 	sites
age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
1.18	0.005	Ma	Lisa Tauxe	This study	IE-SPEC	Trachyte flow, N flank Observation hill, Hut Point Peninsula.													Extrusive:Igneous	Lava Flow	0.00001654	0.000003374	20.4	4	-77.85	Trachyte	McMurdo	166.64	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc01b : mc01d : mc01g:mc01a	mc01	pmagpy-2.60	mc01b : mc01d : mc01g:mc01a											
1.18	0.005	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.2	A	258.6	78.6	215.9	7		6	1	r	6.9745	0									McMurdo		DA-DIR-GEO:DE-FM			mc01	pmagpy-2.60	mc01b : mc01c : mc01d : mc01e : mc01f : mc01h:mc01a											
1.18	0.005	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.2		258.6	78.6	215.9	7	7				6.9745	0							-77.85		McMurdo	166.64	DE-DI:DE-FM	i		mc01	pmagpy-2.60	mc01b : mc01c : mc01d : mc01e : mc01f : mc01h:mc01a							4.5	8.1	-67.3	95.2	7
																																mc01													
				This study		Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula.													Extrusive:Igneous	Lava Flow					-77.85	Basalt	McMurdo	166.69				mc02													
0.33	0.01	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.1	A	328.6	-80	1079.2	6		5	1	n	5.9958	0									McMurdo		DA-DIR-GEO:DE-FM			mc02	pmagpy-2.60	mc02b : mc02c : mc02f : mc02g : mc02h:mc02a											
0.33	0.01	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.1		328.6	-80	1079.2	6	6				5.9958	0							-77.85		McMurdo	166.69	DE-DI:DE-FM	i		mc02	pmagpy-2.60	mc02b : mc02c : mc02f : mc02g : mc02h:mc02a							2.5	4.1	79	101.2	6
																																mc02													
				This study		10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula.													Extrusive:Igneous	Lava Flow					-77.84	Basalt	McMurdo	166.76				mc03													
0.348	0.004	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	352	-82.7	864.7	6		6	0	n	5.9942	0									McMurdo		DA-DIR-GEO:DE-FM			mc03	pmagpy-2.60	mc03b : mc03c : mc03d : mc03f : mc03h:mc03a											
0.348	0.004	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		352	-82.7	864.7	6	6				5.9942	0							-77.84		McMurdo	166.76	DE-DI:DE-FM	i		mc03	pmagpy-2.60	mc03b : mc03c : mc03d : mc03f : mc03h:mc03a							3.8	4.4	87.1	123.1	6
																																mc03													
				This study		Basalt volcanic dike at Fortress Rock, Hut Point Peninsula.													Intrusive:Igneous	Volcanic Dike					-77.84	Basalt	McMurdo	166.7				mc04													
0.34	0.003	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.6	A	352.1	-86.8	292.3	5		4	1	n	4.988	0									McMurdo		DA-DIR-GEO:DE-FM			mc04	pmagpy-2.60	mc04b : mc04e : mc04f : mc04g:mc04a											
0.34	0.003	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.6		352.1	-86.8	292.3	5	5				4.988	0							-77.84		McMurdo	166.7	DE-DI:DE-FM	i		mc04	pmagpy-2.60	mc04b : mc04e : mc04f : mc04g:mc04a							17.4	8.9	84.1	355.2	5
																																mc04													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.8	A	13.6	-78.8	254.4	5		5	0	n	4.9843	0	Extrusive:Igneous	Lava Flow					-77.83	Basalt	McMurdo	166.67	DA-DIR-GEO:DE-FM			mc06	pmagpy-2.60	mc06c : mc06d : mc06g : mc06h:mc06a											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.8		13.6	-78.8	254.4	5	5				4.9843	0							-77.83		McMurdo	166.67	DE-DI:DE-FM	i		mc06	pmagpy-2.60	mc06c : mc06d : mc06g : mc06h:mc06a							5.2	9.3	79.8	196	5
																																mc06													
4	4	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	156.9	-69.1	555.9	5		5	0	n	4.9928	0	Extrusive:Igneous	Lava Flow					-77.8	Basalt	McMurdo	166.72	DA-DIR-GEO:DE-FM			mc07	pmagpy-2.60	mc07c : mc07d : mc07e : mc07f:mc07b											
4	4	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.2		156.9	-69.1	555.9	5	5				4.9928	0							-77.8		McMurdo	166.72	DE-DI:DE-FM	i		mc07	pmagpy-2.60	mc07c : mc07d : mc07e : mc07f:mc07b							1.9	6.2	41.2	328.3	5
																																mc07													
				This study		Basalt flow at Breached Cone, Hut Point Peninsula.													Extrusive:Igneous	Lava Flow					-77.8	Basalt	McMurdo	166.83				mc08													
