tab 	images
citations	file	keywords	location	photographers	site	timestamp	title	type
This study	P1080029.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc108	2004:01:08:00:00:00.00	MC108 site overview	Outcrop
This study	P1120001.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc118	2004:01:12:00:00:00.00	MC118 closeup of sampling sites	Outcrop
This study	P1150002.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc118	2004:01:12:00:00:00.00	image of differential GPS system	Outcrop
This study	P1150004.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc119	2004:01:12:00:00:00.00	MC119 detail	Outcrop
This study	P1150005.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc119	2004:01:12:00:00:00.00	MC119 detail	Outcrop
This study	P12500011.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc150	2004:01:26:00:00:00.00	Jasper Konter drilling for paleomagnetic site	Outcrop
This study	P12500014.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc150	2004:01:26:00:00:00.00	MC150 closeup of samples D-J	Outcrop
This study	P12500015.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc150	2004:01:26:00:00:00.00	MC150 closeup of samples A-I	Outcrop
This study	P1250009.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc150	2004:01:26:00:00:00.00	Taylor Valley landscape	Landscape
This study	P1260026.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc152	2004:01:26:00:00:00.00	MC152 detail of sample locations	Outcrop
This study	P1260027.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc152	2004:01:26:00:00:00.00	Jasper Konter chilling out	Outcrop
This study	P1270009.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc154	2004:01:28:00:00:00.00	MC154 view of lava in front of Roaring Valley glacier	Outcrop
This study	P1280023.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc156	2004:01:28:00:00:00.00	MC156 closeup of sampling locations	Outcrop
This study	P1280024.JPG	overview	McMurdo	Lisa Tauxe	mc156	2004:01:28:00:00:00.00	MC156 view up valley	Outcrop
This study	P12800012_1.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc158	2004:01:29:00:00:00.00	Jasper Konter at the bar	Outcrop
This study	P1280004.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc158	2004:01:29:00:00:00.00	MC158 detail of sampling locations	Outcrop
This study	P1280005.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc158	2004:01:29:00:00:00.00	MC158 detail of sampling locations	Outcrop
This study	P1280006.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc158	2004:01:29:00:00:00.00	MC158 detail of sampling locations	Outcrop
This study	P1290039.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc160	2004:01:29:00:00:00.00	MC160 detail of samples A-F	Outcrop
This study	P1290040.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc160	2004:01:29:00:00:00.00	MC160 detail of samples F-L	Outcrop
This study	P1290041.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc160	2004:01:29:00:00:00.00	MC160 detail of samples A-G	Outcrop
This study	P1290005.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc161	2004:01:30:00:00:00.00	MC 161 detail of sampling locations	Outcrop
This study	P1290006.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc161	2004:01:30:00:00:00.00	MC 161 detail of sampling locations	Outcrop
This study	P1290007.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc161	2004:01:30:00:00:00.00	MC 161 detail of sampling locations	Outcrop
This study	P1290008.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc161	2004:01:30:00:00:00.00	MC 161 detail of sampling locations	Outcrop
This study	P1290009.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc161	2004:01:30:00:00:00.00	MC 161 detail of sampling locations	Outcrop
This study	P1300016.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc162	2004:01:30:00:00:00.00	MC162 detail of sampling locations	Outcrop
This study	P1300017.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc162	2004:01:30:00:00:00.00	MC162 detail of sampling locations	Outcrop
This study	P1300018.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc162	2004:01:30:00:00:00.00	MC162 detail of sampling locations	Outcrop
This study	P1300019.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc162	2004:01:30:00:00:00.00	Jasper Konter wrapping samples	Outcrop
This study	P1300083.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc163	2004:01:30:00:00:00.00	MC163 detail of sampling locations	Outcrop
This study	P1300084.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc163	2004:01:30:00:00:00.00	MC163 detail of sampling locations	Outcrop
This study	P1300085.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	McMurdo	Lisa Tauxe	mc163	2004:01:30:00:00:00.00	Jasper Konter wrapping more samples	Outcrop
