tab 	samples														
azimuth	azimuth_dec_correction	citations	description	dip	geologic_classes	geologic_types	lat	lithologies	lon	magic_method_codes	method_codes	orientation_flag	sample	site	cooling_rate
260	0	This study	"Archived samples from 1965, 66 expeditions."	-57	Extrusive:Igneous	Lava Flow	-77.85	Trachyte	166.64	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc01a	mc01	1.00E+10
189	0	This study	"Archived samples from 1965, 66 expeditions."	-63	Extrusive:Igneous	Lava Flow	-77.85	Trachyte	166.64	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc01b	mc01	1.00E+10
183	0	This study	"Archived samples from 1965, 66 expeditions."	-30	Extrusive:Igneous	Lava Flow	-77.85	Trachyte	166.64	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc01c	mc01	1.00E+10
133	0	This study	"Archived samples from 1965, 66 expeditions."	-57	Extrusive:Igneous	Lava Flow	-77.85	Trachyte	166.64	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc01d	mc01	1.00E+10
91	0	This study	"Archived samples from 1965, 66 expeditions."	-51	Extrusive:Igneous	Lava Flow	-77.85	Trachyte	166.64	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc01e	mc01	1.00E+10
94	0	This study	"Archived samples from 1965, 66 expeditions."	-55	Extrusive:Igneous	Lava Flow	-77.85	Trachyte	166.64	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc01f	mc01	1.00E+10
69	0	This study	"Archived samples from 1965, 66 expeditions."	-56	Extrusive:Igneous	Lava Flow	-77.85	Trachyte	166.64	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc01g	mc01	1.00E+10
157	0	This study	"Archived samples from 1965, 66 expeditions."	-41	Extrusive:Igneous	Lava Flow	-77.85	Trachyte	166.64	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc01h	mc01	1.00E+10
190	0	This study	"Archived samples from 1965, 66 expeditions."	-50	Extrusive:Igneous	Lava Flow	-77.85	Basalt	166.69	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc02a	mc02	1.00E+10
231	0	This study	"Archived samples from 1965, 66 expeditions."	-59	Extrusive:Igneous	Lava Flow	-77.85	Basalt	166.69	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc02b	mc02	1.00E+10
220	0	This study	"Archived samples from 1965, 66 expeditions."	-58	Extrusive:Igneous	Lava Flow	-77.85	Basalt	166.69	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc02c	mc02	1.00E+10
246	0	This study	"Archived samples from 1965, 66 expeditions."	-68	Extrusive:Igneous	Lava Flow	-77.85	Basalt	166.69	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc02d	mc02	1.00E+10
235	0	This study	"Archived samples from 1965, 66 expeditions ## direction deleted because: bad mark in field##."	-43	Extrusive:Igneous	Lava Flow	-77.85	Basalt	166.69	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	b	mc02e	mc02	1.00E+10
182	0	This study	"Archived samples from 1965, 66 expeditions."	-50	Extrusive:Igneous	Lava Flow	-77.85	Basalt	166.69	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc02f	mc02	1.00E+10
197	0	This study	"Archived samples from 1965, 66 expeditions."	-32	Extrusive:Igneous	Lava Flow	-77.85	Basalt	166.69	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc02g	mc02	1.00E+10
298	0	This study	"Archived samples from 1965, 66 expeditions."	-48	Extrusive:Igneous	Lava Flow	-77.85	Basalt	166.69	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc02h	mc02	1.00E+10
306	0	This study	"Archived samples from 1965, 66 expeditions."	-68	Extrusive:Igneous	Lava Flow	-77.84	Basalt	166.76	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc03a	mc03	1.00E+10
287	0	This study	"Archived samples from 1965, 66 expeditions."	-66	Extrusive:Igneous	Lava Flow	-77.84	Basalt	166.76	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc03b	mc03	1.00E+10
291	0	This study	"Archived samples from 1965, 66 expeditions."	-76	Extrusive:Igneous	Lava Flow	-77.84	Basalt	166.76	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc03c	mc03	1.00E+10
250	0	This study	"Archived samples from 1965, 66 expeditions."	-58	Extrusive:Igneous	Lava Flow	-77.84	Basalt	166.76	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc03d	mc03	1.00E+10
309	0	This study	"Archived samples from 1965, 66 expeditions."	-68	Extrusive:Igneous	Lava Flow	-77.84	Basalt	166.76	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc03e	mc03	1.00E+10
305	0	This study	"Archived samples from 1965, 66 expeditions."	-86	Extrusive:Igneous	Lava Flow	-77.84	Basalt	166.76	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc03f	mc03	1.00E+10
288	0	This study	"Archived samples from 1965, 66 expeditions."	-41	Extrusive:Igneous	Lava Flow	-77.84	Basalt	166.76	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc03g	mc03	1.00E+10
274	0	This study	"Archived samples from 1965, 66 expeditions."	-58	Extrusive:Igneous	Lava Flow	-77.84	Basalt	166.76	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc03h	mc03	1.00E+10
91	0	This study	"Archived samples from 1965, 66 expeditions."	-43	Intrusive:Igneous	Volcanic Dike	-77.84	Basalt	166.7	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc04a	mc04	1.00E+10
86	0	This study	"Archived samples from 1965, 66 expeditions."	-50	Intrusive:Igneous	Volcanic Dike	-77.84	Basalt	166.7	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc04b	mc04	1.00E+10
121	0	This study	"Archived samples from 1965, 66 expeditions."	-33	Extrusive:Igneous	Volcanic Dike	-77.84	Basalt	166.7	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc04c	mc04	1.00E+10
92	0	This study	"Archived samples from 1965, 66 expeditions."	-55	Extrusive:Igneous	Volcanic Dike	-77.84	Basalt	166.7	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc04d	mc04	1.00E+10
124	0	This study	"Archived samples from 1965, 66 expeditions."	-68	Intrusive:Igneous	Volcanic Dike	-77.84	Basalt	166.7	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc04e	mc04	1.00E+10
151	0	This study	"Archived samples from 1965, 66 expeditions."	-39	Intrusive:Igneous	Volcanic Dike	-77.84	Basalt	166.7	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc04f	mc04	1.00E+10
306	0	This study	"Archived samples from 1965, 66 expeditions."	-29	Intrusive:Igneous	Volcanic Dike	-77.84	Basalt	166.7	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc04g	mc04	1.00E+10
44	0	This study	"Archived samples from 1965, 66 expeditions ## direction deleted because: bad mark in field##."	-55	Intrusive:Igneous	Volcanic Dike	-77.84	Basalt	166.7	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	b	mc04h	mc04	1.00E+10
137	0	This study	"Archived samples from 1965, 66 expeditions."	-23	Extrusive:Igneous	Lava Flow	-77.83	Basalt	166.67	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc06a	mc06	1.00E+10
171	0	This study	"Archived samples from 1965, 66 expeditions."	-13	Extrusive:Igneous	Lava Flow	-77.83	Basalt	166.67	SO-SIGHT:FS-FD	SO-SIGHT:FS-FD	g	mc06b	mc06	1.00E+10
