tab 	sites																																
age	age_high	age_low	age_unit	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	magic_method_codes	method_codes	result_type	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
-740	-732	-800	Years Cal AD (+/-)	This study		Tel Hazor startum 5											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz05							
-740	-732	-800	Years Cal AD (+/-)	This study		Tel Hazor startum 6											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz06							
-850	-800	-900	Years Cal AD (+/-)	This study		Tel Hazor startum 7											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz07							
-950	-900	-1000	Years Cal AD (+/-)	This study		Tel Hazor startum 9											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz09							
-950	-900	-1000	Years Cal AD (+/-)	This study		Tel Hazor startum 10											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz10							
-1050	-1000	-1100	Years Cal AD (+/-)	This study		Tel Hazor startum 11											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz11							
-1250	-1250	-1350	Years Cal AD (+/-)	This study		Tel Hazor startum 13											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz13							
-1550	-1450	-1650	Years Cal AD (+/-)	This study		Tel Hazor startum 15											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz15							
-2150	-2000	-2300	Years Cal AD (+/-)	This study		Tel Hazor startum 18											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz18							
-2700	-2500	-2800	Years Cal AD (+/-)	This study		Tel Hazor startum 20											Archeologic	Mixed Archeological Objects	33.017	Not Specified	Tel Hazor	35.568				hz20							
-1450	-1400	-1500	Years Cal AD (+/-)	This study		Tel Megiddo stratum F-10											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgf10							
-1800	-1700	-1900	Years Cal AD (+/-)	This study		Tel Megiddo stratum  F-13											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgf13							
-740	-732	-800	Years Cal AD (+/-)	This study		Tel Megiddo stratum  H-3											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgh03							
-900	-850	-950	Years Cal AD (+/-)	This study		Tel Megiddo stratum  H-7											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgh07							
-1000	-950	-1050	Years Cal AD (+/-)	This study		Tel Megiddo stratum  H-9											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgh09							
-1125	-1100	-1150	Years Cal AD (+/-)	This study		Tel Megiddo stratum  H-12											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgh12							
-3000	-2900	-3100	Years Cal AD (+/-)	This study		Tel Megiddo stratum  J-4											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgj04							
-2700	-2800	-2600	Years Cal AD (+/-)	This study		Tel Megiddo stratum J-6											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgj06							
-1130	-1180	-1130	Years Cal AD (+/-)	This study		Tel Megiddo stratum  K-6											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgk06							
-1250	-1200	-1300	Years Cal AD (+/-)	This study		Tel Megiddo stratum K-8											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgk08							
-1350	-1300	-1400	Years Cal AD (+/-)	This study		Tel Megiddo stratum  K-9											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgk09							
-900	-850	-950	Years Cal AD (+/-)	This study		Tel Megiddo stratum  Q-5											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185				mgq05							
