tab	pmag_results	torsvik08	SAFR		SAFR**		NAM		EUR		SAC		IND		AUS	
average_age	average_n	average_alpha95	vgp_lat	vgp_lon	vgp_lat	vgp_lon	vgp_lat	vgp_lon	vgp_lat	vgp_lon	vgp_lat	vgp_lon	vgp_lat	vgp_lon	vgp_lat	vgp_lon
0	18	3	-87.8	326	-89.2	297.9	-87.6	322.4	-87.6	313.6	-87.7	307.3	-89.1	22.3	-89.2	120
10	30	2.5	-87.6	323.9	-88.8	86.3	-87.2	318.4	-87.2	305	-87.3	292.8	-88.7	71.9	-87.5	134
20	23	3	-85.3	345.5	-85.3	49.3	-84.6	331.2	-85	317.4	-84.9	292.3	-84.8	86.1	-82.3	123
30	18	2.8	-82.1	5.8	-83.2	26.4	-81.6	343.6	-82.7	332.5	-83.2	302.8	-79.4	91	-76.5	115.6
40	19	2.8	-80.8	17.5	-81.6	38.4	-80.9	345.2	-82.3	330.5	-82.8	299.6	-74.2	100	-72.2	118.4
50	27	2.6	-76.8	21.6	-78.8	41.1	-77.1	349.8	-79.1	334.2	-80.4	311.7	-63.9	95.3	-70.2	113.9
60	30	2.4	-74.3	33.5	-74.2	46.3	-75.1	4.1	-79	346.8	-80.9	331.7	-51.6	96.4	-66.3	112.3
70	20	2.7	-72.5	47.2	-69.5	51.8	-74.3	17.1	-80.3	1.8	-82	354	-39	99.6	-61.9	114.5
80	23	2.6	-70.8	48.1	-69.4	49.2	-75.4	5.7	-79.6	350	-82.5	330.3	-28.5	104.7	-64	121
90	27	2.6	-69.5	54.7	-68.4	55.1	-76.4	5.8	-80.3	349.1	-84	323.3	-23.5	108.9	-62.8	127.4
100	11	4.1	-67.7	60.8	-67.2	61.9	-77.3	6.2	-81	346.2	-85.5	312.7	-19.7	112.2	-60.9	133.3
110	16	3.6	-57.9	79.2	-57.1	81.2	-75	19.4	-80.7	11.4	-87.1	74	-11.5	116.3	-52.6	143.4
120	24	2.6	-53.8	81.3	-53.4	82.2	-72.6	18.6	-78.4	16.5	-85	67.6	-7.7	116.8	-50.1	144.7
130	18	2.9	-50.6	80	-50.6	81	-70	12.7	-75.2	13.6	-83.8	47.9	-3.4	116.1	-49.1	145.3
140	10	6.1	-49.2	73.1	-49	74.9	-67.4	355.1	-70.4	356.7	-82.7	2	-0.3	114.8	-50.9	149.5
150	16	5.9	-55.2	65	-56.8	68.3	-68.7	327.2	-67.7	328.2	-81.9	301.3	-10.5	118.5	-54.6	166.9
160	14	6	-59.3	67	-61.6	69.4	-70.9	315.6	-68.2	316.2	-82.4	270.5	-14.6	124	-52	177.4
170	23	3.8	-61.2	77.6	-60.5	75.3	-73.9	306.8	-69.9	306.1	-84.2	223.8	-14.1	130.3	-46.3	180.8
180	26	3.6	-64.1	77.4	-63.5	76	-74.2	294.2	-68.8	296.7	-81.3	221.2	-16.7	131.7	-46.1	185
190	31	3.5	-71.8	68.8	-71.8	71	-70.9	265.5	-63.4	278.4	-73	227	-24.8	133.6	-47	197
200	35	3.2	-70.8	54.4	-71.5	58.8	-65.9	266.8	-59.2	282.3	-71.3	241.2	-27.4	129.2	-51.4	199.5
210	32	2.7	-66.9	43.6	-67.8	47.5	-60.8	271.6	-55.7	290.7	-69.8	257.2	-28.3	123.1	-56.9	199.6
220	29	2	-62.8	37.2	-64.6	40.9	-56.1	275.1	-53.6	300.5	-67.6	269.5	-28.7	117.5	-61.9	199
230	28	2.6	-58.6	40	-61	43.8	-54.7	282.4	-54.3	313.2	-68.7	281	-25.3	114.2	-64.2	190.8
240	35	3.6	-53.5	47.4	-55.2	49.9	-54.6	293.7	-55.6	330.5	-71.6	298.4	-19	112.4	-63.9	175.8
250	38	4.4	-49.6	55.4	-48.8	54.2	-55.5	304.5	-56.7	343.4	-74.4	317.6	-12.8	112.9	-60.4	164.7
260	26	5.4	-48.1	54.8	-47.1	52.8	-54.2	305.9	-55.3	344.8	-73.3	321.4	-11.9	111.6	-61	161.8
270	28	4.1	-43.2	50.3	-44.4	49	-48.4	307.4	-49.6	346.1	-67.8	326.9	-10.8	105.7	-64.5	151.7
280	57	2.4	-38.4	48.6	-39	48	-43.8	310.2	-44.9	348.9	-63.3	332.6	-8.4	101.2	-65.7	140
290	70	1.8	-37.2	45.8	-37.8	45.8	-41.6	308.7	-42.7	347.3	-61	330.6	-9.3	98.9	-67.7	136.4
300	39	2.3	-34.6	46.9	-34.9	46.1	-40	311.7	-41.1	350.3	-59.6	335.3	-6.9	97.6	-66.2	130.4
310	20	4.9	-30.5	49.9	-29.4	46	-38	317.3	-39	355.9	-57.6	343.7	-2.2	96.3	-62.6	123.3
320	10	8.6	-28.5	42.5	-25.9	38.7	-32.8	311.7	-34.7	1.1	-50.9	353.4	-9.3	82	-64.2	88.3
