specimen	treatment	treatment_type	moment	dec_s	inc_s
sr01a1	0	T	4.07E-02	173.9	26.3
sr01c2	0	T	1.04E-01	160	26.1
sr01i1	0	T	2.26E-02	205.8	53.5
sr01a1	100	T	3.94E-02	170.6	26.7
sr01c2	100	T	1.03E-01	158.6	26.2
sr01i1	100	T	1.92E-02	206.1	53.4
sr01a1	100.1	T	3.99E-02	171.8	27.8
sr01c2	100.1	T	1.03E-01	157.6	26.7
sr01i1	100.1	T	2.11E-02	207.2	57.1
sr01a1	150	T	3.91E-02	173.4	26.7
sr01c2	150	T	1.02E-01	161.5	26.3
sr01i1	150	T	1.82E-02	205.7	53.2
sr01a1	150.1	T	3.96E-02	170.3	28.7
sr01c2	150.1	T	1.03E-01	159.1	27.1
sr01i1	150.1	T	2.12E-02	207.3	59.2
sr01a1	200	T	3.87E-02	171.1	26.9
sr01c2	200	T	1.02E-01	160.8	26.4
sr01i1	200	T	1.74E-02	206.1	53.3
sr01a1	100.2	T	3.90E-02	171.6	28
sr01c2	100.2	T	1.02E-01	160.1	26.9
sr01i1	100.2	T	1.97E-02	205.3	58.1
sr01a1	200.1	T	3.93E-02	170.9	29.7
sr01c2	200.1	T	1.02E-01	159.6	27.8
sr01i1	200.1	T	2.18E-02	207.3	61.7
sr01a1	250	T	3.80E-02	170.6	26.9
sr01c2	250	T	1.00E-01	159.6	26.5
sr01i1	250	T	1.64E-02	211.7	53.4
sr01a1	250.1	T	3.88E-02	172.3	30.6
sr01c2	250.1	T	1.01E-01	159.4	28.4
sr01i1	250.1	T	2.15E-02	206.6	63.3
sr01a1	300	T	3.63E-02	170.5	27.4
sr01c2	300	T	9.75E-02	158.8	26.5
sr01i1	300	T	1.45E-02	207.4	53.6
sr01a1	200.2	T	3.71E-02	171.5	29.8
sr01c2	200.2	T	9.85E-02	159	27.7
sr01i1	200.2	T	1.84E-02	207.3	62.4
sr01a1	300.1	T	3.75E-02	171	32.2
sr01c2	300.1	T	9.93E-02	159.9	29.2
sr01i1	300.1	T	2.06E-02	206.7	66.1
sr01a1	350	T	3.40E-02	172.1	27.5
sr01c2	350	T	9.47E-02	161.7	26.7
sr01i1	350	T	1.27E-02	209.9	54.3
sr01a1	350.1	T	3.60E-02	170.7	35.1
sr01c2	350.1	T	9.74E-02	158.4	30.4
sr01i1	350.1	T	1.99E-02	207	68.3
sr01a1	400	T	2.88E-02	171.4	27.7
sr01c2	400	T	8.98E-02	159.5	26.8
sr01i1	400	T	1.08E-02	208.1	54.2
sr01a1	300.2	T	3.11E-02	178.1	34.1
sr01c2	300.2	T	9.24E-02	160.2	29.5
sr01i1	300.2	T	1.82E-02	210	69.8
sr01a1	400.1	T	3.35E-02	171.4	43.3
sr01c2	400.1	T	9.44E-02	159.3	32.9
sr01i1	400.1	T	2.05E-02	207.2	73.1
sr01a1	450	T	2.15E-02	173.8	27.1
sr01c2	450	T	8.19E-02	159.8	27.1
sr01i1	450	T	8.52E-03	209	55.1
sr01a1	450.1	T	3.58E-02	172.3	59.5
sr01c2	450.1	T	9.31E-02	160.1	39.3
sr01i1	450.1	T	2.24E-02	206.6	77.2
sr01a1	500	T	1.70E-02	173.6	28.1
sr01a1	500	T	1.71E-02	171.2	28
sr01c2	500	T	6.94E-02	160.6	27.3
sr01i1	500	T	5.64E-03	207.6	55
sr01i1	500	T	5.64E-03	208.8	55
sr01a1	400.2	T	2.52E-02	172.4	53.7
sr01c2	400.2	T	7.56E-02	160.3	35.4
sr01i1	400.2	T	1.73E-02	209.6	79.3
sr01a1	500.1	T	2.97E-02	174.5	61.6
sr01c2	500.1	T	8.79E-02	160.4	47.1
sr01i1	500.1	T	2.64E-02	210.4	83.6
sr01a1	525	T	1.20E-02	172.1	28.2
sr01c2	525	T	5.28E-02	159.2	27.8
sr01i1	525	T	3.71E-03	209.5	56.2
sr01a1	525.1	T	3.19E-02	171.1	72.8
sr01c2	525.1	T	9.17E-02	158.4	60.4
sr01i1	525.1	T	3.31E-02	207.7	86.3
sr01c2	550	T	2.76E-02	158.3	28.2
sr01c2	550	T	2.76E-02	160.9	28.4
