specimen	treatment	treatment_type	moment	dec_s	inc_s
sr01f2	0	T	2.79E-02	202.7	22.4
sr01f2	100	T	2.75E-02	198.7	22.1
sr01f2	150	T	2.71E-02	200.8	22
sr01f2	200	T	2.67E-02	202.8	21.9
sr01f2	250	T	2.61E-02	201.6	21.5
sr01f2	300	T	2.50E-02	202.3	21.8
sr01f2	350	T	2.37E-02	201.8	21.6
sr01f2	400	T	2.20E-02	199.9	21.8
sr01f2	450	T	1.83E-02	202.3	21.5
sr01f2	475	T	1.64E-02	201.5	21.6
sr01f2	500	T	1.40E-02	199.7	21.7
sr01f2	525	T	1.08E-02	201.8	21.5
sr01f2	550	T	5.62E-03	203	21.4
sr01f2	575	T	2.29E-03	201.8	21.6
sr01f2	600	T	1.18E-03	200.3	21
sr01f2	625	T	4.74E-04	199.7	20.8
sr01f2	650	T	2.86E-04	201.2	18.2
