tab 	er_specimens
er_analyst_mail_names	er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_alternatives	er_specimen_name	magic_experiment_name	magic_instrument_codes	specimen_volume
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-0	XXX-UTESTA-001H_1A-0	SHLF6601351	XXX-UTESTA-001H_1A-0			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-5	XXX-UTESTA-001H_1A-5	SHLF6601351	XXX-UTESTA-001H_1A-5			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-10	XXX-UTESTA-001H_1A-10	SHLF6601351	XXX-UTESTA-001H_1A-10			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-15	XXX-UTESTA-001H_1A-15	SHLF6601351	XXX-UTESTA-001H_1A-15			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-20	XXX-UTESTA-001H_1A-20	SHLF6601351	XXX-UTESTA-001H_1A-20			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-25	XXX-UTESTA-001H_1A-25	SHLF6601351	XXX-UTESTA-001H_1A-25			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-30	XXX-UTESTA-001H_1A-30	SHLF6601351	XXX-UTESTA-001H_1A-30			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-35	XXX-UTESTA-001H_1A-35	SHLF6601351	XXX-UTESTA-001H_1A-35			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-40	XXX-UTESTA-001H_1A-40	SHLF6601351	XXX-UTESTA-001H_1A-40			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-45	XXX-UTESTA-001H_1A-45	SHLF6601351	XXX-UTESTA-001H_1A-45			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-50	XXX-UTESTA-001H_1A-50	SHLF6601351	XXX-UTESTA-001H_1A-50			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-55	XXX-UTESTA-001H_1A-55	SHLF6601351	XXX-UTESTA-001H_1A-55			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-60	XXX-UTESTA-001H_1A-60	SHLF6601351	XXX-UTESTA-001H_1A-60			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-65	XXX-UTESTA-001H_1A-65	SHLF6601351	XXX-UTESTA-001H_1A-65			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-70	XXX-UTESTA-001H_1A-70	SHLF6601351	XXX-UTESTA-001H_1A-70			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-75	XXX-UTESTA-001H_1A-75	SHLF6601351	XXX-UTESTA-001H_1A-75			
	This study	XXX	UTESTA	XXX-UTESTA-001H_1A-80	XXX-UTESTA-001H_1A-80	SHLF6601351	XXX-UTESTA-001H_1A-80			
