tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_charging_mode	measurement_chi_mass	measurement_chi_qdr_mass	measurement_chi_qdr_volume	measurement_chi_volume	measurement_composite_depth	measurement_core_depth	measurement_csd	measurement_date	measurement_dec	measurement_demagn_code	measurement_description	measurement_elevation	measurement_flag	measurement_freq	measurement_height	measurement_inc	measurement_lab_field_ac	measurement_lab_field_dc	measurement_loop_n	measurement_loop_x	measurement_magn_mass	measurement_magn_moment	measurement_magn_volume	measurement_magnitude	measurement_number	measurement_orient_phi	measurement_orient_theta	measurement_pos_x	measurement_pos_y	measurement_pos_z	measurement_positions	measurement_r2	measurement_sd	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_sweep_rate	measurement_temp	measurement_temp_change	measurement_time_zone	treatment_ac_field	treatment_ac_field_dc_off	treatment_ac_field_dc_on	treatment_ac_field_decay_rate	treatment_dc_field	treatment_dc_field_ac_off	treatment_dc_field_ac_on	treatment_dc_field_decay_rate	treatment_dc_field_phi	treatment_dc_field_theta	treatment_mw_energy	treatment_mw_integral	treatment_mw_power	treatment_mw_time	treatment_temp	treatment_temp_dc_off	treatment_temp_dc_on	treatment_temp_decay_rate
	This study	318			U1356A			318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83		318-U1356A-1R-1-W-83-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.00005674							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83		318-U1356A-1R-1-W-83-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.00005458							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83		318-U1356A-1R-1-W-83-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.00005393							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83		318-U1356A-1R-1-W-83-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.00005465							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83		318-U1356A-1R-1-W-83-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.00005701							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83	318-U1356A-001R-1-W-83		318-U1356A-1R-1-W-83-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.00005473							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53		318-U1356A-1R-2-W-53-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.0003113							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53		318-U1356A-1R-2-W-53-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.0003134							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53		318-U1356A-1R-2-W-53-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.0003108							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53		318-U1356A-1R-2-W-53-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.0003117							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53	318-U1356A-001R-2-W-53		318-U1356A-1R-2-W-53-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.0003117							Bulk sucsecptibility measurement.		g												1												u																						
	This study	318			U1356A			318-U1356A-001R-3-W-21	318-U1356A-001R-3-W-21	318-U1356A-001R-3-W-21		318-U1356A-1R-3-W-21-LP-AN-MS		LP-X:AE-H:LP-AN-MS						0.000066							Bulk sucsecptibility measurement.		g												1												u																						
