tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	318	U1359A		318-U1359A-002H_2A-0	318-U1359A-002H_2A-0	FS-C-DRILL-IODP:SO-V	0			Sedimentary	3.72	2.1		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-0.05	318-U1359A-002H_2A-0.05	FS-C-DRILL-IODP:SO-V	0			Sedimentary	3.77	2.15		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-0.1	318-U1359A-002H_2A-0.1	FS-C-DRILL-IODP:SO-V	0			Sedimentary	3.82	2.2		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-0.15	318-U1359A-002H_2A-0.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary	3.87	2.25		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-0.2	318-U1359A-002H_2A-0.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary	3.92	2.3		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-0.25	318-U1359A-002H_2A-0.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary	3.97	2.35		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-0.3	318-U1359A-002H_2A-0.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.02	2.4		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-0.35	318-U1359A-002H_2A-0.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.07	2.45		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-0.4	318-U1359A-002H_2A-0.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.12	2.5		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-0.45	318-U1359A-002H_2A-0.45	FS-C-DRILL-IODP:SO-V	0			Sedimentary	4.17	2.55		0	-64.904	Not Specified	143.9614	Sediment Layer
