tab 	er_sites
er_citation_names	er_expedition_name	er_location_name	er_site_name	site_class	site_definition	site_lat	site_lithology	site_lon	site_type
This study	318	U1359A	318-U1359A-002H_2A-0	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.05	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.1	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.15	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.2	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.25	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.3	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.35	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.4	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.45	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.5	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.55	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.6	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.65	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.7	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.75	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.8	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.85	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.9	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-0.95	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-1	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-1.05	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-1.1	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-1.15	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A	318-U1359A-002H_2A-1.2	Sedimentary	s	-64.904	Not Specified	143.9614	Sediment Layer
