tab 	er_specimens
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes	specimen_class	specimen_core_depth	specimen_lithology	specimen_type
This study		U1359A	318-U1359A-002H_2A-0.1	318-U1359A-002H_2A-0.1	318-U1359A-002H_2A-0.1		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.15	318-U1359A-002H_2A-0.15	318-U1359A-002H_2A-0.15		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.2	318-U1359A-002H_2A-0.2	318-U1359A-002H_2A-0.2		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.25	318-U1359A-002H_2A-0.25	318-U1359A-002H_2A-0.25		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.3	318-U1359A-002H_2A-0.3	318-U1359A-002H_2A-0.3		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.35	318-U1359A-002H_2A-0.35	318-U1359A-002H_2A-0.35		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.4	318-U1359A-002H_2A-0.4	318-U1359A-002H_2A-0.4		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.45	318-U1359A-002H_2A-0.45	318-U1359A-002H_2A-0.45		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.5	318-U1359A-002H_2A-0.5	318-U1359A-002H_2A-0.5		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.55	318-U1359A-002H_2A-0.55	318-U1359A-002H_2A-0.55		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.6	318-U1359A-002H_2A-0.6	318-U1359A-002H_2A-0.6		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.65	318-U1359A-002H_2A-0.65	318-U1359A-002H_2A-0.65		Sedimentary		Not Specified	Sediment Layer
This study		U1359A	318-U1359A-002H_2A-0.7	318-U1359A-002H_2A-0.7	318-U1359A-002H_2A-0.7		Sedimentary		Not Specified	Sediment Layer
