tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_lithology	site_type
This study	DSDP Site 522	15-1-013	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-022	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-024	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-028	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-031	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-035	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-039	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-041	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-045	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-047	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-051	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-054	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-057	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-060	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-063	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-066	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-069	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-072	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-075	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-079	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-082	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-085	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-088	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-091	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-094	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-097	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-100	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-103	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-106	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-109	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-113	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-115	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-118	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-122	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-125	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-128	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-131	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-134	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-137	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-140	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-144	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-147	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-1-149	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-003	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-005	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-008	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-012	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-014	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-019	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-021	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-024	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-027	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-030	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-034	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-037	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-040	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-043	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-046	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-050	sedimentary	s	nannofossil ooze	sedimentary layer
