tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_chi_volume	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_lab_field_ac	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.1	318-U1361A-001H_2A-0.1	318-U1361A-001H_2A-0.1		318-U1361A-001H_2A-0.1:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	31.3		g	-6.61E+01		2.97E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.15	318-U1361A-001H_2A-0.15	318-U1361A-001H_2A-0.15		318-U1361A-001H_2A-0.15:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	44.9		g	-7.06E+01		3.07E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.2	318-U1361A-001H_2A-0.2	318-U1361A-001H_2A-0.2		318-U1361A-001H_2A-0.2:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	49.7		g	-6.99E+01		3.40E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.25	318-U1361A-001H_2A-0.25	318-U1361A-001H_2A-0.25		318-U1361A-001H_2A-0.25:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	44		g	-6.93E+01		4.03E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.3	318-U1361A-001H_2A-0.3	318-U1361A-001H_2A-0.3		318-U1361A-001H_2A-0.3:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	52.3		g	-6.52E+01		5.06E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.35	318-U1361A-001H_2A-0.35	318-U1361A-001H_2A-0.35		318-U1361A-001H_2A-0.35:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	57.9		g	-6.70E+01		5.89E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.4	318-U1361A-001H_2A-0.4	318-U1361A-001H_2A-0.4		318-U1361A-001H_2A-0.4:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	55.1		g	-7.55E+01		6.27E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.45	318-U1361A-001H_2A-0.45	318-U1361A-001H_2A-0.45		318-U1361A-001H_2A-0.45:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	43.8		g	-7.44E+01		5.96E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.5	318-U1361A-001H_2A-0.5	318-U1361A-001H_2A-0.5		318-U1361A-001H_2A-0.5:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	51.7		g	-6.47E+01		5.37E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.55	318-U1361A-001H_2A-0.55	318-U1361A-001H_2A-0.55		318-U1361A-001H_2A-0.55:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	66.1		g	-5.71E+01		4.75E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.6	318-U1361A-001H_2A-0.6	318-U1361A-001H_2A-0.6		318-U1361A-001H_2A-0.6:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	71.3		g	-6.58E+01		3.65E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.65	318-U1361A-001H_2A-0.65	318-U1361A-001H_2A-0.65		318-U1361A-001H_2A-0.65:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	51.2		g	-7.45E+01		2.92E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.7	318-U1361A-001H_2A-0.7	318-U1361A-001H_2A-0.7		318-U1361A-001H_2A-0.7:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	22.1		g	-7.62E+01		2.53E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.75	318-U1361A-001H_2A-0.75	318-U1361A-001H_2A-0.75		318-U1361A-001H_2A-0.75:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	27.5		g	-7.45E+01		2.63E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.8	318-U1361A-001H_2A-0.8	318-U1361A-001H_2A-0.8		318-U1361A-001H_2A-0.8:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	27.4		g	-7.69E+01		2.79E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.85	318-U1361A-001H_2A-0.85	318-U1361A-001H_2A-0.85		318-U1361A-001H_2A-0.85:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	358.5		g	-8.29E+01		3.05E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.9	318-U1361A-001H_2A-0.9	318-U1361A-001H_2A-0.9		318-U1361A-001H_2A-0.9:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	45.2		g	-7.15E+01		3.26E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-0.95	318-U1361A-001H_2A-0.95	318-U1361A-001H_2A-0.95		318-U1361A-001H_2A-0.95:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	38.8		g	-7.24E+01		3.25E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1	318-U1361A-001H_2A-1	318-U1361A-001H_2A-1		318-U1361A-001H_2A-1:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:48	49.3		g	-7.04E+01		3.35E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1.05	318-U1361A-001H_2A-1.05	318-U1361A-001H_2A-1.05		318-U1361A-001H_2A-1.05:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	55.9		g	-7.04E+01		3.45E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1.1	318-U1361A-001H_2A-1.1	318-U1361A-001H_2A-1.1		318-U1361A-001H_2A-1.1:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	60.6		g	-7.58E+01		3.48E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1.15	318-U1361A-001H_2A-1.15	318-U1361A-001H_2A-1.15		318-U1361A-001H_2A-1.15:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	44.8		g	-7.37E+01		3.51E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1.2	318-U1361A-001H_2A-1.2	318-U1361A-001H_2A-1.2		318-U1361A-001H_2A-1.2:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	35.6		g	-7.15E+01		3.38E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1.25	318-U1361A-001H_2A-1.25	318-U1361A-001H_2A-1.25		318-U1361A-001H_2A-1.25:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	35.8		g	-7.24E+01		3.22E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1.3	318-U1361A-001H_2A-1.3	318-U1361A-001H_2A-1.3		318-U1361A-001H_2A-1.3:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	39.7		g	-7.46E+01		3.05E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1.35	318-U1361A-001H_2A-1.35	318-U1361A-001H_2A-1.35		318-U1361A-001H_2A-1.35:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	37.4		g	-7.32E+01		3.05E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1.4	318-U1361A-001H_2A-1.4	318-U1361A-001H_2A-1.4		318-U1361A-001H_2A-1.4:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	30.4		g	-7.44E+01		3.32E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_2A-1.45	318-U1361A-001H_2A-1.45	318-U1361A-001H_2A-1.45		318-U1361A-001H_2A-1.45:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	31		g	-7.53E+01		3.62E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.1	318-U1361A-001H_3A-0.1	318-U1361A-001H_3A-0.1		318-U1361A-001H_3A-0.1:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	32.3		g	-6.37E+01		3.79E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.15	318-U1361A-001H_3A-0.15	318-U1361A-001H_3A-0.15		318-U1361A-001H_3A-0.15:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	29.2		g	-6.52E+01		3.19E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.2	318-U1361A-001H_3A-0.2	318-U1361A-001H_3A-0.2		318-U1361A-001H_3A-0.2:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	30.2		g	-6.81E+01		2.75E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.25	318-U1361A-001H_3A-0.25	318-U1361A-001H_3A-0.25		318-U1361A-001H_3A-0.25:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	31.1		g	-6.97E+01		2.80E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.3	318-U1361A-001H_3A-0.3	318-U1361A-001H_3A-0.3		318-U1361A-001H_3A-0.3:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	31.2		g	-7.01E+01		3.03E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.35	318-U1361A-001H_3A-0.35	318-U1361A-001H_3A-0.35		318-U1361A-001H_3A-0.35:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	29.1		g	-6.95E+01		3.14E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.4	318-U1361A-001H_3A-0.4	318-U1361A-001H_3A-0.4		318-U1361A-001H_3A-0.4:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	36.1		g	-7.00E+01		3.31E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.45	318-U1361A-001H_3A-0.45	318-U1361A-001H_3A-0.45		318-U1361A-001H_3A-0.45:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	41		g	-7.02E+01		3.54E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.5	318-U1361A-001H_3A-0.5	318-U1361A-001H_3A-0.5		318-U1361A-001H_3A-0.5:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	46.8		g	-6.43E+01		3.80E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.55	318-U1361A-001H_3A-0.55	318-U1361A-001H_3A-0.55		318-U1361A-001H_3A-0.55:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	41.5		g	-6.51E+01		4.00E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.6	318-U1361A-001H_3A-0.6	318-U1361A-001H_3A-0.6		318-U1361A-001H_3A-0.6:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	37.6		g	-6.77E+01		3.95E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.65	318-U1361A-001H_3A-0.65	318-U1361A-001H_3A-0.65		318-U1361A-001H_3A-0.65:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	48.2		g	-6.67E+01		3.92E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
TAUXE	This study	318	U1361A	318-U1361A-001H_3A-0.7	318-U1361A-001H_3A-0.7	318-U1361A-001H_3A-0.7		318-U1361A-001H_3A-0.7:LT-AF-Z	LT-AF-Z	pmagpy-2.93			2010:2:26:13:49	54.1		g	-6.45E+01		4.12E-07	1	u	2.73E+02		2.00E-02	0	0	0	2.73E+02
