tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_alternatives	er_specimen_name	magic_method_codes	specimen_class	specimen_core_depth	specimen_lithology	specimen_type	specimen_volume	specimen_weight
This study	DSDP Site 522	15-1-013	Paul Hartl:Lisa Tauxe	15-1-013	3109	15-1-013	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.23	nannofossil ooze	sedimentary layer	1e-6	1.048e-03
This study	DSDP Site 522	15-1-022	Paul Hartl:Lisa Tauxe	15-1-022	3112	15-1-022	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.31	nannofossil ooze	sedimentary layer	1e-6	1.092e-03
This study	DSDP Site 522	15-1-024	Paul Hartl:Lisa Tauxe	15-1-024	3113	15-1-024	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.34	nannofossil ooze	sedimentary layer	1e-6	1.084e-03
This study	DSDP Site 522	15-1-028	Paul Hartl:Lisa Tauxe	15-1-028	3114	15-1-028	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.38	nannofossil ooze	sedimentary layer	1e-6	1.176e-03
This study	DSDP Site 522	15-1-031	Paul Hartl:Lisa Tauxe	15-1-031	3115	15-1-031	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.41	nannofossil ooze	sedimentary layer	1e-6	1.314e-03
This study	DSDP Site 522	15-1-035	Paul Hartl:Lisa Tauxe	15-1-035	3116	15-1-035	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.44	nannofossil ooze	sedimentary layer	1e-6	1.304e-03
This study	DSDP Site 522	15-1-039	Paul Hartl:Lisa Tauxe	15-1-039	3117	15-1-039	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.48	nannofossil ooze	sedimentary layer	1e-6	1.671e-03
This study	DSDP Site 522	15-1-041	Paul Hartl:Lisa Tauxe	15-1-041	3118	15-1-041	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.51	nannofossil ooze	sedimentary layer	1e-6	9.410e-04
This study	DSDP Site 522	15-1-045	Paul Hartl:Lisa Tauxe	15-1-045	3119	15-1-045	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.54	nannofossil ooze	sedimentary layer	1e-6	1.541e-03
This study	DSDP Site 522	15-1-047	Paul Hartl:Lisa Tauxe	15-1-047	3120	15-1-047	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.56	nannofossil ooze	sedimentary layer	1e-6	1.329e-03
This study	DSDP Site 522	15-1-051	Paul Hartl:Lisa Tauxe	15-1-051	3121	15-1-051	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.6	nannofossil ooze	sedimentary layer	1e-6	1.208e-03
This study	DSDP Site 522	15-1-054	Paul Hartl:Lisa Tauxe	15-1-054	3122	15-1-054	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.63	nannofossil ooze	sedimentary layer	1e-6	1.776e-03
This study	DSDP Site 522	15-1-057	Paul Hartl:Lisa Tauxe	15-1-057	3123	15-1-057	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.66	nannofossil ooze	sedimentary layer	1e-6	9.000e-04
This study	DSDP Site 522	15-1-060	Paul Hartl:Lisa Tauxe	15-1-060	3124	15-1-060	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.7	nannofossil ooze	sedimentary layer	1e-6	1.351e-03
This study	DSDP Site 522	15-1-063	Paul Hartl:Lisa Tauxe	15-1-063	3125	15-1-063	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.73	nannofossil ooze	sedimentary layer	1e-6	1.581e-03
This study	DSDP Site 522	15-1-066	Paul Hartl:Lisa Tauxe	15-1-066	3126	15-1-066	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.76	nannofossil ooze	sedimentary layer	1e-6	1.642e-03
This study	DSDP Site 522	15-1-069	Paul Hartl:Lisa Tauxe	15-1-069	3127	15-1-069	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.78	nannofossil ooze	sedimentary layer	1e-6	1.718e-03
This study	DSDP Site 522	15-1-072	Paul Hartl:Lisa Tauxe	15-1-072	3128	15-1-072	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.81	nannofossil ooze	sedimentary layer	1e-6	1.535e-03
This study	DSDP Site 522	15-1-075	Paul Hartl:Lisa Tauxe	15-1-075	3129	15-1-075	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.85	nannofossil ooze	sedimentary layer	1e-6	1.585e-03
This study	DSDP Site 522	15-1-079	Paul Hartl:Lisa Tauxe	15-1-079	3130	15-1-079	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.88	nannofossil ooze	sedimentary layer	1e-6	1.338e-03
This study	DSDP Site 522	15-1-082	Paul Hartl:Lisa Tauxe	15-1-082	3131	15-1-082	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.91	nannofossil ooze	sedimentary layer	1e-6	1.627e-03
This study	DSDP Site 522	15-1-085	Paul Hartl:Lisa Tauxe	15-1-085	3132	15-1-085	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.94	nannofossil ooze	sedimentary layer	1e-6	1.365e-03
This study	DSDP Site 522	15-1-088	Paul Hartl:Lisa Tauxe	15-1-088	3133	15-1-088	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	55.97	nannofossil ooze	sedimentary layer	1e-6	1.476e-03
This study	DSDP Site 522	15-1-091	Paul Hartl:Lisa Tauxe	15-1-091	3134	15-1-091	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.01	nannofossil ooze	sedimentary layer	1e-6	1.742e-03
This study	DSDP Site 522	15-1-094	Paul Hartl:Lisa Tauxe	15-1-094	3135	15-1-094	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.04	nannofossil ooze	sedimentary layer	1e-6	1.470e-03
This study	DSDP Site 522	15-1-097	Paul Hartl:Lisa Tauxe	15-1-097	3136	15-1-097	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.07	nannofossil ooze	sedimentary layer	1e-6	1.541e-03
This study	DSDP Site 522	15-1-100	Paul Hartl:Lisa Tauxe	15-1-100	3137	15-1-100	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.1	nannofossil ooze	sedimentary layer	1e-6	1.419e-03
This study	DSDP Site 522	15-1-103	Paul Hartl:Lisa Tauxe	15-1-103	3138	15-1-103	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.12	nannofossil ooze	sedimentary layer	1e-6	1.842e-03
This study	DSDP Site 522	15-1-106	Paul Hartl:Lisa Tauxe	15-1-106	3139	15-1-106	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.16	nannofossil ooze	sedimentary layer	1e-6	1.754e-03
This study	DSDP Site 522	15-1-109	Paul Hartl:Lisa Tauxe	15-1-109	3140	15-1-109	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.18	nannofossil ooze	sedimentary layer	1e-6	1.944e-03
This study	DSDP Site 522	15-1-113	Paul Hartl:Lisa Tauxe	15-1-113	3141	15-1-113	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.22	nannofossil ooze	sedimentary layer	1e-6	1.717e-03
This study	DSDP Site 522	15-1-115	Paul Hartl:Lisa Tauxe	15-1-115	3142	15-1-115	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.25	nannofossil ooze	sedimentary layer	1e-6	1.866e-03
This study	DSDP Site 522	15-1-118	Paul Hartl:Lisa Tauxe	15-1-118	3143	15-1-118	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.28	nannofossil ooze	sedimentary layer	1e-6	1.877e-03
This study	DSDP Site 522	15-1-122	Paul Hartl:Lisa Tauxe	15-1-122	3144	15-1-122	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.31	nannofossil ooze	sedimentary layer	1e-6	1.480e-03
This study	DSDP Site 522	15-1-125	Paul Hartl:Lisa Tauxe	15-1-125	3145	15-1-125	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.34	nannofossil ooze	sedimentary layer	1e-6	1.836e-03
This study	DSDP Site 522	15-1-128	Paul Hartl:Lisa Tauxe	15-1-128	3146	15-1-128	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.37	nannofossil ooze	sedimentary layer	1e-6	1.231e-03
This study	DSDP Site 522	15-1-131	Paul Hartl:Lisa Tauxe	15-1-131	3147	15-1-131	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.4	nannofossil ooze	sedimentary layer	1e-6	1.604e-03
This study	DSDP Site 522	15-1-134	Paul Hartl:Lisa Tauxe	15-1-134	3148	15-1-134	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.44	nannofossil ooze	sedimentary layer	1e-6	1.241e-03
This study	DSDP Site 522	15-1-137	Paul Hartl:Lisa Tauxe	15-1-137	3149	15-1-137	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.47	nannofossil ooze	sedimentary layer	1e-6	1.494e-03
This study	DSDP Site 522	15-1-140	Paul Hartl:Lisa Tauxe	15-1-140	3150	15-1-140	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.5	nannofossil ooze	sedimentary layer	1e-6	1.516e-03
This study	DSDP Site 522	15-1-144	Paul Hartl:Lisa Tauxe	15-1-144	3151	15-1-144	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.53	nannofossil ooze	sedimentary layer	1e-6	1.631e-03
This study	DSDP Site 522	15-1-147	Paul Hartl:Lisa Tauxe	15-1-147	3152	15-1-147	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.56	nannofossil ooze	sedimentary layer	1e-6	1.686e-03
This study	DSDP Site 522	15-1-149	Paul Hartl:Lisa Tauxe	15-1-149	3153	15-1-149	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.59	nannofossil ooze	sedimentary layer	1e-6	1.106e-03
This study	DSDP Site 522	15-2-003	Paul Hartl:Lisa Tauxe	15-2-003	3154	15-2-003	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.62	nannofossil ooze	sedimentary layer	1e-6	1.707e-03
This study	DSDP Site 522	15-2-005	Paul Hartl:Lisa Tauxe	15-2-005	3155	15-2-005	FS-C-PISTON-H:FS-C-DRILL-DSDP	sedimentary	56.65	nannofossil ooze	sedimentary layer	1e-6	1.674e-03
