tab 	er_ages
age	age_description	age_unit	er_citation_names	er_location_name	er_site_name	magic_method_codes
22.75		Ma	This study	DSDP Site 522	15-1-013	GM-PMAG-POL:GM-INT-L
22.7786		Ma	This study	DSDP Site 522	15-1-022	GM-PMAG-POL:GM-INT-L
22.7893		Ma	This study	DSDP Site 522	15-1-024	GM-PMAG-POL:GM-INT-L
22.8036		Ma	This study	DSDP Site 522	15-1-028	GM-PMAG-POL:GM-INT-L
22.8143		Ma	This study	DSDP Site 522	15-1-031	GM-PMAG-POL:GM-INT-L
22.825		Ma	This study	DSDP Site 522	15-1-035	GM-PMAG-POL:GM-INT-L
22.8393		Ma	This study	DSDP Site 522	15-1-039	GM-PMAG-POL:GM-INT-L
22.85		Ma	This study	DSDP Site 522	15-1-041	GM-PMAG-POL:GM-INT-L
22.8598		Ma	This study	DSDP Site 522	15-1-045	GM-PMAG-POL:GM-INT-L
22.8663		Ma	This study	DSDP Site 522	15-1-047	GM-PMAG-POL:GM-INT-L
22.8792		Ma	This study	DSDP Site 522	15-1-051	GM-PMAG-POL:GM-INT-L
22.889		Ma	This study	DSDP Site 522	15-1-054	GM-PMAG-POL:GM-INT-L
22.8988		Ma	This study	DSDP Site 522	15-1-057	GM-PMAG-POL:GM-INT-L
22.9118		Ma	This study	DSDP Site 522	15-1-060	GM-PMAG-POL:GM-INT-L
22.9215		Ma	This study	DSDP Site 522	15-1-063	GM-PMAG-POL:GM-INT-L
22.9312		Ma	This study	DSDP Site 522	15-1-066	GM-PMAG-POL:GM-INT-L
22.9377		Ma	This study	DSDP Site 522	15-1-069	GM-PMAG-POL:GM-INT-L
22.9475		Ma	This study	DSDP Site 522	15-1-072	GM-PMAG-POL:GM-INT-L
22.9605		Ma	This study	DSDP Site 522	15-1-075	GM-PMAG-POL:GM-INT-L
22.9703		Ma	This study	DSDP Site 522	15-1-079	GM-PMAG-POL:GM-INT-L
22.98		Ma	This study	DSDP Site 522	15-1-082	GM-PMAG-POL:GM-INT-L
22.9897		Ma	This study	DSDP Site 522	15-1-085	GM-PMAG-POL:GM-INT-L
22.9995		Ma	This study	DSDP Site 522	15-1-088	GM-PMAG-POL:GM-INT-L
23.0125		Ma	This study	DSDP Site 522	15-1-091	GM-PMAG-POL:GM-INT-L
23.0223		Ma	This study	DSDP Site 522	15-1-094	GM-PMAG-POL:GM-INT-L
23.032		Ma	This study	DSDP Site 522	15-1-097	GM-PMAG-POL:GM-INT-L
23.0417		Ma	This study	DSDP Site 522	15-1-100	GM-PMAG-POL:GM-INT-L
23.0483		Ma	This study	DSDP Site 522	15-1-103	GM-PMAG-POL:GM-INT-L
23.0613		Ma	This study	DSDP Site 522	15-1-106	GM-PMAG-POL:GM-INT-L
23.0678		Ma	This study	DSDP Site 522	15-1-109	GM-PMAG-POL:GM-INT-L
23.0808		Ma	This study	DSDP Site 522	15-1-113	GM-PMAG-POL:GM-INT-L
23.0905		Ma	This study	DSDP Site 522	15-1-115	GM-PMAG-POL:GM-INT-L
23.1003		Ma	This study	DSDP Site 522	15-1-118	GM-PMAG-POL:GM-INT-L
23.11		Ma	This study	DSDP Site 522	15-1-122	GM-PMAG-POL:GM-INT-L
23.1204		Ma	This study	DSDP Site 522	15-1-125	GM-PMAG-POL:GM-INT-L
23.1308		Ma	This study	DSDP Site 522	15-1-128	GM-PMAG-POL:GM-INT-L
23.1412		Ma	This study	DSDP Site 522	15-1-131	GM-PMAG-POL:GM-INT-L
23.155		Ma	This study	DSDP Site 522	15-1-134	GM-PMAG-POL:GM-INT-L
23.1654		Ma	This study	DSDP Site 522	15-1-137	GM-PMAG-POL:GM-INT-L
23.1758		Ma	This study	DSDP Site 522	15-1-140	GM-PMAG-POL:GM-INT-L
23.1862		Ma	This study	DSDP Site 522	15-1-144	GM-PMAG-POL:GM-INT-L
23.1965		Ma	This study	DSDP Site 522	15-1-147	GM-PMAG-POL:GM-INT-L
23.2069		Ma	This study	DSDP Site 522	15-1-149	GM-PMAG-POL:GM-INT-L
23.2173		Ma	This study	DSDP Site 522	15-2-003	GM-PMAG-POL:GM-INT-L
23.2277		Ma	This study	DSDP Site 522	15-2-005	GM-PMAG-POL:GM-INT-L
23.2381		Ma	This study	DSDP Site 522	15-2-008	GM-PMAG-POL:GM-INT-L
23.2485		Ma	This study	DSDP Site 522	15-2-012	GM-PMAG-POL:GM-INT-L
23.2588		Ma	This study	DSDP Site 522	15-2-014	GM-PMAG-POL:GM-INT-L
23.2727		Ma	This study	DSDP Site 522	15-2-019	GM-PMAG-POL:GM-INT-L
23.2831		Ma	This study	DSDP Site 522	15-2-021	GM-PMAG-POL:GM-INT-L
23.2935		Ma	This study	DSDP Site 522	15-2-024	GM-PMAG-POL:GM-INT-L
23.3038		Ma	This study	DSDP Site 522	15-2-027	GM-PMAG-POL:GM-INT-L
23.3142		Ma	This study	DSDP Site 522	15-2-030	GM-PMAG-POL:GM-INT-L
23.3246		Ma	This study	DSDP Site 522	15-2-034	GM-PMAG-POL:GM-INT-L
23.3385		Ma	This study	DSDP Site 522	15-2-037	GM-PMAG-POL:GM-INT-L
23.3488		Ma	This study	DSDP Site 522	15-2-040	GM-PMAG-POL:GM-INT-L
23.3592		Ma	This study	DSDP Site 522	15-2-043	GM-PMAG-POL:GM-INT-L
23.3662		Ma	This study	DSDP Site 522	15-2-046	GM-PMAG-POL:GM-INT-L
23.38		Ma	This study	DSDP Site 522	15-2-050	GM-PMAG-POL:GM-INT-L
23.3978		Ma	This study	DSDP Site 522	15-2-055	GM-PMAG-POL:GM-INT-L
23.412		Ma	This study	DSDP Site 522	15-2-058	GM-PMAG-POL:GM-INT-L
23.4191		Ma	This study	DSDP Site 522	15-2-061	GM-PMAG-POL:GM-INT-L
23.4298		Ma	This study	DSDP Site 522	15-2-064	GM-PMAG-POL:GM-INT-L
23.4404		Ma	This study	DSDP Site 522	15-2-067	GM-PMAG-POL:GM-INT-L
23.4511		Ma	This study	DSDP Site 522	15-2-070	GM-PMAG-POL:GM-INT-L
23.4618		Ma	This study	DSDP Site 522	15-2-073	GM-PMAG-POL:GM-INT-L
23.476		Ma	This study	DSDP Site 522	15-2-076	GM-PMAG-POL:GM-INT-L
23.4867		Ma	This study	DSDP Site 522	15-2-079	GM-PMAG-POL:GM-INT-L
