tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_chi_mass	measurement_dec	measurement_flag	measurement_inc	measurement_magn_mass	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	DSDP Site 522	15-1-013	15-1-013	15-1-013	15-1-013:LP-AF-DIR	LT-AF-Z		268.5	g	-41.2	2.910e-06	1	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-013	15-1-013	15-1-013	15-1-013:LP-ARM	LT-AF-I			g		1.794e-04	2	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-013	15-1-013	15-1-013	15-1-013:LP-IRM	LT-IRM			g		3.597e-03	3	u	300	0	1.0	300
This study	DSDP Site 522	15-1-013	15-1-013	15-1-013	15-1-013:LP-X	LP-X	2.376e-07					4		300	10e-3	0	300
This study	DSDP Site 522	15-1-022	15-1-022	15-1-022	15-1-022:LP-AF-DIR	LT-AF-Z		181.0	g	68.6	1.117e-05	5	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-022	15-1-022	15-1-022	15-1-022:LP-ARM	LT-AF-I			g		3.004e-04	6	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-022	15-1-022	15-1-022	15-1-022:LP-IRM	LT-IRM			g		6.190e-03	7	u	300	0	1.0	300
This study	DSDP Site 522	15-1-022	15-1-022	15-1-022	15-1-022:LP-X	LP-X	4.103e-07					8		300	10e-3	0	300
This study	DSDP Site 522	15-1-024	15-1-024	15-1-024	15-1-024:LP-AF-DIR	LT-AF-Z		124.5	g	63.7	5.387e-06	9	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-024	15-1-024	15-1-024	15-1-024:LP-ARM	LT-AF-I			g		3.293e-04	10	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-024	15-1-024	15-1-024	15-1-024:LP-IRM	LT-IRM			g		6.808e-03	11	u	300	0	1.0	300
This study	DSDP Site 522	15-1-024	15-1-024	15-1-024	15-1-024:LP-X	LP-X	4.640e-07					12		300	10e-3	0	300
This study	DSDP Site 522	15-1-028	15-1-028	15-1-028	15-1-028:LP-AF-DIR	LT-AF-Z		123.2	g	59.9	2.687e-06	13	u	300	15e-3	0	300
