tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_uT	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
su100301a	0	480	40	-	1.01	54.9	11.00	5.00	0.80	0.76	0.79	0.20	0.04	4.11	0.75	4.22	-1.00
su100301a	0	500	40	-	1.01	50.2	12.00	6.00	0.90	0.85	0.85	0.18	0.04	3.17	1.49	3.92	-1.00
su100301a	0	515	40	-	1.01	48.5	13.00	6.00	0.94	0.88	0.91	0.17	0.04	2.61	1.43	3.63	-1.00
su100301a	0	530	40	-	1.00	47.4	14.00	7.00	0.98	0.91	0.94	0.16	0.03	2.15	3.73	3.44	-1.00
su100301a	0	545	40	-	1.00	46.9	15.00	7.00	1.00	0.93	0.97	0.16	0.03	1.77	3.70	3.29	-1.00
su100301a	0	560	40	-	1.00	46.6	16.00	8.00	1.01	0.94	0.99	0.16	0.03	1.54	6.02	3.15	-1.00
su100301a	0	580	40	-	1.00	46.7	17.00	8.00	1.00	0.94	1.00	0.16	0.02	1.39	6.13	3.02	-1.00
su100301a	100	500	40	-	1.01	49.2	11.00	6.00	0.88	0.82	0.83	0.19	0.05	2.96	1.49	3.81	-1.00
su100301a	100	515	40	-	1.00	47.6	12.00	6.00	0.92	0.86	0.89	0.17	0.04	2.44	1.43	3.52	-1.00
su100301a	100	530	40	-	1.00	46.5	13.00	7.00	0.96	0.89	0.92	0.17	0.04	2.00	3.73	3.32	-1.00
su100301a	100	545	40	-	1.00	46.1	14.00	7.00	0.98	0.91	0.95	0.16	0.03	1.63	3.70	3.18	-1.00
su100301a	100	560	40	-	1.00	45.9	15.00	8.00	0.99	0.92	0.96	0.16	0.03	1.43	6.02	3.04	-1.00
su100301a	100	580	40	-	1.00	46.0	16.00	8.00	0.98	0.92	0.97	0.16	0.03	1.29	6.13	2.92	-1.00
