tab 	pmag_sites
er_citation_names	er_location_name	er_sample_names	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	site_alpha95	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
This study	Snake River		sr01	sr01a1 : sr01a2 : sr01c2 : sr01d1 : sr01e2 : sr01f2 : sr01g2 : sr01i1	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	2.3	330.1	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	64.9	3.4	0.03	Ma					572.7	8	8	0	n	7.9878	0
This study	Snake River		sr03	sr03a1 : sr03c1 : sr03e1 : sr03f1 : sr03g1 : sr03h2 : sr03k1	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	3	151.8	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	-57.5	1	1	Ma					408.8	7	7	0	r	6.9853	0
This study	Snake River		sr04	sr04d2 : sr04e1 : sr04f2 : sr04g1 : sr04h3	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	4.3	16.5	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	54.6	2	0.05	Ma					313.1	5	5	0	n	4.9872	0
This study	Snake River		sr09	sr09b2 : sr09c3 : sr09e2 : sr09f1 : sr09f2 : sr09g1 : sr09i1	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	3	14.6	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	77.9	0.095	0.05	Ma					407.3	7	6	1	n	6.9865	0
This study	Snake River		sr11	sr11a1 : sr11b1 : sr11c1 : sr11e2 : sr11f1 : sr11g2 : sr11i1	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	3	346.3	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	73.8	0.395	0.01	Ma					428.4	7	5	2	n	6.9883	0
This study	Snake River		sr12	sr12a3 : sr12b1 : sr12c1 : sr12e1 : sr12h1	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	5.1	15.3	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	44.8	0.373	0.06	Ma					227.8	5	5	0	n	4.9824	0
This study	Snake River		sr16	sr16a1 : sr16b1 : sr16c1 : sr16d1 : sr16e1 : sr16f1 : sr16g2	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	4	347.4	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	65.6	0.404	0.07	Ma					228.8	7	7	0	n	6.9738	0
This study	Snake River		sr19	sr19a3 : sr19b3 : sr19e2 : sr19h2	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	21.4	175.6	Recalculated from original measurements; supercedes published results.	-55.7	1	1	Ma					21.5	4	3	1	r	3.8839	0
This study	Snake River		sr20	sr20c1 : sr20d2 : sr20e1 : sr20f1 : sr20g1 : sr20i1 : sr20i2 : sr20j2	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	8.6	334.3	Recalculated from original measurements; supercedes published results.	51	0.052	0.012	Ma					42.3	8	8	0	n	7.8345	0
This study	Snake River		sr21	sr21b2 : sr21d1 : sr21g2 : sr21h1 : sr21j2	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	2.6	172.5	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	-66.9	1.76	0.016	Ma					892.1	5	5	0	r	4.9955	0
