Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b0006js3,8,"Friday, November  4, 2011 15:43:45 UTC",-15.1833,167.3661,5.8,145.80,75,"Vanuatu"
us,b0006jqm,5,"Friday, November  4, 2011 14:59:53 UTC",-8.8895,115.7405,5.1,98.30,49,"Bali region, Indonesia"
us,b0006jqx,5,"Friday, November  4, 2011 14:56:35 UTC",35.6473,140.6786,4.9,54.20,38,"near the east coast of Honshu, Japan"
ak,10348720,1,"Friday, November  4, 2011 12:31:48 UTC",63.5952,-147.7995,2.9,3.70,38,"Central Alaska"
us,b0006jna,7,"Friday, November  4, 2011 11:22:06 UTC",39.9422,14.8145,4.5,325.80,60,"Tyrrhenian Sea"
us,b0006jmh,5,"Friday, November  4, 2011 10:29:27 UTC",42.0443,139.8561,4.6,190.10,87,"Hokkaido, Japan region"
ak,10348689,1,"Friday, November  4, 2011 09:18:14 UTC",58.2481,-154.2598,3.3,77.90,63,"Alaska Peninsula"
ci,15072292,0,"Friday, November  4, 2011 07:53:05 UTC",32.1475,-115.2755,2.9,12.30,13,"Baja California, Mexico"
ak,10348630,1,"Friday, November  4, 2011 03:09:28 UTC",62.3862,-149.3941,2.5,14.10,27,"Central Alaska"
ci,15072204,1,"Friday, November  4, 2011 03:01:26 UTC",32.1945,-115.2433,3.2,8.10,18,"Baja California, Mexico"
us,b0006jit,8,"Friday, November  4, 2011 02:59:18 UTC",36.0412,141.1481,5.0,35.00,208,"near the east coast of Honshu, Japan"
us,b0006jif,7,"Friday, November  4, 2011 02:39:41 UTC",19.5317,-109.3667,4.0,10.00,62,"Revilla Gigedo Islands region"
pr,11308000,0,"Friday, November  4, 2011 00:54:06 UTC",18.9379,-67.7340,3.2,22.00, 7,"Puerto Rico region"
ak,10348480,2,"Thursday, November  3, 2011 20:23:51 UTC",51.0893,-175.9875,4.2,26.00,16,"Andreanof Islands, Aleutian Islands, Alaska"
pr,11307004,0,"Thursday, November  3, 2011 20:10:55 UTC",18.9829,-67.5169,3.0,20.00, 4,"Puerto Rico region"
us,b0006j0f,A,"Thursday, November  3, 2011 15:47:33 UTC",55.5507,163.9874,5.0,21.90,174,"off the east coast of the Kamchatka Peninsula, Russia"
pr,11307002,0,"Thursday, November  3, 2011 12:56:37 UTC",19.4109,-67.8089,3.2,51.90, 6,"Dominican Republic region"
us,b0006itr,4,"Thursday, November  3, 2011 11:40:11 UTC",-24.1756,-69.9020,5.2,91.20,175,"Antofagasta, Chile"
us,b0006iti,7,"Thursday, November  3, 2011 11:34:20 UTC",36.4504,71.3215,4.9,95.00,60,"Hindu Kush region, Afghanistan"
ak,10348204,1,"Thursday, November  3, 2011 11:19:23 UTC",59.7587,-151.9768,2.6,59.60,37,"Kenai Peninsula, Alaska"
us,b0006irn,7,"Thursday, November  3, 2011 10:34:29 UTC",35.7838,139.9833,5.1,70.40,131,"near the south coast of Honshu, Japan"
us,b0006iqm,3,"Thursday, November  3, 2011 09:57:24 UTC",-31.3948,-71.8989,4.6,21.60,17,"offshore Coquimbo, Chile"
us,b0006ine,3,"Thursday, November  3, 2011 07:55:00 UTC",-34.2488,-72.3347,4.6,13.00,12,"offshore Libertador O'Higgins, Chile"
pr,11307001,0,"Thursday, November  3, 2011 07:42:47 UTC",18.9470,-67.6190,3.4,7.00,13,"Puerto Rico region"
us,b0006ime,6,"Thursday, November  3, 2011 06:37:49 UTC",-55.5458,-28.1544,4.9,46.20,20,"South Sandwich Islands region"
ci,15071996,2,"Thursday, November  3, 2011 05:49:23 UTC",32.2085,-115.2843,2.6,15.10,22,"Baja California, Mexico"
us,b0006ilp,4,"Thursday, November  3, 2011 05:42:22 UTC",-8.0975,119.5857,4.4,184.30,15,"Flores region, Indonesia"
ci,15071972,2,"Thursday, November  3, 2011 04:21:28 UTC",32.1500,-115.2517,2.7,10.00,19,"Baja California, Mexico"
nc,71675026,3,"Thursday, November  3, 2011 03:14:30 UTC",39.2478,-123.4223,2.5,0.00,66,"Northern California"
hv,60280336,1,"Thursday, November  3, 2011 02:23:57 UTC",19.1522,-155.5870,2.9,7.80,63,"Island of Hawaii, Hawaii"
us,b0006ik8,4,"Thursday, November  3, 2011 01:51:41 UTC",-31.3847,-71.9081,4.7,22.40,17,"offshore Coquimbo, Chile"
pr,11307000,0,"Thursday, November  3, 2011 01:49:07 UTC",18.9599,-67.6289,3.4,23.00,10,"Puerto Rico region"
us,b0006ijt,3,"Thursday, November  3, 2011 00:19:00 UTC",-10.2041,161.0528,4.7,54.40,35,"Solomon Islands"
ak,10346816,2,"Wednesday, November  2, 2011 22:39:24 UTC",52.0753,-171.5237,3.3,17.10,13,"Fox Islands, Aleutian Islands, Alaska"
us,b0006ihk,3,"Wednesday, November  2, 2011 22:05:47 UTC",-5.4837,151.9102,4.5,64.70,11,"New Britain region, Papua New Guinea"
us,b0006ih3,5,"Wednesday, November  2, 2011 21:44:15 UTC",38.9392,43.5532,4.4,5.00, 0,"eastern Turkey"
pr,11306008,0,"Wednesday, November  2, 2011 21:07:21 UTC",19.1240,-66.4889,2.9,25.10, 6,"Puerto Rico region"
pr,11306007,0,"Wednesday, November  2, 2011 21:00:16 UTC",18.9880,-64.7919,3.0,57.00, 4,"Virgin Islands region"
pr,11306009,0,"Wednesday, November  2, 2011 20:52:16 UTC",19.1299,-66.4869,3.0,18.20,10,"Puerto Rico region"
pr,11306006,0,"Wednesday, November  2, 2011 20:48:52 UTC",19.1509,-66.4810,3.0,19.00,17,"Puerto Rico region"
ci,15071804,3,"Wednesday, November  2, 2011 20:28:07 UTC",31.9172,-117.1223,3.3,10.00,20,"offshore Baja California, Mexico"
pr,11306005,0,"Wednesday, November  2, 2011 20:21:36 UTC",18.7929,-64.6559,3.2,79.00, 4,"Virgin Islands region"
us,b0006ib9,9,"Wednesday, November  2, 2011 19:01:33 UTC",9.6544,-84.7882,5.4,39.60,266,"Costa Rica"
ci,15071740,2,"Wednesday, November  2, 2011 18:48:59 UTC",32.0848,-115.1770,2.6,5.70, 8,"Baja California, Mexico"
ci,15071724,2,"Wednesday, November  2, 2011 17:42:34 UTC",34.4938,-119.2768,2.5,2.80,42,"Southern California"
nc,71674696,3,"Wednesday, November  2, 2011 17:32:05 UTC",38.1555,-121.9133,2.8,20.40,107,"Northern California"
ak,10346666,2,"Wednesday, November  2, 2011 16:46:39 UTC",52.4247,-169.0430,2.6,33.50,11,"Fox Islands, Aleutian Islands, Alaska"
us,b0006i5a,C,"Wednesday, November  2, 2011 14:59:26 UTC",-55.3030,-128.7954,6.2,1.10,118,"Pacific-Antarctic Ridge"
nn,00353612,8,"Wednesday, November  2, 2011 14:47:50 UTC",37.2225,-114.5824,2.6,10.60, 4,"Nevada"
nc,71674611,5,"Wednesday, November  2, 2011 14:20:43 UTC",36.2307,-120.8000,2.8,9.00,98,"Central California"
us,b0006i46,4,"Wednesday, November  2, 2011 13:24:02 UTC",38.6566,43.6102,4.6,10.00,32,"eastern Turkey"
pr,11306003,0,"Wednesday, November  2, 2011 13:23:30 UTC",18.1630,-66.1589,2.6,14.20, 7,"Puerto Rico"
us,b0006i3d,5,"Wednesday, November  2, 2011 11:43:04 UTC",37.0346,43.8070,4.7,10.00,48,"Turkey-Iraq border region"
pr,11306004,0,"Wednesday, November  2, 2011 11:27:47 UTC",18.5559,-65.6050,3.0,35.00, 5,"Puerto Rico region"
ak,10346582,1,"Wednesday, November  2, 2011 10:48:34 UTC",67.1878,-143.7671,2.8,0.20, 7,"northern Alaska"
ci,15071604,4,"Wednesday, November  2, 2011 10:23:28 UTC",32.1205,-115.2408,2.9,10.00,17,"Baja California, Mexico"
pr,11306002,0,"Wednesday, November  2, 2011 10:13:27 UTC",19.1089,-65.1360,3.4,33.20, 3,"Virgin Islands region"
ak,10346573,1,"Wednesday, November  2, 2011 10:13:25 UTC",59.8315,-152.9271,3.3,108.00,13,"Southern Alaska"
pr,11306001,0,"Wednesday, November  2, 2011 10:11:32 UTC",19.0389,-65.1370,3.4,53.00, 3,"Virgin Islands region"
ak,10346552,1,"Wednesday, November  2, 2011 07:35:16 UTC",60.1754,-152.2967,3.1,93.30,28,"Southern Alaska"
us,b0006hzm,6,"Wednesday, November  2, 2011 07:21:08 UTC",40.4423,-125.9530,3.1,10.30,44,"off the coast of Northern California"
ak,10346544,1,"Wednesday, November  2, 2011 06:38:11 UTC",60.0895,-152.7095,2.5,116.00,15,"Southern Alaska"
us,b0006hze,6,"Wednesday, November  2, 2011 06:33:29 UTC",-0.0394,123.4129,5.0,130.80,52,"Sulawesi, Indonesia"
us,b0006hz3,3,"Wednesday, November  2, 2011 05:55:19 UTC",36.7906,68.8815,4.5,51.80,12,"Hindu Kush region, Afghanistan"
us,b0006hyc,5,"Wednesday, November  2, 2011 04:34:24 UTC",38.6354,43.5482,4.5,7.20,28,"eastern Turkey"
pr,11306000,0,"Wednesday, November  2, 2011 03:40:38 UTC",18.5690,-65.2659,2.8,81.00,10,"Puerto Rico region"
ak,10346519,2,"Wednesday, November  2, 2011 03:08:37 UTC",65.6367,-132.8523,3.1,10.70, 9,"northern Yukon Territory, Canada"
us,b0006hxj,5,"Wednesday, November  2, 2011 02:06:26 UTC",-14.6130,-75.8953,4.5,36.50,12,"near the coast of central Peru"
us,b0006hx7,8,"Wednesday, November  2, 2011 01:43:28 UTC",39.1710,141.6273,4.6,74.50,39,"eastern Honshu, Japan"
ci,15071396,3,"Tuesday, November  1, 2011 23:25:23 UTC",33.3803,-116.3263,3.0,13.00,150,"Southern California"
us,b0006hvj,5,"Tuesday, November  1, 2011 23:21:20 UTC",-7.1157,129.1202,5.3,178.60,68,"Kepulauan Babar, Indonesia"
us,b0006hux,5,"Tuesday, November  1, 2011 22:41:58 UTC",-41.7315,174.2897,4.8,14.50,26,"Cook Strait, New Zealand"
us,b0006hu9,7,"Tuesday, November  1, 2011 22:29:39 UTC",19.6826,-109.2655,5.0,9.90,203,"Revilla Gigedo Islands region"
us,b0006hu6,3,"Tuesday, November  1, 2011 22:28:46 UTC",-24.3128,-67.2461,4.6,204.60,13,"Salta, Argentina"
ak,10348394,2,"Tuesday, November  1, 2011 22:07:59 UTC",55.7815,-160.6998,3.0,158.70,14,"Alaska Peninsula"
us,b0006htk,5,"Tuesday, November  1, 2011 22:02:13 UTC",2.5506,97.1512,4.7,45.90,39,"northern Sumatra, Indonesia"
us,b0006ht5,4,"Tuesday, November  1, 2011 21:54:38 UTC",19.8154,-109.3329,4.3,10.00,54,"Revilla Gigedo Islands region"
us,b0006hrw,5,"Tuesday, November  1, 2011 21:10:44 UTC",38.8807,43.5815,4.3,5.00, 0,"eastern Turkey"
us,b0006hlq,5,"Tuesday, November  1, 2011 17:58:33 UTC",-23.9021,-69.1727,5.1,79.20,230,"Antofagasta, Chile"
ak,10345997,2,"Tuesday, November  1, 2011 17:44:58 UTC",51.3407,-178.4730,2.5,25.70,10,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0006hkd,5,"Tuesday, November  1, 2011 17:18:05 UTC",34.5130,104.1052,5.1,17.00,61,"Gansu, China"
ak,10345971,2,"Tuesday, November  1, 2011 16:32:33 UTC",51.7029,-176.8391,2.9,76.10,16,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0006hin,A,"Tuesday, November  1, 2011 16:21:25 UTC",35.9394,141.6369,5.0,21.10,159,"near the east coast of Honshu, Japan"
ak,10345967,2,"Tuesday, November  1, 2011 16:12:34 UTC",55.1785,-157.4502,3.1,18.60,12,"Alaska Peninsula"
ci,15071220,8,"Tuesday, November  1, 2011 15:38:22 UTC",35.6807,-117.6197,4.1,7.00,55,"Southern California"
ak,10348377,2,"Tuesday, November  1, 2011 13:50:50 UTC",55.1376,-157.4356,2.9,12.60,13,"Alaska Peninsula"
us,2011stav,3,"Tuesday, November  1, 2011 13:38:48 UTC",19.7903,-109.6422,4.2,10.00,55,"Revilla Gigedo Islands region"
us,b0006hfg,F,"Tuesday, November  1, 2011 12:32:00 UTC",19.8913,-109.2155,6.3,5.00,359,"Revilla Gigedo Islands region"
ak,10348375,2,"Tuesday, November  1, 2011 12:11:30 UTC",52.0763,-171.6225,2.9,41.60, 9,"Fox Islands, Aleutian Islands, Alaska"
ak,10345884,3,"Tuesday, November  1, 2011 10:20:38 UTC",60.2748,-153.0135,2.9,135.90,76,"Southern Alaska"
ak,10345882,2,"Tuesday, November  1, 2011 09:35:44 UTC",55.0946,-158.4668,2.8,24.10,14,"Alaska Peninsula"
us,2011staq,1,"Tuesday, November  1, 2011 09:21:37 UTC",35.8219,22.5940,4.3,10.00,14,"central Mediterranean Sea"
