Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Area
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	93.18	7.98	93.18	7.98	93.18	7.98	2.3463E-7	NA	0.00	90.00	0.00	0.00	-4.8382E-7	4.2286E-6	9.1562E-7	-2.3834E-7	4.0869E-6	8.1804E-7	0.0000E+0	0.0000E+0	0.0000E+0	0.00	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	95.66	19.87	95.66	19.87	95.66	19.87	2.0020E-7	NA	0.00	90.00	0.00	0.00	-6.0214E-7	3.4354E-6	1.8231E-6	-3.4374E-7	3.3005E-6	1.7095E-6	0.0000E+0	0.0000E+0	0.0000E+0	0.01	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	257.40	54.89	257.40	54.89	257.40	54.89	1.6179E-7	NA	0.00	90.00	0.00	0.00	-6.4600E-7	-1.4649E-6	3.4641E-6	-3.7570E-7	-1.5999E-6	3.3245E-6	0.0000E+0	0.0000E+0	0.0000E+0	0.02	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	268.32	16.38	268.32	16.38	268.32	16.38	8.3156E-7	NA	0.00	90.00	0.00	0.00	-7.0278E-7	-1.3886E-5	6.0610E-6	-4.3350E-7	-1.4048E-5	5.8895E-6	0.0000E+0	0.0000E+0	0.0000E+0	0.03	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	269.42	11.36	269.42	11.36	269.42	11.36	2.0672E-6	NA	0.00	90.00	0.00	0.00	-6.3546E-7	-3.5480E-5	1.0427E-5	-3.7944E-7	-3.5700E-5	1.0233E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.04	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	270.33	11.26	270.33	11.26	270.33	11.26	3.4488E-6	NA	0.00	90.00	0.00	0.00	1.2580E-7	-5.9315E-5	1.7099E-5	3.6482E-7	-5.9584E-5	1.6913E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.05	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	271.60	13.19	271.60	13.19	271.60	13.19	4.2706E-6	NA	0.00	90.00	0.00	0.00	1.9315E-6	-7.2927E-5	2.4636E-5	2.1556E-6	-7.3216E-5	2.4485E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.06	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	274.25	17.30	274.25	17.30	274.25	17.30	4.1603E-6	NA	0.00	90.00	0.00	0.00	5.2312E-6	-6.9511E-5	3.1192E-5	5.4519E-6	-6.9778E-5	3.1082E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.07	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	280.23	25.64	280.23	25.64	280.23	25.64	3.2768E-6	NA	0.00	90.00	0.00	0.00	9.4874E-6	-5.0991E-5	3.5706E-5	9.7162E-6	-5.1211E-5	3.5621E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.08	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	298.31	43.18	298.31	43.18	298.31	43.18	2.3077E-6	NA	0.00	90.00	0.00	0.00	1.4535E-5	-2.5921E-5	3.9734E-5	1.4774E-5	-2.6101E-5	3.9665E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.09	NA	NA	NA	4.00
