   11.2    32.9 	    6.4   -42.9 
   11.5    63.7 	   10.5   -55.4 
   11.9    31.4 	  358.1   -71.8 
  349.6    36.2 	  356.3   -45.0 
   60.3    63.5 	   58.9   -56.6 
  351.8    37.6 	   55.0   -45.8 
  345.5    53.1 	   44.8   -26.9 
   12.2    20.1 	   13.6   -54.0 
  352.1    37.6 	    5.1   -39.9 
  341.2    53.8 	   25.1   -61.1 
  353.0    46.4 	   18.3   -66.3 
    8.1    29.9 	   15.9   -36.0 
  333.8    43.7 	   22.2   -29.3 
    8.9    41.0 	   29.4   -52.4 
   23.3    48.4 	   20.1   -45.4 
  352.2    36.8 	   31.2   -49.7 
   27.7    71.7 	   46.0   -32.9 
  340.8    30.0 	    9.6   -36.5 
  340.2    45.9 	   49.3   -37.7 
  346.7    43.4 	   14.4   -47.2 
  355.5    56.8 	   47.5   -25.6 
    3.7    47.4 	   23.4   -47.4 
   13.0    34.8 	    5.3   -55.1 
    2.2    37.3 	   57.5   -66.7 
   29.0    48.8 	   14.9   -40.4 
   16.3    61.1 	   14.9   -58.9 
  350.5    27.6 	   32.7   -36.4 
  346.4    30.2 	   34.6   -43.9 
  350.5    54.8 	    7.5   -29.8 
  358.2    31.1 	   13.7   -50.4 
    7.1    64.8 	    9.3   -50.7 
    9.8    40.2 	   58.4   -49.4 
  327.4     9.4 	    1.1   -49.6 
    4.9    39.6 	   37.9   -46.0 
   15.0    55.8 	    5.0   -34.3 
   14.1    47.0 	   38.9   -34.5 
   18.7    46.4 	   27.3   -46.3 
   14.3    33.5 	   31.9   -31.9 
   17.4    29.2 	   29.2   -46.9 
  357.0    44.0 	    9.0   -39.1 
  356.1    49.4 	   44.7   -74.8 
  355.7    60.8 	   37.2   -24.5 
    3.9    26.1 	   25.3   -15.9 
  337.5    42.2 	   47.1   -50.4 
   43.1    57.1 	   24.3   -45.4 
   15.4    30.3 	   33.2   -31.8 
  336.8    35.4 	   26.5   -32.0 
  339.9    33.4 	   44.8   -38.9 
  320.4    57.7 	    8.0   -57.4 
  339.2    40.5 	    4.9   -39.8 
    5.5    50.0 	   26.5   -62.5 
    9.1    26.3 	   13.1   -50.0 
    5.3    41.4 	   56.2   -64.8 
    3.8    45.8 	   27.1   -25.2 
  353.0    30.2 	   40.9   -35.2 
  350.1    46.5 	   37.6   -15.1 
    4.0    37.9 	  354.8   -52.3 
   12.4    45.6 	   45.6   -40.9 
   26.2    64.4 	   37.0   -48.0 
  344.9    41.1 	   35.8   -20.1 
    2.2    23.4 	   50.7   -38.9 
    7.7    23.8 	   13.2   -38.4 
  349.0    29.1 	   49.9   -38.7 
  341.8    43.9 	   29.6   -54.3 
  356.0    55.3 	    4.5   -45.0 
  335.8    65.5 	   14.0   -76.3 
  342.3    46.7 	   36.8   -46.8 
   10.6    43.5 	  341.5   -44.6 
   43.6    53.2 	   27.4   -42.0 
   10.1    51.4 	  340.4   -30.1 
  360.0    36.5 	   23.1   -25.4 
   31.0    58.3 	   15.6   -29.4 
  324.7    27.0 	    6.5   -37.7 
  347.5    43.0 	   23.4   -44.7 
    3.3    54.3 	   26.6   -45.0 
  304.8    61.7 	   22.7   -35.1 
  348.2    36.4 	   26.0   -43.2 
    5.6    47.4 	   53.6   -34.3 
  352.2    30.3 	   19.2   -58.8 
    2.4    53.1 	   42.6   -43.3 
    2.2    38.4 	  359.8   -40.5 
  310.6    51.8 	   10.3   -25.7 
  359.3    52.9 	  351.1   -34.9 
  352.8    47.4 	   18.3   -44.4 
  347.8    46.3 	    2.5   -29.5 
  327.3    52.2 	   28.9   -44.7 
  348.7    26.9 	   42.4   -48.3 
   13.5    35.5 	   12.5   -45.4 
  346.9    56.0 	   27.5   -38.3 
   27.5    31.7 	    9.8   -59.0 
  344.6    40.7 	   25.7   -61.0 
   51.0    49.7 	   36.8   -65.6 
  344.5    35.0 	   44.8   -66.4 
   39.8    73.4 	   23.3   -50.7 
    7.0    47.1 	   46.4   -33.6 
    9.2    28.6 	  343.6   -33.8 
  338.7    53.8 	   20.8   -39.3 
    3.4    38.3 	   44.9   -27.9 
  354.3    23.6 	   18.0   -44.4 
   19.7    46.5 	   15.0   -54.2 
