tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
rshaar	This study	Cyprus	mk100702	mk100702	mk100702c		mk100702c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:38:00.00	336.9		g	-88.7	1.516e-07	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702c		mk100702c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:45:00.00	133.9		g	88.1	1.564e-07	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702c		mk100702c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:13:37:00.00	359.3		g	-0.4	1.575e-07	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702c		mk100702c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:03:15:37:00.00	98.1		g	-0.9	1.602e-07	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702c		mk100702c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:17:48:00.00	183.6		g	-1.7	1.671e-07	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702c		mk100702c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.6	2012:07:04:10:03:00.00	272.2		g	-1.8	1.686e-07	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702c		mk100702c:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:12:00.00	285.0		g	-88.2	1.744e-07	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702d		mk100702d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:39:00.00	77.0		g	-86.0	2.795e-07	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702d		mk100702d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:46:00.00	250.6		g	85.3	2.828e-07	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702d		mk100702d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:13:38:00.00	3.2		g	-0.9	2.846e-07	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702d		mk100702d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:03:15:39:00.00	92.5		g	-6.6	2.534e-07	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702d		mk100702d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:17:49:00.00	183.5		g	-1.4	2.917e-07	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702d		mk100702d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:04:10:04:00.00	270.7		g	4.1	2.597e-07	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702d		mk100702d:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:13:00.00	99.7		g	-86.6	2.975e-07	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702f		mk100702f:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:39:00.00	3.7		g	-87.9	1.964e-07	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702f		mk100702f:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:47:00.00	151.2		g	87.7	1.997e-07	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
