tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	magic_software_packages	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_dip
This study	Northern Iceland	is001a	is001	FS-FD:SO-POM	pmagpy-2.129	183.0	5.0	59.0	76.0
This study	Northern Iceland	is001b	is001	FS-FD:SO-POM	pmagpy-2.129	207.0	5.0	59.0	80.0
This study	Northern Iceland	is001c	is001	FS-FD:SO-POM	pmagpy-2.129	192.0	5.0	59.0	59.0
This study	Northern Iceland	is001d	is001	FS-FD:SO-POM	pmagpy-2.129	276.0	5.0	59.0	79.0
This study	Northern Iceland	is001e	is001	FS-FD:SO-POM	pmagpy-2.129	198.0	5.0	59.0	34.0
This study	Northern Iceland	is001f	is001	FS-FD:SO-POM	pmagpy-2.129	203.0	5.0	59.0	64.0
This study	Northern Iceland	is001g	is001	FS-FD:SO-POM	pmagpy-2.129	230.0	5.0	59.0	48.0
This study	Northern Iceland	is001h	is001	FS-FD:SO-POM	pmagpy-2.129	310.0	5.0	59.0	56.0
This study	Northern Iceland	is001i	is001	FS-FD:SO-POM	pmagpy-2.129	177.0	5.0	59.0	39.0
This study	Northern Iceland	is001j	is001	FS-FD:SO-POM	pmagpy-2.129	150.0	5.0	59.0	58.0
This study	Northern Iceland	is001k	is001	FS-FD:SO-POM	pmagpy-2.129	121.0	5.0	59.0	49.0
This study	Northern Iceland	is001l	is001	FS-FD:SO-POM	pmagpy-2.129	249.0	5.0	59.0	45.0
This study	Northern Iceland	is001m	is001	FS-FD:SO-POM	pmagpy-2.129	296.0	5.0	59.0	51.0
This study	Northern Iceland	is001n	is001	FS-FD:SO-POM	pmagpy-2.129	287.0	5.0	59.0	57.0
This study	Northern Iceland	is001o	is001	FS-FD:SO-POM	pmagpy-2.129	238.0	5.0	59.0	34.0
This study	Northern Iceland	is001p	is001	FS-FD:SO-POM	pmagpy-2.129	220.0	5.0	59.0	35.0
This study	Northern Iceland	is002a	is002	FS-FD:SO-POM	pmagpy-2.129	280.0	5.0	59.0	34.0
This study	Northern Iceland	is002b	is002	FS-FD:SO-POM	pmagpy-2.129	329.0	5.0	59.0	39.0
