tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Nading Co	07ND100	NDC-11	07ND100a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	140	60	mT	u	14.5		p	g	49.8	35.4	2.4	Ma	3.9	5	l	100
Peter C. Lippert	This study	Nading Co	07ND101	NDC-11	07ND101a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	8.2		p	g	46	35.4	2.4	Ma	3.1	4	l	100
Peter C. Lippert	This study	Nading Co	07ND102	NDC-11	07ND102a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	180	80	mT	u	2.3		p	g	50.3	35.4	2.4	Ma	2.9	5	l	100
Peter C. Lippert	This study	Nading Co	07ND104	NDC-11	07ND104a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	1.3		p	g	43.1	35.4	2.4	Ma	1.8	4	l	100
Peter C. Lippert	This study	Nading Co	07ND104	NDC-11	07ND104b	IPGP-2GH	DE-BFL:LP-DIR-T	685	450	°C	u	8.3	Specimen not used to calculate site mean direction.	p	g	51.1	35.4	2.4	Ma	0.4	5	l	100
Peter C. Lippert	This study	Nading Co	07ND105	NDC-11	07ND105a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	40	mT	u	4.3		p	g	45.7	35.4	2.4	Ma	1.6	4	l	100
Peter C. Lippert	This study	Nading Co	07ND106	NDC-11	07ND106a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	40	mT	u	2.4		p	g	31.2	35.4	2.4	Ma	2.7	4	l	100
Peter C. Lippert	This study	Nading Co	07ND107	NDC-12	07ND107a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	50	mT	u	10.2		p	g	41.9	35.4	2.4	Ma	3.7	6	l	100
Peter C. Lippert	This study	Nading Co	07ND107	NDC-12	07ND107b	IPGP-2GH	DE-BFL:LP-DIR-T	685	450	°C	u	11.5	Specimen not used to calculate site mean direction.	p	g	45.1	35.4	2.4	Ma	0.6	5	l	100
Peter C. Lippert	This study	Nading Co	07ND108	NDC-12	07ND108a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	3.1		p	g	28.9	35.4	2.4	Ma	2.6	4	l	100
Peter C. Lippert	This study	Nading Co	07ND109	NDC-12	07ND109a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	31.7		p	g	50.3	35.4	2.4	Ma	2.7	4	l	100
Peter C. Lippert	This study	Nading Co	07ND110	NDC-12	07ND110a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	1.6		p	g	39.4	35.4	2.4	Ma	1.5	4	l	100
Peter C. Lippert	This study	Nading Co	07ND111	NDC-12	07ND111a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	50	mT	u	18.4		p	g	51.9	35.4	2.4	Ma	1.8	6	l	100
Peter C. Lippert	This study	Nading Co	07ND112	NDC-12	07ND112a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	50	mT	u	4.4		p	g	49.2	35.4	2.4	Ma	1.4	6	l	100
Peter C. Lippert	This study	Nading Co	07ND113	NDC-12	07ND113a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	60	mT	u	353.6		p	g	50.3	35.4	2.4	Ma	3.3	5	l	100
