tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	0.4	2012:07:04:15:10:00.00	73.5		g	-46.8	2.288e-06	1	4	u	2.730e+02	SAN	0	0	0	0	2.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	0.5	2012:07:05:10:46:00.00	69.2		g	-44.0	2.056e-06	2	4	u	2.730e+02	SAN	0	0	0	0	3.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	0.5	2012:07:05:13:32:00.00	67.8		g	-41.7	1.459e-06	3	4	u	2.730e+02	SAN	0	0	0	0	4.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	0.5	2012:07:05:16:02:00.00	69.0		g	-42.3	8.651e-07	4	4	u	2.730e+02	SAN	0	0	0	0	5.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	0.7	2012:07:05:18:47:00.00	73.4		g	-42.2	7.550e-07	5	4	u	2.730e+02	SAN	0	0	0	0	5.980e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	0.4	2012:07:06:15:38:00.00	68.2		g	-41.7	6.738e-07	6	4	u	2.730e+02	SAN	0	0	0	0	6.230e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	0.5	2012:07:06:18:32:00.00	70.1		g	-41.4	6.073e-07	7	4	u	2.730e+02	SAN	0	0	0	0	6.480e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	0.5	2012:07:07:11:43:00.00	70.4		g	-41.1	5.469e-07	8	4	u	2.730e+02	SAN	0	0	0	0	6.730e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	0.4	2012:07:07:14:58:00.00	66.7		g	-39.9	4.410e-07	9	4	u	2.730e+02	SAN	0	0	0	0	7.230e+02
Saiko	This study	U1359A	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	318-U1359A-002H-1-W-109		318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	:LP-IRM-3D	pmagpy-2.132	1.9	2012:07:07:17:26:00.00	72.9		g	-39.7	3.255e-07	10	4	u	2.730e+02	SAN	0	0	0	0	7.730e+02
