tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
This study	Snake River	sr01e	sr01	sr01e2	sr01e2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		333	Recalculated from original measurements; supercedes published results.	l				67.1						1.9		10			0
This study	Snake River	sr01g	sr01	sr01g2	sr01g2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.16	0.01	T				u		324.4	Recalculated from original measurements; supercedes published results.	l				66.7						2.6		10			0
This study	Snake River	sr03f	sr03	sr03f1	sr03f1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		147.2	Recalculated from original measurements; supercedes published results.	l				-55.8						0.7		9			0
This study	Snake River	sr03h	sr03	sr03h2	sr03h2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		152.1	Recalculated from original measurements; supercedes published results.	l				-57						1.7		9			0
This study	Snake River	sr03k	sr03	sr03k1	sr03k1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		159.8	Recalculated from original measurements; supercedes published results.	l				-55.8						1.1		11			0
This study	Snake River	sr04e	sr04	sr04e1	sr04e1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.02	T				u		27.9	Recalculated from original measurements; supercedes published results.	l				53.2						1.6		10			0
This study	Snake River	sr04f	sr04	sr04f2	sr04f2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.02	T				u		20.5	Recalculated from original measurements; supercedes published results.	l				54.8						2.6		9			0
This study	Snake River	sr09b	sr09	sr09b2	sr09b2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.16	0.01	T				u		18.3	Recalculated from original measurements; supercedes published results.	l				81.7						1.9		10			0
This study	Snake River	sr09e	sr09	sr09e2	sr09e2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.14	0.01	T				u		5.4	Recalculated from original measurements; supercedes published results.	l				75.4						0.4		9			0
This study	Snake River	sr09f	sr09	sr09f2	sr09f2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		22	Recalculated from original measurements; supercedes published results.	l				75.9						0.5		8			0
This study	Snake River	sr11a	sr11	sr11a1	sr11a1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		340.5	Recalculated from original measurements; supercedes published results.	l				74.1						0.9		8			0
This study	Snake River	sr11b	sr11	sr11b1	sr11b1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.16	0.01	T				u		354	Recalculated from original measurements; supercedes published results.	l				70.3						2.1		10			0
This study	Snake River	sr11c	sr11	sr11c1	sr11c1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		342.7	Recalculated from original measurements; supercedes published results.	l				69.4						1.3		8			0
This study	Snake River	sr11e	sr11	sr11e2	sr11e2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		341.4	Recalculated from original measurements; supercedes published results.	l				73.4						0.9		8			0
This study	Snake River	sr11g	sr11	sr11g2	sr11g2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.14	0.02	T				u		345.4	Recalculated from original measurements; supercedes published results.	l				77.1						0.8		8			0
This study	Snake River	sr11j	sr11	sr11j3	sr11j3 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.12	0.01	T				u		97.4	Recalculated from original measurements; supercedes published results.	l				-13.1						11.8		8			0
