tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vadm	vadm_n	vadm_sigma	vdm	vdm_n	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
3.4	0.03	Ma	2.3	330.1	64.9					573	245.6020	42.6026	8	8	0	7.9878	i		This study	Snake River	sr01	sr01a1:sr01a2:sr01c2:sr01d1:sr01e2:sr01f2:sr01g2:sr01i1	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO:SO-CMD-NORTH:LP-DIR-AF:LP-DC5:DE-FM	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr01	A	Site VGP, coord system = g component: A	0							-2.2	4.0	-65.4	277.6	8
2.5000e+00	2.5000e+00	Ma	3.0	151.8	-57.5					409	245.5990	42.6035	7	7	0	6.9853	i		This study	Snake River	sr03	sr03a1:sr03c1:sr03e1:sr03f1:sr03g1:sr03h2:sr03k1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO:LP-DIR-AF:LP-DC5:DE-FM	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr03	A	Site VGP, coord system = g component: A	0							-2.3	5.2	58.1	87.3	7
2	0.05	Ma	4.3	16.5	54.6					313	245.5960	42.6010	5	5	0	4.9872	i		This study	Snake River	sr04	sr04d2:sr04e1:sr04f2:sr04g1:sr04h3	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO:LP-DIR-AF:SO-SUN:LP-DC5:DE-FM	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr04	A	Site VGP, coord system = g component: A	0							-3.1	7.5	-58.0	196.6	5
0.095	0.05	Ma	3.0	14.6	77.9					407	245.1650	42.7366	7	6	1	6.9865	i		This study	Snake River	sr09	sr09b2:sr09c3:sr09e2:sr09f1:sr09f2:sr09g1:sr09i1	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO:LP-DIR-T:DE-BFP:LP-DC5:DE-FM-LP	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr09	A	Site VGP, coord system = g component: A	0							-6.0	5.2	-83.9	110.8	7
0.395	0.01	Ma	3.0	346.3	73.8					428	245.1120	42.8418	7	5	2	6.9883	i		This study	Snake River	sr11	sr11a1:sr11b1:sr11c1:sr11e2:sr11f1:sr11g2:sr11i1	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO:LP-DIR-T:DE-BFP:LP-DC5:DE-FM-LP	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr11	A	Site VGP, coord system = g component: A	0							-4.5	5.2	-81.8	279.3	7
0.373	0.06	Ma	5.1	15.3	44.8					228	245.1270	42.8657	5	5	0	4.9824	i		This study	Snake River	sr12	sr12a3:sr12b1:sr12c1:sr12e1:sr12h1	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO:LP-DIR-AF:LP-DC5:DE-FM	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr12	A	Site VGP, coord system = g component: A	0							-3.0	8.8	-50.1	201.3	5
0.404	0.07	Ma	4.0	347.4	65.6					229	244.9230	42.9203	7	7	0	6.9738	i		This study	Snake River	sr16	sr16a1:sr16b1:sr16c1:sr16d1:sr16e1:sr16f1:sr16g2	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO:LP-DIR-AF:LP-DC5:DE-FM	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr16	A	Site VGP, coord system = g component: A	0							-4.1	6.9	-71.6	250.5	7
0.404	0.07	Ma	4.0	347.4	65.6					229	244.9230	42.9203	7	7	0	6.9738	i		This study	Snake River	sr16	sr16a1:sr16b1:sr16c1:sr16d1:sr16e1:sr16f1:sr16g2	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO:LP-DIR-AF:LP-DC5:DE-FM	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr16	A	Site VGP, coord system = g component: A	0							-4.1	6.9	-71.6	250.5	7
0.404	0.07	Ma	4.0	347.4	65.6					229	244.9230	42.9203	7	7	0	6.9738	i		This study	Snake River	sr16	sr16a1:sr16b1:sr16c1:sr16d1:sr16e1:sr16f1:sr16g2	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO:LP-DIR-AF:LP-DC5:DE-FM	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr16	A	Site VGP, coord system = g component: A	0							-4.1	6.9	-71.6	250.5	7
1.76	0.016	Ma	2.6	172.5	-66.9					892	245.8510	42.4996	5	5	0	4.9955	i		This study	Snake River	sr21	sr21b2:sr21d1:sr21g2:sr21h1:sr21j2	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO:LP-DIR-AF:LP-DC5:DE-FM	pmagpy-2.132	DE-SPEC:DE-SITE	VGP Site: sr21	A	Site VGP, coord system = g component: A	0							-2.7	4.5	73.2	59.6	5
