tab 	pmag_results
er_location_names	vgp_lon	data_type	average_int_rel	magic_method_codes	average_dec	average_lon	vgp_lat	average_inc	er_sample_names	er_site_names	pmag_result_name	er_citation_names	average_lat	er_specimen_names	average_age	average_age_unit	average_height
DSDP Site 522	243.1	i	0.0001346	LP-PI-IRM:LP-PI-REL:LT-AF-Z	268.5	355	9.2	-41.2	15-1-013	15-1-013	15-1-013	This study : Tauxe & Yamazaki 2007	-27	15-1-013	22.75	Ma	-55.23
DSDP Site 522	47	i	0.0001316	LP-PI-IRM:LP-PI-REL:LT-AF-Z	124.5	355	-42.7	63.7	15-1-024	15-1-024	15-1-024	This study : Tauxe & Yamazaki 2007	-27	15-1-024	22.7893	Ma	-55.34
DSDP Site 522	62.4	i	0.0001729	LP-PI-IRM:LP-PI-REL:LT-AF-Z	155.1	355	-67.6	52.8	15-1-031	15-1-031	15-1-031	This study : Tauxe & Yamazaki 2007	-27	15-1-031	22.8143	Ma	-55.41
DSDP Site 522	42.8	i	0.0001444	LP-PI-IRM:LP-PI-REL:LT-AF-Z	127.5	355	-44.4	65.9	15-1-039	15-1-039	15-1-039	This study : Tauxe & Yamazaki 2007	-27	15-1-039	22.8393	Ma	-55.48
DSDP Site 522	1.6	i	4.312e-05	LP-PI-IRM:LP-PI-REL:LT-AF-Z	2.4	355	68.8	-11.8	15-1-045	15-1-045	15-1-045	This study : Tauxe & Yamazaki 2007	-27	15-1-045	22.8598	Ma	-55.54
DSDP Site 522	307.3	i	0.0001594	LP-PI-IRM:LP-PI-REL:LT-AF-Z	348.7	355	75.3	-30.9	15-1-051	15-1-051	15-1-051	This study : Tauxe & Yamazaki 2007	-27	15-1-051	22.8792	Ma	-55.6
DSDP Site 522	164.5	i	0.0003454	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.9	355	85.8	-50.4	15-1-057	15-1-057	15-1-057	This study : Tauxe & Yamazaki 2007	-27	15-1-057	22.8988	Ma	-55.66
DSDP Site 522	278.6	i	0.0003314	LP-PI-IRM:LP-PI-REL:LT-AF-Z	347.6	355	78.3	-41.3	15-1-063	15-1-063	15-1-063	This study : Tauxe & Yamazaki 2007	-27	15-1-063	22.9215	Ma	-55.73
DSDP Site 522	182.7	i	0.0003119	LP-PI-IRM:LP-PI-REL:LT-AF-Z	359.1	355	84.3	-52	15-1-069	15-1-069	15-1-069	This study : Tauxe & Yamazaki 2007	-27	15-1-069	22.9377	Ma	-55.78
DSDP Site 522	291	i	0.0002915	LP-PI-IRM:LP-PI-REL:LT-AF-Z	347.3	355	76.8	-37	15-1-075	15-1-075	15-1-075	This study : Tauxe & Yamazaki 2007	-27	15-1-075	22.9605	Ma	-55.85
DSDP Site 522	107.8	i	0.000269	LP-PI-IRM:LP-PI-REL:LT-AF-Z	13.7	355	77.3	-50.5	15-1-082	15-1-082	15-1-082	This study : Tauxe & Yamazaki 2007	-27	15-1-082	22.98	Ma	-55.91
DSDP Site 522	81.7	i	0.0003487	LP-PI-IRM:LP-PI-REL:LT-AF-Z	9.7	355	81.3	-44.5	15-1-088	15-1-088	15-1-088	This study : Tauxe & Yamazaki 2007	-27	15-1-088	22.9995	Ma	-55.97
DSDP Site 522	102.4	i	0.0003079	LP-PI-IRM:LP-PI-REL:LT-AF-Z	11.9	355	79.2	-48.8	15-1-094	15-1-094	15-1-094	This study : Tauxe & Yamazaki 2007	-27	15-1-094	23.0223	Ma	-56.04
DSDP Site 522	95.8	i	0.0003234	LP-PI-IRM:LP-PI-REL:LT-AF-Z	16.4	355	75.4	-47.7	15-1-100	15-1-100	15-1-100	This study : Tauxe & Yamazaki 2007	-27	15-1-100	23.0417	Ma	-56.1
DSDP Site 522	14.8	i	8.717e-05	LP-PI-IRM:LP-PI-REL:LT-AF-Z	7.6	355	67.1	-10.5	15-1-106	15-1-106	15-1-106	This study : Tauxe & Yamazaki 2007	-27	15-1-106	23.0613	Ma	-56.16
DSDP Site 522	21.4	i	9.914e-05	LP-PI-IRM:LP-PI-REL:LT-AF-Z	56.8	355	-7.4	72.8	15-1-113	15-1-113	15-1-113	This study : Tauxe & Yamazaki 2007	-27	15-1-113	23.0808	Ma	-56.22
DSDP Site 522	357.2	i	7.728e-05	LP-PI-IRM:LP-PI-REL:LT-AF-Z	3.2	355	14.6	66	15-1-118	15-1-118	15-1-118	This study : Tauxe & Yamazaki 2007	-27	15-1-118	23.1003	Ma	-56.28
DSDP Site 522	358.5	i	0.0003529	LP-PI-IRM:LP-PI-REL:LT-AF-Z	179	355	-77.3	58.9	15-1-125	15-1-125	15-1-125	This study : Tauxe & Yamazaki 2007	-27	15-1-125	23.1204	Ma	-56.34
DSDP Site 522	32.6	i	0.0001832	LP-PI-IRM:LP-PI-REL:LT-AF-Z	114.4	355	-35.5	72	15-1-131	15-1-131	15-1-131	This study : Tauxe & Yamazaki 2007	-27	15-1-131	23.1412	Ma	-56.4
DSDP Site 522	345.9	i	0.0002076	LP-PI-IRM:LP-PI-REL:LT-AF-Z	189.5	355	-57.4	73.2	15-1-137	15-1-137	15-1-137	This study : Tauxe & Yamazaki 2007	-27	15-1-137	23.1654	Ma	-56.47
DSDP Site 522	336.7	i	0.0001605	LP-PI-IRM:LP-PI-REL:LT-AF-Z	198.6	355	-56.8	72.3	15-1-144	15-1-144	15-1-144	This study : Tauxe & Yamazaki 2007	-27	15-1-144	23.1862	Ma	-56.53
DSDP Site 522	339.1	i	0.0002193	LP-PI-IRM:LP-PI-REL:LT-AF-Z	313.1	355	-11.4	78.8	15-1-149	15-1-149	15-1-149	This study : Tauxe & Yamazaki 2007	-27	15-1-149	23.2069	Ma	-56.59
