tab 	pmag_specimens
specimen_description	specimen_correction	er_site_name	er_sample_name	specimen_dec	er_citation_names	specimen_inferred_age_unit	er_location_name	specimen_inferred_age	specimen_inc	er_specimen_name	magic_method_codes	specimen_int_rel
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-013	15-1-013	268.5	This study	Ma	DSDP Site 522	22.75	-41.2	15-1-013	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.000809
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-022	15-1-022	181	This study	Ma	DSDP Site 522	22.7786	68.6	15-1-022	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001805
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-024	15-1-024	124.5	This study	Ma	DSDP Site 522	22.7893	63.7	15-1-024	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0007913
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-028	15-1-028	123.2	This study	Ma	DSDP Site 522	22.8036	59.9	15-1-028	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.000792
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-031	15-1-031	155.1	This study	Ma	DSDP Site 522	22.8143	52.8	15-1-031	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001039
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-035	15-1-035	144.2	This study	Ma	DSDP Site 522	22.825	72.3	15-1-035	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0009301
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-039	15-1-039	127.5	This study	Ma	DSDP Site 522	22.8393	65.9	15-1-039	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0008682
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-041	15-1-041	355	This study	Ma	DSDP Site 522	22.85	-46.1	15-1-041	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0004947
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-045	15-1-045	2.4	This study	Ma	DSDP Site 522	22.8598	-11.8	15-1-045	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0002592
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-047	15-1-047	357	This study	Ma	DSDP Site 522	22.8663	-47.4	15-1-047	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00115
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-051	15-1-051	348.7	This study	Ma	DSDP Site 522	22.8792	-30.9	15-1-051	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0009583
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-054	15-1-054	14.2	This study	Ma	DSDP Site 522	22.889	-49.6	15-1-054	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001851
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-057	15-1-057	0.9	This study	Ma	DSDP Site 522	22.8988	-50.4	15-1-057	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002076
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-060	15-1-060	6.4	This study	Ma	DSDP Site 522	22.9118	-46.1	15-1-060	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002356
