tab 	ages
age	age_high	age_low	age_sigma	citations	location	method_codes	tiepoint	tiepoint_height	tiepoint_type	timescale_citations
0.781				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C1n (o)	-11.22	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
0.535	0.57	0.5	0.035	10.1029/2012PA002308	U1361A	GM-FOSSIL	Actinocyclus ingens LO	-14.04	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
0.988				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C1r.1n (y)	-17.82	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
0.89				10.1029/2012PA002308	U1361A	GM-FOSSIL	Thalassiosira fasciculata LO	-18.65	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
1.072				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C1r.1n (o)	-20.94	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
0.6				10.1029/2012PA002308	U1361A	GM-FOSSIL	Antarctissa cylindrica LO	-22.78	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
0.675	0.71	0.64	0.035	10.1029/2012PA002308	U1361A	GM-FOSSIL	Thalassiosira elliptipora LO	-23.65	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
1.24	1.29	1.19	0.05	10.1029/2012PA002308	U1361A	GM-FOSSIL	Fragilariopsis barronii LO	-23.65	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
1.41	1.45	1.37	0.04	10.1029/2012PA002308	U1361A	GM-FOSSIL	Fragilariopsis separanda FO	-23.65	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
1.495	1.51	1.48	0.015	10.1029/2012PA002308	U1361A	GM-FOSSIL	Rouxia antarctica LO	-23.65	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
2.195	2.21	2.18	0.015	10.1029/2012PA002308	U1361A	GM-FOSSIL	Fragilariopsis kerguelensis FO	-32.13	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
1.778				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C2n (y)	-32.33	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
1.945				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C2n  (o)	-34.85	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
1.695	1.73	1.66	0.035	10.1029/2012PA002308	U1361A	GM-FOSSIL	Fragilariopsis obliquecostata FO	-41.67	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
2.03	2.06	2	0.03	10.1029/2012PA002308	U1361A	GM-FOSSIL	Thalassiosira elliptipora FO	-41.67	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
