tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	magn_mass	magn_moment	magn_r2_det	magn_uncal	magn_volume	magn_x_sigma	magn_xyz_sigma	magn_y_sigma	magn_z_sigma	meas_field_ac	meas_field_dc	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	sequence	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
	This study			31.3	-66.1	318-U1361A-001H-2A-0-1-LT-AF-Z						2.974e-07																	273		318-U1361A-001H-2A-0-1-LT-AF-Z-1	LT-AF-Z	g	1	pmagpy-2.93	318-U1361A-001H_2A-0.1	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			44.9	-70.6	318-U1361A-001H-2A-0-15-LT-AF-Z						3.071e-07																	273		318-U1361A-001H-2A-0-15-LT-AF-Z-1	LT-AF-Z	g	2	pmagpy-2.93	318-U1361A-001H_2A-0.15	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			49.7	-69.9	318-U1361A-001H-2A-0-2-LT-AF-Z						3.404e-07																	273		318-U1361A-001H-2A-0-2-LT-AF-Z-1	LT-AF-Z	g	3	pmagpy-2.93	318-U1361A-001H_2A-0.2	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			44.0	-69.3	318-U1361A-001H-2A-0-25-LT-AF-Z						4.0259999999999997e-07																	273		318-U1361A-001H-2A-0-25-LT-AF-Z-1	LT-AF-Z	g	4	pmagpy-2.93	318-U1361A-001H_2A-0.25	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			52.3	-65.2	318-U1361A-001H-2A-0-3-LT-AF-Z						5.061e-07																	273		318-U1361A-001H-2A-0-3-LT-AF-Z-1	LT-AF-Z	g	5	pmagpy-2.93	318-U1361A-001H_2A-0.3	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			57.9	-67	318-U1361A-001H-2A-0-35-LT-AF-Z						5.889e-07																	273		318-U1361A-001H-2A-0-35-LT-AF-Z-1	LT-AF-Z	g	6	pmagpy-2.93	318-U1361A-001H_2A-0.35	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			55.1	-75.5	318-U1361A-001H-2A-0-4-LT-AF-Z						6.272e-07																	273		318-U1361A-001H-2A-0-4-LT-AF-Z-1	LT-AF-Z	g	7	pmagpy-2.93	318-U1361A-001H_2A-0.4	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			43.8	-74.4	318-U1361A-001H-2A-0-45-LT-AF-Z						5.956000000000001e-07																	273		318-U1361A-001H-2A-0-45-LT-AF-Z-1	LT-AF-Z	g	8	pmagpy-2.93	318-U1361A-001H_2A-0.45	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			51.7	-64.7	318-U1361A-001H-2A-0-5-LT-AF-Z						5.371e-07																	273		318-U1361A-001H-2A-0-5-LT-AF-Z-1	LT-AF-Z	g	9	pmagpy-2.93	318-U1361A-001H_2A-0.5	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			66.1	-57.1	318-U1361A-001H-2A-0-55-LT-AF-Z						4.749e-07																	273		318-U1361A-001H-2A-0-55-LT-AF-Z-1	LT-AF-Z	g	10	pmagpy-2.93	318-U1361A-001H_2A-0.55	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			71.3	-65.8	318-U1361A-001H-2A-0-6-LT-AF-Z						3.652e-07																	273		318-U1361A-001H-2A-0-6-LT-AF-Z-1	LT-AF-Z	g	11	pmagpy-2.93	318-U1361A-001H_2A-0.6	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			51.2	-74.5	318-U1361A-001H-2A-0-65-LT-AF-Z						2.916e-07																	273		318-U1361A-001H-2A-0-65-LT-AF-Z-1	LT-AF-Z	g	12	pmagpy-2.93	318-U1361A-001H_2A-0.65	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			22.1	-76.2	318-U1361A-001H-2A-0-7-LT-AF-Z						2.532e-07																	273		318-U1361A-001H-2A-0-7-LT-AF-Z-1	LT-AF-Z	g	13	pmagpy-2.93	318-U1361A-001H_2A-0.7	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			27.5	-74.5	318-U1361A-001H-2A-0-75-LT-AF-Z						2.6309999999999997e-07																	273		318-U1361A-001H-2A-0-75-LT-AF-Z-1	LT-AF-Z	g	14	pmagpy-2.93	318-U1361A-001H_2A-0.75	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			27.4	-76.9	318-U1361A-001H-2A-0-8-LT-AF-Z						2.791e-07																	273		318-U1361A-001H-2A-0-8-LT-AF-Z-1	LT-AF-Z	g	15	pmagpy-2.93	318-U1361A-001H_2A-0.8	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			358.5	-82.9	318-U1361A-001H-2A-0-85-LT-AF-Z						3.0469999999999997e-07																	273		318-U1361A-001H-2A-0-85-LT-AF-Z-1	LT-AF-Z	g	16	pmagpy-2.93	318-U1361A-001H_2A-0.85	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			45.2	-71.5	318-U1361A-001H-2A-0-9-LT-AF-Z						3.264e-07																	273		318-U1361A-001H-2A-0-9-LT-AF-Z-1	LT-AF-Z	g	17	pmagpy-2.93	318-U1361A-001H_2A-0.9	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			38.8	-72.4	318-U1361A-001H-2A-0-95-LT-AF-Z						3.2460000000000003e-07																	273		318-U1361A-001H-2A-0-95-LT-AF-Z-1	LT-AF-Z	g	18	pmagpy-2.93	318-U1361A-001H_2A-0.95	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			49.3	-70.4	318-U1361A-001H-2A-1-LT-AF-Z						3.347e-07																	273		318-U1361A-001H-2A-1-LT-AF-Z-1	LT-AF-Z	g	19	pmagpy-2.93	318-U1361A-001H_2A-1	u					2010-02-26T13:48:00Z	0.02				0				0	0				1	273			
	This study			55.9	-70.4	318-U1361A-001H-2A-1-05-LT-AF-Z						3.447e-07																	273		318-U1361A-001H-2A-1-05-LT-AF-Z-1	LT-AF-Z	g	20	pmagpy-2.93	318-U1361A-001H_2A-1.05	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			60.6	-75.8	318-U1361A-001H-2A-1-1-LT-AF-Z						3.477e-07																	273		318-U1361A-001H-2A-1-1-LT-AF-Z-1	LT-AF-Z	g	21	pmagpy-2.93	318-U1361A-001H_2A-1.1	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			44.8	-73.7	318-U1361A-001H-2A-1-15-LT-AF-Z						3.5119999999999997e-07																	273		318-U1361A-001H-2A-1-15-LT-AF-Z-1	LT-AF-Z	g	22	pmagpy-2.93	318-U1361A-001H_2A-1.15	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
