tab 	specimens
aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
0.3380154:0.3390894:0.3228952:0.001622:0.0013176:0.0009858	192	0.0001883	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-NO:LP-X	g	318-U1361A-023X-CC-W-15		318-U1361A-023X-CC-W-15
0.332294:0.3328618:0.3348442:-0.0000478:0.0000269:-0.0002628	192	0.0001224	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-001H-2-W-35		318-U1361A-001H-2-W-35
0.3330858:0.3329986:0.3339156:-0.000262:-0.0003219:0.0004402	192	0.0002585	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-001H-3-W-90		318-U1361A-001H-3-W-90
0.3337502:0.3322083:0.3340415:-0.0006992:0.0006626:0.002888	192	9.340000000000001e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-001H-4-W-50		318-U1361A-001H-4-W-50
0.3305652:0.3339279:0.3355068:0.0006028:0.0002117:-0.0009316	192	0.0001975	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-001H-5-W-59		318-U1361A-001H-5-W-59
0.3327475:0.3329385:0.334314:-0.0015159:-0.0003106:-0.0000986	192	0.0001618	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-001H-6-W-60		318-U1361A-001H-6-W-60
0.3373738:0.3332615:0.3293647:0.0008864:0.0008291:-0.0004269	192	0.0001192	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-002H-4-W-94		318-U1361A-002H-4-W-94
0.3351685:0.3340308:0.3308007:0.0060353:0.0032169:0.0003701	192	0.000142	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-002H-5-W-10		318-U1361A-002H-5-W-10
0.3331878:0.3334213:0.3333909:0.0006518:-0.0000818:0.0003355	192	0.0005219	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-002H-6-W-40		318-U1361A-002H-6-W-40
0.3342913:0.3327566:0.3329521:0.0005713:-0.0002285:-0.0006149	192	8.82e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-002H-7-W-34		318-U1361A-002H-7-W-34
