tab 	magic_measurements
er_citation_name	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-2.235	2.3	37.2		g	-53.2	3.93e-07	1	1	273	1.35e-08	8.63e-09	2.14e-09	0	0	273
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-2.235	2.0	36.7		g	-50.9	4.29e-07	2	1	273	1.25e-08	7.51e-09	2.78e-09	0	0	273
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.235	2.3	34.8		g	-48.5	5.32e-07	3	1	273	1.65e-08	1.28e-08	3.42e-09	0	0	373.0
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-10-22 15:53:24	LT-T-Z:LP-DIR-T	pmagpy-2.235	3.0	029.3		g	-47.6	6.71e-07	4	1	273	2.39e-08	2.34e-08	1.04e-08	0	0	423.0
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-10-27 16:19:50	LT-T-Z:LP-DIR-T	pmagpy-2.235	2.2	028.6		g	-47.3	6.55e-07	5	1	273	2.00e-08	1.31e-08	7.42e-09	0	0	473.0
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-10-28 13:42:19	LT-T-Z:LP-DIR-T	pmagpy-2.235	3.1	028.5		g	-49.3	5.27e-07	6	1	273	1.81e-08	2.17e-08	4.18e-09	0	0	523.0
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-10-28 20:40:03	LT-T-Z:LP-DIR-T	pmagpy-2.235	3.0	034.0		g	-52.8	3.81e-07	7	1	273	1.42e-08	1.36e-08	2.98e-09	0	0	573.0
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-10-29 20:53:02	LT-T-Z:LP-DIR-T	pmagpy-2.235	2.0	040.3		g	-57.3	2.40e-07	8	1	273	7.58e-09	3.67e-09	1.87e-09	0	0	623.0
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-03 17:13:00	LT-T-Z:LP-DIR-T	pmagpy-2.235	3.2	043.8		g	-58.4	1.97e-07	9	1	273	9.19e-09	5.83e-09	1.36e-09	0	0	673.0
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-04 12:03:42	LT-T-Z:LP-DIR-T	pmagpy-2.235	2.1	046.8		g	-59.9	1.78e-07	10	1	273	5.82e-09	2.86e-09	1.36e-09	0	0	698.0
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 12:53:05	LT-T-Z:LP-DIR-T	pmagpy-2.235	2.3	049.9		g	-61.0	1.64e-07	11	1	273	5.48e-09	3.62e-09	8.90e-10	0	0	723.0
This study	This study	unknown	Z35.1a	Z35	Z35.1a	Z35.1a:LP-DIR-T	hargrave 2014-11-10 22:11:56	LT-T-Z:LP-DIR-T	pmagpy-2.235	1.7	053.3		g	-63.2	1.52e-07	12	1	273	3.62e-09	2.88e-09	5.24e-10	0	0	748.0
This study	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-2.235	2.6	46.5		g	-50.4	1.12e-06	1	1	273	3.14e-08	4.00e-08	9.82e-09	0	0	273
This study	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-2.235	2.0	46.3		g	-50.9	1.16e-06	2	1	273	2.20e-08	3.25e-08	1.09e-08	0	0	273
This study	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.235	1.0	44.8		g	-51.6	1.33e-06	3	1	273	8.96e-09	1.88e-08	1.11e-08	0	0	373.0
This study	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-10-22 15:54:56	LT-T-Z:LP-DIR-T	pmagpy-2.235	2.6	043.8		g	-51.8	1.16e-06	4	1	273	2.83e-08	4.26e-08	9.49e-09	0	0	423.0
This study	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-10-27 16:21:23	LT-T-Z:LP-DIR-T	pmagpy-2.235	1.9	043.6		g	-51.0	1.05e-06	5	1	273	1.89e-08	2.78e-08	7.43e-09	0	0	473.0
This study	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-10-28 13:44:04	LT-T-Z:LP-DIR-T	pmagpy-2.235	3.7	045.6		g	-51.0	7.52e-07	6	1	273	3.14e-08	3.76e-08	6.48e-09	0	0	523.0
This study	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-10-28 20:41:45	LT-T-Z:LP-DIR-T	pmagpy-2.235	2.5	050.3		g	-50.2	4.57e-07	7	1	273	1.28e-08	1.47e-08	3.34e-09	0	0	573.0
This study	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-10-29 20:54:34	LT-T-Z:LP-DIR-T	pmagpy-2.235	2.4	051.3		g	-48.8	2.19e-07	8	1	273	6.51e-09	6.53e-09	1.26e-09	0	0	623.0
This study	This study	unknown	Z35.2a	Z35	Z35.2a	Z35.2a:LP-DIR-T	hargrave 2014-11-03 17:14:38	LT-T-Z:LP-DIR-T	pmagpy-2.235	2.5	053.2		g	-48.1	1.67e-07	9	1	273	5.32e-09	4.98e-09	1.13e-09	0	0	673.0
