tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_class	specimen_lithology	specimen_type
This study	McMurdo	mc01f	mc01	mc01f	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc02c	mc02	mc02c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc02e	mc02	mc02e	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc02g	mc02	mc02g	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc03b	mc03	mc03b	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc03d	mc03	mc03d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc04a	mc04	mc04a	Igneous : Intrusive	Basalt	Volcanic Dike
This study	McMurdo	mc04h	mc04	mc04h	Igneous : Intrusive	Basalt	Volcanic Dike
This study	McMurdo	mc06c	mc06	mc06c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc07e	mc07	mc07e	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc08d	mc08	mc08d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc09h	mc09	mc09h	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc10e	mc10	mc10e	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc11d	mc11	mc11d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc13g	mc13	mc13g	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc14f	mc14	mc14f	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc15g	mc15	mc15g	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc19c	mc19	mc19c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc20b	mc20	mc20b	Igneous : Intrusive	Basalt	Volcanic Dike
This study	McMurdo	mc20f	mc20	mc20f	Igneous : Intrusive	Basalt	Volcanic Dike
This study	McMurdo	mc21d	mc21	mc21d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc26h	mc26	mc26h	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc28d	mc28	mc28d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc29a	mc29	mc29a	Igneous : Extrusive	Basalt	Volcanic Dike
This study	McMurdo	mc29f	mc29	mc29f	Igneous : Extrusive	Basalt	Volcanic Dike
This study	McMurdo	mc30c	mc30	mc30c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc31f	mc31	mc31f	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc32f	mc32	mc32f	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc33d	mc33	mc33d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc34d	mc34	mc34d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc35f	mc35	mc35f	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc36g	mc36	mc36g	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc37f	mc37	mc37f	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc38b	mc38	mc38b	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc39g	mc39	mc39g	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc40c	mc40	mc40c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc41c	mc41	mc41c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc41f	mc41	mc41f	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc42f	mc42	mc42f	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc43a	mc43	mc43a	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc43c	mc43	mc43c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc44d	mc44	mc44d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc48c	mc48	mc48c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc49a	mc49	mc49a	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc49c	mc49	mc49c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc49d	mc49	mc49d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc50d	mc50	mc50d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc15c	mc15	mc15c2	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc01a	mc01	mc01a	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc01b	mc01	mc01b	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc01d	mc01	mc01d	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc01g	mc01	mc01g	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc02f	mc02	mc02f	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc03h	mc03	mc03h	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc04g	mc04	mc04g	Igneous : Intrusive	Basalt	Volcanic Dike
This study	McMurdo	mc06h	mc06	mc06h	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc07b	mc07	mc07b	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc08a	mc08	mc08a	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc08b	mc08	mc08b	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc08g	mc08	mc08g	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc08h	mc08	mc08h	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc09a	mc09	mc09a	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc09b	mc09	mc09b	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc09d	mc09	mc09d	Igneous : Extrusive	Trachyte	Lava Flow
This study	McMurdo	mc10a	mc10	mc10a	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc10b	mc10	mc10b	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc10d	mc10	mc10d	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc11b	mc11	mc11b	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc11c	mc11	mc11c	Igneous : Extrusive	Basalt	Lava Flow
This study	McMurdo	mc11e	mc11	mc11e	Igneous : Extrusive	Basalt	Lava Flow
