tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
Lisa Tauxe	This study	McMurdo	mc01a	mc01	mc01a	mc01a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		160.6	p					-2.7						2.6		11			0
Lisa Tauxe	This study	McMurdo	mc01b	mc01	mc01b	mc01b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	773	423	K					A	u		256.5	l					75						1.7		8			0
Lisa Tauxe	This study	McMurdo	mc01c	mc01	mc01c	mc01c-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	723	K					A	u		258.5	l					77.3						1.6		4			0
Lisa Tauxe	This study	McMurdo	mc01d	mc01	mc01d	mc01d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		284.6	l					73.6						5		10			0
Lisa Tauxe	This study	McMurdo	mc01e	mc01	mc01e	mc01e-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	723	K					A	u		279.4	l					78.8						1.3		4			0
Lisa Tauxe	This study	McMurdo	mc01f	mc01	mc01f	mc01f-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0	T					A	u		220.7	l					82.4						1.3		16			0
Lisa Tauxe	This study	McMurdo	mc01g	mc01	mc01g	mc01g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		159	p					-0.5						5.6		11			0
Lisa Tauxe	This study	McMurdo	mc01h	mc01	mc01h	mc01h-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	523	K					A	u		249	l					80.1						1.2		8			0
Lisa Tauxe	This study	McMurdo	mc02a	mc02	mc02a	mc02a-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		326	l					-80.9						1.4		11			0
Lisa Tauxe	This study	McMurdo	mc02b	mc02	mc02b	mc02b-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	623	K					A	u		348	l					-79.1						1		6			0
Lisa Tauxe	This study	McMurdo	mc02c	mc02	mc02c	mc02c-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.03	T					A	u		333.3	l					-81.8						0.5		6			0
Lisa Tauxe	This study	McMurdo	mc02f	mc02	mc02f	mc02f-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	273	K					A	u		274.5	p					7.1						3		12			0
Lisa Tauxe	This study	McMurdo	mc02g	mc02	mc02g	mc02g-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		318.4	l					-80						0.8		15			0
Lisa Tauxe	This study	McMurdo	mc02h	mc02	mc02h	mc02h-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		323.3	l					-78						2.1		10			0
Lisa Tauxe	This study	McMurdo	mc03a	mc03	mc03a	mc03a-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	523	K					A	u		335	l					-85.2						1.9		8			0
Lisa Tauxe	This study	McMurdo	mc03b	mc03	mc03b	mc03b-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		340.4	l					-83.9						0.4		11			0
Lisa Tauxe	This study	McMurdo	mc03c	mc03	mc03c	mc03c-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		0.9	l					-81.1						1.6		10			0
Lisa Tauxe	This study	McMurdo	mc03d	mc03	mc03d	mc03d-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		335.1	l					-81.9						0.9		15			0
Lisa Tauxe	This study	McMurdo	mc03f	mc03	mc03f	mc03f-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	523	K					A	u		17.3	l					-82.2						2.4		8			0
Lisa Tauxe	This study	McMurdo	mc03h	mc03	mc03h	mc03h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	523	373	K					A	u		353.9	l					-80.6						0.7		4			0
Lisa Tauxe	This study	McMurdo	mc04a	mc04	mc04a	mc04a-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		288.9	l					-83.8						0.7		15			0
Lisa Tauxe	This study	McMurdo	mc04b	mc04	mc04b	mc04b-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		70.6	l					-83.4						0.9		11			0
Lisa Tauxe	This study	McMurdo	mc04e	mc04	mc04e	mc04e-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	673	373	K					A	u		349.6	l					-85.6						0.8		7			0
Lisa Tauxe	This study	McMurdo	mc04f	mc04	mc04f	mc04f-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	673	373	K					A	u		340.3	l					-86.1						0.9		7			0
Lisa Tauxe	This study	McMurdo	mc04g	mc04	mc04g	mc04g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFP:DA-DIR-GEO	pmagpy-2.58	623	273	K					A	u		0.9	p					3.5						1.6		7			0
Lisa Tauxe	This study	McMurdo	mc06a	mc06	mc06a	mc06a-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		5	l					-82						0.5		9			0
Lisa Tauxe	This study	McMurdo	mc06c	mc06	mc06c	mc06c-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		15.3	l					-70						0.6		15			0
Lisa Tauxe	This study	McMurdo	mc06d	mc06	mc06d	mc06d-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		12.5	l					-80.4						0.6		10			0
Lisa Tauxe	This study	McMurdo	mc06g	mc06	mc06g	mc06g-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		23	l					-81.4						0.7		10			0
Lisa Tauxe	This study	McMurdo	mc06h	mc06	mc06h	mc06h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		10.2	l					-79.9						1.3		9			0
Lisa Tauxe	This study	McMurdo	mc07b	mc07	mc07b	mc07b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		161.6	l					-68.1						1.6		10			0
Lisa Tauxe	This study	McMurdo	mc07c	mc07	mc07c	mc07c-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	773	423	K					A	u		160.1	l					-68.6						1.4		8			0
Lisa Tauxe	This study	McMurdo	mc07d	mc07	mc07d	mc07d-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		153.5	l					-72.4						3		9			0
Lisa Tauxe	This study	McMurdo	mc07e	mc07	mc07e	mc07e-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.0075	T					A	u		152.9	l					-71.6						1.7		14			0
Lisa Tauxe	This study	McMurdo	mc07f	mc07	mc07f	mc07f-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		155.3	l					-64.5						2.9		8			0
Lisa Tauxe	This study	McMurdo	mc08a	mc08	mc08a	mc08a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	773	373	K					A	u		29.9	l					-73.7						2.8		9			0
Lisa Tauxe	This study	McMurdo	mc08b	mc08	mc08b	mc08b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	523	K					A	u		21.3	l					-76.4						2		8			0
Lisa Tauxe	This study	McMurdo	mc08c	mc08	mc08c	mc08c-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		17.2	l					-79.6						0.3		9			0
Lisa Tauxe	This study	McMurdo	mc08d	mc08	mc08d	mc08d-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		50.7	l					-79.9						0.5		13			0
Lisa Tauxe	This study	McMurdo	mc08e	mc08	mc08e	mc08e-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		58.7	l					-78.9						1.2		9			0
Lisa Tauxe	This study	McMurdo	mc08f	mc08	mc08f	mc08f-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		58.2	l					-78.6						1.5		11			0
Lisa Tauxe	This study	McMurdo	mc08g	mc08	mc08g	mc08g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	623	K					A	u		47.4	l					-79						1		6			0
Lisa Tauxe	This study	McMurdo	mc08h	mc08	mc08h	mc08h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		32.3	l					-77.2						1.6		10			0
Lisa Tauxe	This study	McMurdo	mc09a	mc09	mc09a	mc09a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	773	573	K					A	u		283.4	l					-81.4						3.2		5			0
Lisa Tauxe	This study	McMurdo	mc09b	mc09	mc09b	mc09b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	773	373	K					A	u		247.9	l					-81.6						3.1		9			0
Lisa Tauxe	This study	McMurdo	mc09c	mc09	mc09c	mc09c-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		245.2	l					-80.6						1.1		11			0
Lisa Tauxe	This study	McMurdo	mc09d	mc09	mc09d	mc09d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	623	K					A	u		248.8	l					-77.8						1.2		6			0
Lisa Tauxe	This study	McMurdo	mc09e	mc09	mc09e	mc09e-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	798	623	K					A	u		265.7	l					-82.2						3.7		5			0
Lisa Tauxe	This study	McMurdo	mc09f	mc09	mc09f	mc09f-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	573	K					A	u		235.1	l					-78.5						1		7			0
Lisa Tauxe	This study	McMurdo	mc09g	mc09	mc09g	mc09g-LP-DIR-T	LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	473	K					A	u		297.2	l					-85						0.8		9			0
Lisa Tauxe	This study	McMurdo	mc09h	mc09	mc09h	mc09h-LP-DIR-AF	LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		8.5	l					-85.8						1.2		11			0
Lisa Tauxe	This study	McMurdo	mc100a	mc100	mc100a1	mc100a1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		18.4	l					-71.6						2		14			0
