tab 	sites
age	age_high	age_low	age_unit	citations	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	result_quality	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1779	1782	1776	Ma	This study	9.8	lc	46.4	70.0	62.0	5	5	5	n	4.9357	0.0	Intrusive	Diabase	0.0	45.53423	Diabase	ECMB	265.75804	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED1-3:NED1-4:NED1-5:NED1-7:NED1-8	NED1	pmagpy-4.2.25: demag_gui.v.3.0	NED1-3b:NED1-4b:NED1-5b:NED1-7b:NED1-8b	16.9	14.5	59.5	322.8
1779	1782	1776	Ma	This study	2.8	mc	157.6	74.7	380.0	8	8	8	t	7.9816	0.0	Intrusive	Diabase	0.0	45.53423	Diabase	ECMB	265.75804	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED1-1:NED1-2:NED1-3:NED1-4:NED1-5:NED1-6:NED1-7:NED1-8	NED1	pmagpy-4.2.25: demag_gui.v.3.0	NED1-1b:NED1-2b:NED1-3b:NED1-4b:NED1-5b:NED1-6b:NED1-7b:NED1-8b	5.1	4.6	18.4	276.9
1779	1782	1776	Ma	This study	23.8	lc	244.6	66.2	6.0	8	8	8	t	6.9004	0.0	Intrusive	Diabase	0.0	45.53124	Diabase	ECMB	265.76945	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED18-1:NED18-2:NED18-3:NED18-4:NED18-5:NED18-6:NED18-7:NED18-8	NED18	pmagpy-4.2.25: demag_gui.v.3.0	NED18-1b:NED18-2b:NED18-3b:NED18-4b:NED18-5b:NED18-6b:NED18-7b:NED18-8b	39.0	32.0	19.7	226.4
1779	1782	1776	Ma	This study	5.3	mc	134.7	81.7	159.0	6	6	6	t	5.9686	0.0	Intrusive	Diabase	0.0	45.53124	Diabase	ECMB	265.76945	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED18-1:NED18-2:NED18-3:NED18-4:NED18-5:NED18-6	NED18	pmagpy-4.2.25: demag_gui.v.3.0	NED18-1b:NED18-2b:NED18-3b:NED18-4b:NED18-5b:NED18-6b	10.3	10.0	33.2	279.5
1779	1782	1776	Ma	This study	11.5	hc	259.7	35.9	29.0	7	7	7	t	6.7905	0.0	Intrusive	Diabase	0.0	45.53421	Diabase	ECMB	265.75816	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	NED2-2:NED2-3:NED2-4:NED2-5:NED2-6:NED2-7:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-2b:NED2-3b:NED2-4b:NED2-5b:NED2-6b:NED2-7b:NED2-8b	13.3	7.7	7.2	196.9
1779	1782	1776	Ma	This study	8.0	lc	36.7	71.7	70.0	6	6	6	n	5.9289	0.0	Intrusive	Diabase	0.0	45.53421	Diabase	ECMB	265.75816	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED2-1:NED2-2:NED2-3:NED2-4:NED2-5:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-1b:NED2-2b:NED2-3b:NED2-4b:NED2-5b:NED2-8b	14.1	12.3	64.8	316.6
1779	1782	1776	Ma	This study	7.5	lt	269.4	38.4	56.0	8	8	8	t	7.8743	0.0	Intrusive	Diabase	0.0	45.53421	Diabase	ECMB	265.75816	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED2-1:NED2-2:NED2-3:NED2-4:NED2-5:NED2-6:NED2-7:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-1a:NED2-2a:NED2-3a:NED2-4a:NED2-5a:NED2-6a:NED2-7a:NED2-8a	8.9	5.3	14.8	191.7
1779	1782	1776	Ma	This study	2.7	mc	172.3	74.9	420.0	8	8	8	t	7.9833	0.0	Intrusive	Diabase	0.0	45.53421	Diabase	ECMB	265.75816	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED2-1:NED2-2:NED2-3:NED2-4:NED2-5:NED2-6:NED2-7:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-1b:NED2-2b:NED2-3b:NED2-4b:NED2-5b:NED2-6b:NED2-7b:NED2-8b	4.9	4.5	17.4	269.6
1779	1782	1776	Ma	This study	2.4	mt	156.5	72.6	618.0	7	7	7	t	6.9903	0.0	Intrusive	Diabase	0.0	45.53421	Diabase	ECMB	265.75816	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED2-1:NED2-2:NED2-3:NED2-4:NED2-5:NED2-6:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-1a:NED2-2a:NED2-3a:NED2-4a:NED2-5a:NED2-6a:NED2-8a	4.3	3.8	15.3	278.4
1779	1782	1776	Ma	This study	18.2	hc	275.8	47.8	47.0	3	3	3	t	2.9574	0.0	Intrusive	Diabase	0.0	45.53341	Diabase	ECMB	265.75862	LP-DIR-AF:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	NED4-6:NED4-7:NED4-8	NED4	pmagpy-4.2.25: demag_gui.v.3.0	NED4-6b:NED4-7b:NED4-8b	23.7	15.5	24.0	193.3
1779	1782	1776	Ma	This study	7.7	lc	6.5	59.4	63.0	7	7	7	n	6.905	0.0	Intrusive	Diabase	0.0	45.53341	Diabase	ECMB	265.75862	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED4-2:NED4-3:NED4-4:NED4-5:NED4-6:NED4-7:NED4-8	NED4	pmagpy-4.2.25: demag_gui.v.3.0	NED4-2b:NED4-3b:NED4-4b:NED4-5b:NED4-6b:NED4-7b:NED4-8b	11.6	8.7	82.9	41.7
1779	1782	1776	Ma	This study	3.8	mc	197.8	73.6	183.0	9	9	9	t	8.9564	0.0	Intrusive	Diabase	0.0	45.53299	Diabase	ECMB	265.75773	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	NED6-1:NED6-2:NED6-3:NED6-4:NED6-5:NED6-6:NED6-7:NED6-8:NED6-9	NED6	pmagpy-4.2.25: demag_gui.v.3.0	NED6-1b:NED6-2b:NED6-3b:NED6-4b:NED6-5b:NED6-6b:NED6-7b:NED6-8b:NED6-9b	6.8	6.1	16.1	256.5
