tab 	measurements
measurement	experiment	specimen	sequence	standard	quality	method_codes	treat_step_num	meas_field_dc	magn_moment	timestamp
LP-FORC-conventional_example-1-0	LP-FORC-conventional_example	conventional_example	1	u	g	LP-FORC	1	0.2370455	7.842043e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-1-1	LP-FORC-conventional_example	conventional_example	2	u	g	LP-FORC	2	0.1182822	6.053198e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-2-0	LP-FORC-conventional_example	conventional_example	3	u	g	LP-FORC	3	0.2370448	7.840866e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-2-1	LP-FORC-conventional_example	conventional_example	4	u	g	LP-FORC	4	0.1154643	5.99214e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-2-2	LP-FORC-conventional_example	conventional_example	5	u	g	LP-FORC	5	0.118307	6.057562e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-2-3	LP-FORC-conventional_example	conventional_example	6	u	g	LP-FORC	6	0.1211815	6.108194e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-3-0	LP-FORC-conventional_example	conventional_example	7	u	g	LP-FORC	7	0.2370431	7.839371e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-3-1	LP-FORC-conventional_example	conventional_example	8	u	g	LP-FORC	8	0.1126483	5.922009e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-3-2	LP-FORC-conventional_example	conventional_example	9	u	g	LP-FORC	9	0.1154859	6.001023e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-3-3	LP-FORC-conventional_example	conventional_example	10	u	g	LP-FORC	10	0.1183525	6.041398e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-3-4	LP-FORC-conventional_example	conventional_example	11	u	g	LP-FORC	11	0.1212163	6.10887e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-3-5	LP-FORC-conventional_example	conventional_example	12	u	g	LP-FORC	12	0.1240734	6.157363e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-4-0	LP-FORC-conventional_example	conventional_example	13	u	g	LP-FORC	13	0.2370435	7.839315e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-4-1	LP-FORC-conventional_example	conventional_example	14	u	g	LP-FORC	14	0.1098186	5.861815e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-4-2	LP-FORC-conventional_example	conventional_example	15	u	g	LP-FORC	15	0.112663	5.922666e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-4-3	LP-FORC-conventional_example	conventional_example	16	u	g	LP-FORC	16	0.1155367	5.985981e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-4-4	LP-FORC-conventional_example	conventional_example	17	u	g	LP-FORC	17	0.1183917	6.050216e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-4-5	LP-FORC-conventional_example	conventional_example	18	u	g	LP-FORC	18	0.121245	6.104417e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-4-6	LP-FORC-conventional_example	conventional_example	19	u	g	LP-FORC	19	0.1240961	6.168431e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-4-7	LP-FORC-conventional_example	conventional_example	20	u	g	LP-FORC	20	0.1269406	6.225889e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-0	LP-FORC-conventional_example	conventional_example	21	u	g	LP-FORC	21	0.2370434	7.83793e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-1	LP-FORC-conventional_example	conventional_example	22	u	g	LP-FORC	22	0.1069983	5.800678e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-2	LP-FORC-conventional_example	conventional_example	23	u	g	LP-FORC	23	0.1098408	5.854084e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-3	LP-FORC-conventional_example	conventional_example	24	u	g	LP-FORC	24	0.1127105	5.931364e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-4	LP-FORC-conventional_example	conventional_example	25	u	g	LP-FORC	25	0.1155735	5.987025e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-5	LP-FORC-conventional_example	conventional_example	26	u	g	LP-FORC	26	0.1184213	6.051065e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-6	LP-FORC-conventional_example	conventional_example	27	u	g	LP-FORC	27	0.1212673	6.107165e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-7	LP-FORC-conventional_example	conventional_example	28	u	g	LP-FORC	28	0.1241168	6.161803e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-8	LP-FORC-conventional_example	conventional_example	29	u	g	LP-FORC	29	0.1269586	6.223391e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-5-9	LP-FORC-conventional_example	conventional_example	30	u	g	LP-FORC	30	0.129792	6.279881e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-0	LP-FORC-conventional_example	conventional_example	31	u	g	LP-FORC	31	0.2370444	7.836998e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-1	LP-FORC-conventional_example	conventional_example	32	u	g	LP-FORC	32	0.1041631	5.732498e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-2	LP-FORC-conventional_example	conventional_example	33	u	g	LP-FORC	33	0.1070145	5.797221e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-3	LP-FORC-conventional_example	conventional_example	34	u	g	LP-FORC	34	0.1098853	5.862583e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-4	LP-FORC-conventional_example	conventional_example	35	u	g	LP-FORC	35	0.1127456	5.927704e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-5	LP-FORC-conventional_example	conventional_example	36	u	g	LP-FORC	36	0.1156018	5.991666e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-6	LP-FORC-conventional_example	conventional_example	37	u	g	LP-FORC	37	0.1184418	6.04317e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-7	LP-FORC-conventional_example	conventional_example	38	u	g	LP-FORC	38	0.1212858	6.110413e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-8	LP-FORC-conventional_example	conventional_example	39	u	g	LP-FORC	39	0.1241322	6.161517e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-9	LP-FORC-conventional_example	conventional_example	40	u	g	LP-FORC	40	0.1269693	6.219143e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-10	LP-FORC-conventional_example	conventional_example	41	u	g	LP-FORC	41	0.1298049	6.278417e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-6-11	LP-FORC-conventional_example	conventional_example	42	u	g	LP-FORC	42	0.1326328	6.328173e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-0	LP-FORC-conventional_example	conventional_example	43	u	g	LP-FORC	43	0.2370456	7.836854e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-1	LP-FORC-conventional_example	conventional_example	44	u	g	LP-FORC	44	0.1013471	5.663429e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-2	LP-FORC-conventional_example	conventional_example	45	u	g	LP-FORC	45	0.1041699	5.722765e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-3	LP-FORC-conventional_example	conventional_example	46	u	g	LP-FORC	46	0.1070584	5.798927e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-4	LP-FORC-conventional_example	conventional_example	47	u	g	LP-FORC	47	0.1099222	5.860493e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-5	LP-FORC-conventional_example	conventional_example	48	u	g	LP-FORC	48	0.1127776	5.927202e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-6	LP-FORC-conventional_example	conventional_example	49	u	g	LP-FORC	49	0.1156265	5.987305e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-7	LP-FORC-conventional_example	conventional_example	50	u	g	LP-FORC	50	0.1184637	6.048133e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-8	LP-FORC-conventional_example	conventional_example	51	u	g	LP-FORC	51	0.1212986	6.107017e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-9	LP-FORC-conventional_example	conventional_example	52	u	g	LP-FORC	52	0.1241399	6.152705e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-10	LP-FORC-conventional_example	conventional_example	53	u	g	LP-FORC	53	0.1269744	6.217702e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-11	LP-FORC-conventional_example	conventional_example	54	u	g	LP-FORC	54	0.1298042	6.275605e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-12	LP-FORC-conventional_example	conventional_example	55	u	g	LP-FORC	55	0.1326344	6.331028e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-7-13	LP-FORC-conventional_example	conventional_example	56	u	g	LP-FORC	56	0.1354679	6.376788e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-0	LP-FORC-conventional_example	conventional_example	57	u	g	LP-FORC	57	0.2370431	7.836052e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-1	LP-FORC-conventional_example	conventional_example	58	u	g	LP-FORC	58	0.09852088	5.589462e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-2	LP-FORC-conventional_example	conventional_example	59	u	g	LP-FORC	59	0.1013468	5.663908e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-3	LP-FORC-conventional_example	conventional_example	60	u	g	LP-FORC	60	0.1042179	5.728464e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-4	LP-FORC-conventional_example	conventional_example	61	u	g	LP-FORC	61	0.1070963	5.794248e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-5	LP-FORC-conventional_example	conventional_example	62	u	g	LP-FORC	62	0.1099498	5.857023e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-6	LP-FORC-conventional_example	conventional_example	63	u	g	LP-FORC	63	0.1127966	5.921499e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-7	LP-FORC-conventional_example	conventional_example	64	u	g	LP-FORC	64	0.1156393	5.980797e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-8	LP-FORC-conventional_example	conventional_example	65	u	g	LP-FORC	65	0.1184763	6.046431e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-9	LP-FORC-conventional_example	conventional_example	66	u	g	LP-FORC	66	0.1213107	6.101309e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-10	LP-FORC-conventional_example	conventional_example	67	u	g	LP-FORC	67	0.1241501	6.158051e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-11	LP-FORC-conventional_example	conventional_example	68	u	g	LP-FORC	68	0.1269854	6.211468e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-8-12	LP-FORC-conventional_example	conventional_example	69	u	g	LP-FORC	69	0.129816	6.275116e-07	2016-04-13T13:20:00
