tab 	criteria
citations	criterion	criterion_operation	criterion_value	description	table_column
This study	DE-SAMP	<=	180	Criteria for selection of sample direction	samples.dir_alpha95
This study	DE-SITE	<=	180	Criteria for selection of site direction	sites.dir_alpha95
This study	DE-SITE	>=	50	Criteria for selection of site direction	sites.dir_k
This study	DE-SITE	>=	5	Criteria for selection of site direction	sites.dir_n_samples
This study	DE-SITE	>=	4	Criteria for selection of site direction	sites.dir_n_specimens_lines
This study	DE-SPEC	<=	180	Criteria for selection of specimen direction	specimens.dir_alpha95
This study	DE-SPEC	<=	5	Criteria for selection of specimen direction	specimens.dir_mad_free
This study	DE-SPEC	>=	4	Criteria for selection of specimen direction	specimens.dir_n_measurements
This study	IE-SAMP	<=	-1	sample intensity	samples.int_abs_sigma
This study	IE-SAMP	<=	200	sample intensity	samples.int_abs_sigma_perc
This study	IE-SAMP	>=	1	sample intensity	samples.int_n_specimens
This study	IE-SITE	<=	-1	Criteria for selection of site intensity	sites.int_abs_sigma
This study	IE-SITE	<=	15	Criteria for selection of site intensity	sites.int_abs_sigma_perc
This study	IE-SITE	>=	2	Criteria for selection of site intensity	sites.int_n_samples
This study	IE-SPEC	<=	0.14	Criteria for selection of specimen intensity	specimens.int_b_beta
This study	IE-SPEC	<=	13	Criteria for selection of specimen intensity	specimens.int_dang
This study	IE-SPEC	<=	17	Criteria for selection of specimen intensity	specimens.int_drats
This study	IE-SPEC	>=	0.3	Criteria for selection of specimen intensity	specimens.int_fvds
This study	IE-SPEC	<=	11	Criteria for selection of specimen intensity	specimens.int_mad_free
This study	IE-SPEC	<=	15	Criteria for selection of specimen intensity	specimens.int_maxdev
This study	IE-SPEC	>=	2	Criteria for selection of specimen intensity	specimens.int_n_ptrm
This study	IE-SPEC	>=	1	Criteria for selection of specimen intensity	specimens.int_q
This study	NPOLE	=	n	Criteria for inclusion in normal mean	site.dir_polarity
This study	RPOLE	=	r	Criteria for inclusion in reverse mean	site.dir_polarity
