tab 	er_samples
cooling_rate_corr	cooling_rate_mcd	er_citation_names	er_location_name	er_sample_alternatives	er_sample_name	er_scientist_mail_names	er_site_name	magic_method_codes	participantlist	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_cooling_rate	sample_declination_correction	sample_description	sample_dip	sample_height	sample_igsn	sample_lat	sample_lithology	sample_lon	sample_texture	sample_type
		This study			mc01a		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64000		Not Specified
		This study			mc01b		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64000		Not Specified
		This study			mc01c		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64000		Not Specified
		This study			mc01d		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64000		Not Specified
		This study			mc01e		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64000		Not Specified
		This study			mc01f		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64000		Not Specified
		This study			mc01g		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64000		Not Specified
		This study			mc01h		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64000		Not Specified
		This study			mc02a		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69000		Not Specified
		This study			mc02b		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69000		Not Specified
		This study			mc02c		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69000		Not Specified
		This study			mc02d		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69000		Not Specified
		This study			mc02e		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69000		Not Specified
		This study			mc02f		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69000		Not Specified
		This study			mc02g		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69000		Not Specified
		This study			mc02h		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69000		Not Specified
		This study			mc03a		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76000		Not Specified
		This study			mc03b		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76000		Not Specified
		This study			mc03c		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76000		Not Specified
		This study			mc03d		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76000		Not Specified
		This study			mc03e		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76000		Not Specified
		This study			mc03f		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76000		Not Specified
		This study			mc03g		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76000		Not Specified
		This study			mc03h		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76000		Not Specified
		This study			mc04a		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.70000		Not Specified
		This study			mc04b		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.70000		Not Specified
		This study			mc04c		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.70000		Not Specified
		This study			mc04d		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.70000		Not Specified
		This study			mc04e		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.70000		Not Specified
		This study			mc04f		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.70000		Not Specified
		This study			mc04g		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.70000		Not Specified
		This study			mc04h		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.70000		Not Specified
		This study			mc06a		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67000		Not Specified
		This study			mc06b		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67000		Not Specified
		This study			mc06c		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67000		Not Specified
		This study			mc06d		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67000		Not Specified
		This study			mc06e		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67000		Not Specified
		This study			mc06f		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67000		Not Specified
		This study			mc06g		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67000		Not Specified
		This study			mc06h		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67000		Not Specified
		This study			mc07a		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72000		Not Specified
		This study			mc07b		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72000		Not Specified
		This study			mc07c		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72000		Not Specified
		This study			mc07d		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72000		Not Specified
		This study			mc07e		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72000		Not Specified
		This study			mc07f		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72000		Not Specified
		This study			mc07g		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72000		Not Specified
		This study			mc07h		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72000		Not Specified
		This study			mc08a		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83000		Not Specified
		This study			mc08b		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83000		Not Specified
		This study			mc08c		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83000		Not Specified
		This study			mc08d		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83000		Not Specified
		This study			mc08e		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83000		Not Specified
		This study			mc08f		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83000		Not Specified
		This study			mc08g		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83000		Not Specified
		This study			mc08h		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83000		Not Specified
		This study			mc09a		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc09b		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc09c		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc09d		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc09e		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc09f		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc09g		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc09h		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc100a		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100b		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100c		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100d		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100e		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100f		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100g		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100h		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100i		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100j		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc101a		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101b		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101c		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101d		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101e		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101f		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101g		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101h		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101i		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101j		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc102a		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102b		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102c		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102d		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102e		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102f		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102g		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102h		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102i		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102j		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102k		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102l		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102m		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc103a		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103b		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103c		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103d		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103e		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103f		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103g		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103h		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103i		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103j		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103k		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103l		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc104a		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104b		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104c		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104d		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104e		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104f		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104g		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104h		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104i		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104j		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104k		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc105a		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105b		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105c		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105d		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105e		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105f		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105g		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105h		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105i		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105j		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105k		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105l		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105m		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105n		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc106a		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106b		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106c		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106d		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106e		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106f		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106g		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
