tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_height	site_lat	site_lithology	site_lon	site_type
This study		mc01	Not Specified	s		-77.85000	Not Specified	166.64000	Not Specified
This study		mc02	Not Specified	s		-77.85000	Not Specified	166.69000	Not Specified
This study		mc03	Not Specified	s		-77.84000	Not Specified	166.76000	Not Specified
This study		mc04	Not Specified	s		-77.84000	Not Specified	166.70000	Not Specified
This study		mc06	Not Specified	s		-77.83000	Not Specified	166.67000	Not Specified
This study		mc07	Not Specified	s		-77.80000	Not Specified	166.72000	Not Specified
This study		mc08	Not Specified	s		-77.80000	Not Specified	166.83000	Not Specified
This study		mc09	Not Specified	s		-77.55000	Not Specified	166.20000	Not Specified
This study		mc100	Not Specified	s		-78.30200	Not Specified	162.90000	Not Specified
This study		mc101	Not Specified	s		-78.30600	Not Specified	162.92800	Not Specified
This study		mc102	Not Specified	s		-78.23500	Not Specified	163.35200	Not Specified
This study		mc103	Not Specified	s		-78.23500	Not Specified	163.36000	Not Specified
This study		mc104	Not Specified	s		-78.23800	Not Specified	163.40100	Not Specified
This study		mc105	Not Specified	s		-78.24500	Not Specified	163.23100	Not Specified
This study		mc106	Not Specified	s		-78.21000	Not Specified	163.30800	Not Specified
This study		mc107	Not Specified	s		-78.20400	Not Specified	163.34700	Not Specified
This study		mc108	Not Specified	s		-78.24700	Not Specified	163.32300	Not Specified
This study		mc109	Not Specified	s		-78.28200	Not Specified	163.54400	Not Specified
This study		mc10	Not Specified	s		-77.57000	Not Specified	166.23000	Not Specified
This study		mc110	Not Specified	s		-78.23800	Not Specified	163.44300	Not Specified
This study		mc111	Not Specified	s		-78.22400	Not Specified	162.78700	Not Specified
This study		mc112	Not Specified	s		-78.23800	Not Specified	163.44100	Not Specified
This study		mc113	Not Specified	s		-78.22600	Not Specified	162.73500	Not Specified
This study		mc114	Not Specified	s		-78.22400	Not Specified	162.78300	Not Specified
This study		mc115	Not Specified	s		-78.24300	Not Specified	162.95800	Not Specified
This study		mc116	Not Specified	s		-78.22200	Not Specified	162.74400	Not Specified
This study		mc117	Not Specified	s		-78.23500	Not Specified	162.97300	Not Specified
This study		mc118	Not Specified	s		-78.24100	Not Specified	163.14100	Not Specified
This study		mc119	Not Specified	s		-78.23900	Not Specified	162.95700	Not Specified
This study		mc11	Not Specified	s		-77.57000	Not Specified	166.23000	Not Specified
This study		mc120	Not Specified	s		-78.24100	Not Specified	163.09200	Not Specified
This study		mc121	Not Specified	s		-78.23500	Not Specified	162.95400	Not Specified
This study		mc122	Not Specified	s		-78.18700	Not Specified	163.58000	Not Specified
This study		mc123	Not Specified	s		-78.25400	Not Specified	163.72900	Not Specified
This study		mc124	Not Specified	s		-78.18600	Not Specified	163.56700	Not Specified
This study		mc125	Not Specified	s		-78.25400	Not Specified	163.73000	Not Specified
This study		mc126	Not Specified	s		-78.25300	Not Specified	163.73700	Not Specified
This study		mc127	Not Specified	s		-78.25400	Not Specified	163.73300	Not Specified
This study		mc128	Not Specified	s		-78.21000	Not Specified	166.57100	Not Specified
This study		mc129	Not Specified	s		-78.21400	Not Specified	166.57700	Not Specified
This study		mc12	Not Specified	s		-77.58000	Not Specified	166.23000	Not Specified
This study		mc130	Not Specified	s		-78.21000	Not Specified	166.57900	Not Specified
This study		mc131	Not Specified	s		-78.21400	Not Specified	166.57300	Not Specified
This study		mc132	Not Specified	s		-78.20600	Not Specified	166.55200	Not Specified
This study		mc133	Not Specified	s		-78.19900	Not Specified	166.58400	Not Specified
This study		mc134	Not Specified	s		-78.21900	Not Specified	166.60700	Not Specified
This study		mc135	Not Specified	s		-78.23100	Not Specified	166.56500	Not Specified
This study		mc136	Not Specified	s		-78.28200	Not Specified	163.32900	Not Specified
This study		mc137	Not Specified	s		-78.26100	Not Specified	163.25700	Not Specified
This study		mc138	Not Specified	s		-78.26000	Not Specified	163.24000	Not Specified
This study		mc139	Not Specified	s		-78.26000	Not Specified	163.08000	Not Specified
This study		mc13	Not Specified	s		-77.64000	Not Specified	166.41000	Not Specified
This study		mc140	Not Specified	s		-78.27600	Not Specified	163.00400	Not Specified
This study		mc141	Not Specified	s		-77.58000	Not Specified	166.24600	Not Specified
This study		mc142	Not Specified	s		-77.85100	Not Specified	166.68000	Not Specified
This study		mc143	Not Specified	s		-78.24400	Not Specified	162.87900	Not Specified
This study		mc144	Not Specified	s		-77.85000	Not Specified	166.68800	Not Specified
This study		mc145	Not Specified	s		-77.85000	Not Specified	166.68800	Not Specified
This study		mc146	Not Specified	s		-78.22000	Not Specified	162.96300	Not Specified
This study		mc147	Not Specified	s		-78.19600	Not Specified	162.96200	Not Specified
This study		mc148	Not Specified	s		-77.49200	Not Specified	167.24900	Not Specified
This study		mc149	Not Specified	s		-77.48600	Not Specified	167.18700	Not Specified
This study		mc14	Not Specified	s		-77.46000	Not Specified	169.23000	Not Specified
This study		mc150	Not Specified	s		-77.71400	Not Specified	162.63700	Not Specified
This study		mc151	Not Specified	s		-77.48600	Not Specified	167.18700	Not Specified
This study		mc152	Not Specified	s		-77.71600	Not Specified	162.64500	Not Specified
This study		mc153	Not Specified	s		-77.76000	Not Specified	162.14400	Not Specified
This study		mc154	Not Specified	s		-77.71900	Not Specified	162.62600	Not Specified
This study		mc155	Not Specified	s		-77.69900	Not Specified	162.25300	Not Specified
This study		mc156	Not Specified	s		-77.70500	Not Specified	162.59200	Not Specified
This study		mc157	Not Specified	s		-77.70300	Not Specified	162.26400	Not Specified
This study		mc158	Not Specified	s		-77.68800	Not Specified	162.46200	Not Specified
This study		mc15	Not Specified	s		-77.47000	Not Specified	169.23000	Not Specified
This study		mc160	Not Specified	s		-77.68700	Not Specified	162.35400	Not Specified
This study		mc161	Not Specified	s		-77.70200	Not Specified	162.69400	Not Specified
This study		mc162	Not Specified	s		-77.70100	Not Specified	162.69000	Not Specified
This study		mc163	Not Specified	s		-77.70000	Not Specified	162.68000	Not Specified
This study		mc164	Not Specified	s		-77.51400	Not Specified	169.33000	Not Specified
