tab	er_samples
er_sample_name	er_site_name	er_location_name	cooling_rate_corr	cooling_rate_mcd	er_citation_names	er_sample_alternatives	er_scientist_mail_names	magic_method_codes	participantlist	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_cooling_rate	sample_declination_correction	sample_description	sample_dip	sample_height	sample_igsn	sample_lat	sample_lithology	sample_lon	sample_texture	sample_type
mc01a	mc01	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
mc01b	mc01	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
mc01c	mc01	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
mc01d	mc01	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
mc01e	mc01	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
mc01f	mc01	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
mc01g	mc01	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
mc01h	mc01	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
mc02a	mc02	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
mc02b	mc02	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
mc02c	mc02	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
mc02d	mc02	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
mc02e	mc02	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
mc02f	mc02	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
mc02g	mc02	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
mc02h	mc02	McMurdo			This study			:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
mc03a	mc03	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
mc03b	mc03	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
mc03c	mc03	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
mc03d	mc03	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
