tab	er_sites
er_site_name	er_location_name	er_citation_names	site_class	site_definition	site_height	site_lat	site_lithology	site_lon	site_type
mc01	McMurdo	This study	Not Specified	s		-77.85000	Not Specified	166.64	Not Specified
mc02	McMurdo	This study	Not Specified	s		-77.85000	Not Specified	166.69	Not Specified
mc03	McMurdo	This study	Not Specified	s		-77.84000	Not Specified	166.76	Not Specified
mc04	McMurdo	This study	Not Specified	s		-77.84000	Not Specified	166.7	Not Specified
mc06	McMurdo	This study	Not Specified	s		-77.83000	Not Specified	166.67	Not Specified
mc07	McMurdo	This study	Not Specified	s		-77.80000	Not Specified	166.72	Not Specified
mc08	McMurdo	This study	Not Specified	s		-77.80000	Not Specified	166.83	Not Specified
mc09	McMurdo	This study	Not Specified	s		-77.55000	Not Specified	166.2	Not Specified
mc10	McMurdo	This study	Not Specified	s		-77.57000	Not Specified	166.23	Not Specified
mc100	McMurdo	This study	Not Specified	s		-78.30200	Not Specified	162.9	Not Specified
mc101	McMurdo	This study	Not Specified	s		-78.30600	Not Specified	162.928	Not Specified
mc102	McMurdo	This study	Not Specified	s		-78.23500	Not Specified	163.352	Not Specified
mc103	McMurdo	This study	Not Specified	s		-78.23500	Not Specified	163.36	Not Specified
mc104	McMurdo	This study	Not Specified	s		-78.23800	Not Specified	163.401	Not Specified
mc105	McMurdo	This study	Not Specified	s		-78.24500	Not Specified	163.231	Not Specified
mc106	McMurdo	This study	Not Specified	s		-78.21000	Not Specified	163.308	Not Specified
mc107	McMurdo	This study	Not Specified	s		-78.20400	Not Specified	163.347	Not Specified
mc108	McMurdo	This study	Not Specified	s		-78.24700	Not Specified	163.323	Not Specified
mc109	McMurdo	This study	Not Specified	s		-78.28200	Not Specified	163.544	Not Specified
mc11	McMurdo	This study	Not Specified	s		-77.57000	Not Specified	166.23	Not Specified
mc110	McMurdo	This study	Not Specified	s		-78.23800	Not Specified	163.443	Not Specified
mc111	McMurdo	This study	Not Specified	s		-78.22400	Not Specified	162.787	Not Specified
mc112	McMurdo	This study	Not Specified	s		-78.23800	Not Specified	163.441	Not Specified
mc113	McMurdo	This study	Not Specified	s		-78.22600	Not Specified	162.735	Not Specified
mc114	McMurdo	This study	Not Specified	s		-78.22400	Not Specified	162.783	Not Specified
mc115	McMurdo	This study	Not Specified	s		-78.24300	Not Specified	162.958	Not Specified
mc116	McMurdo	This study	Not Specified	s		-78.22200	Not Specified	162.744	Not Specified
mc117	McMurdo	This study	Not Specified	s		-78.23500	Not Specified	162.973	Not Specified
mc118	McMurdo	This study	Not Specified	s		-78.24100	Not Specified	163.141	Not Specified
mc119	McMurdo	This study	Not Specified	s		-78.23900	Not Specified	162.957	Not Specified
mc12		This study	Not Specified	s		-77.58000	Not Specified	166.23	Not Specified
mc120	McMurdo	This study	Not Specified	s		-78.24100	Not Specified	163.092	Not Specified
mc121	McMurdo	This study	Not Specified	s		-78.23500	Not Specified	162.954	Not Specified
mc122	McMurdo	This study	Not Specified	s		-78.18700	Not Specified	163.58	Not Specified
mc123	McMurdo	This study	Not Specified	s		-78.25400	Not Specified	163.729	Not Specified
mc124	McMurdo	This study	Not Specified	s		-78.18600	Not Specified	163.567	Not Specified
mc125	McMurdo	This study	Not Specified	s		-78.25400	Not Specified	163.73	Not Specified
mc126	McMurdo	This study	Not Specified	s		-78.25300	Not Specified	163.737	Not Specified
mc127	McMurdo	This study	Not Specified	s		-78.25400	Not Specified	163.733	Not Specified
mc128	McMurdo	This study	Not Specified	s		-78.21000	Not Specified	166.571	Not Specified
mc129	McMurdo	This study	Not Specified	s		-78.21400	Not Specified	166.577	Not Specified
mc13	McMurdo	This study	Not Specified	s		-77.64000	Not Specified	166.41	Not Specified
mc130	McMurdo	This study	Not Specified	s		-78.21000	Not Specified	166.579	Not Specified
mc131	McMurdo	This study	Not Specified	s		-78.21400	Not Specified	166.573	Not Specified
mc132	McMurdo	This study	Not Specified	s		-78.20600	Not Specified	166.552	Not Specified
mc133	McMurdo	This study	Not Specified	s		-78.19900	Not Specified	166.584	Not Specified
mc134	McMurdo	This study	Not Specified	s		-78.21900	Not Specified	166.607	Not Specified
mc135	McMurdo	This study	Not Specified	s		-78.23100	Not Specified	166.565	Not Specified
mc136	McMurdo	This study	Not Specified	s		-78.28200	Not Specified	163.329	Not Specified
mc137	McMurdo	This study	Not Specified	s		-78.26100	Not Specified	163.257	Not Specified
mc138	McMurdo	This study	Not Specified	s		-78.26000	Not Specified	163.24	Not Specified
mc139	McMurdo	This study	Not Specified	s		-78.26000	Not Specified	163.08	Not Specified
mc14	McMurdo	This study	Not Specified	s		-77.46000	Not Specified	169.23	Not Specified
mc140	McMurdo	This study	Not Specified	s		-78.27600	Not Specified	163.004	Not Specified
mc141	McMurdo	This study	Not Specified	s		-77.58000	Not Specified	166.246	Not Specified
mc142	McMurdo	This study	Not Specified	s		-77.85100	Not Specified	166.68	Not Specified
mc143	McMurdo	This study	Not Specified	s		-78.24400	Not Specified	162.879	Not Specified
mc144	McMurdo	This study	Not Specified	s		-77.85000	Not Specified	166.688	Not Specified
mc145	McMurdo	This study	Not Specified	s		-77.85000	Not Specified	166.688	Not Specified
mc146	McMurdo	This study	Not Specified	s		-78.22000	Not Specified	162.963	Not Specified
mc147	McMurdo	This study	Not Specified	s		-78.19600	Not Specified	162.962	Not Specified
mc148	McMurdo	This study	Not Specified	s		-77.49200	Not Specified	167.249	Not Specified
mc149	McMurdo	This study	Not Specified	s		-77.48600	Not Specified	167.187	Not Specified
mc15	McMurdo	This study	Not Specified	s		-77.47000	Not Specified	169.23	Not Specified
mc150	McMurdo	This study	Not Specified	s		-77.71400	Not Specified	162.637	Not Specified
mc151		This study	Not Specified	s		-77.48600	Not Specified	167.187	Not Specified
mc152	McMurdo	This study	Not Specified	s		-77.71600	Not Specified	162.645	Not Specified
mc153	McMurdo	This study	Not Specified	s		-77.76000	Not Specified	162.144	Not Specified
mc154	McMurdo	This study	Not Specified	s		-77.71900	Not Specified	162.626	Not Specified
mc155	McMurdo	This study	Not Specified	s		-77.69900	Not Specified	162.253	Not Specified
mc156	McMurdo	This study	Not Specified	s		-77.70500	Not Specified	162.592	Not Specified
mc157	McMurdo	This study	Not Specified	s		-77.70300	Not Specified	162.264	Not Specified
mc158	McMurdo	This study	Not Specified	s		-77.68800	Not Specified	162.462	Not Specified
mc16		This study	Not Specified	s		-77.51000	Not Specified	169.38	Not Specified
mc160	McMurdo	This study	Not Specified	s		-77.68700	Not Specified	162.354	Not Specified
mc161	McMurdo	This study	Not Specified	s		-77.70200	Not Specified	162.694	Not Specified
mc162	McMurdo	This study	Not Specified	s		-77.70100	Not Specified	162.69	Not Specified
mc163	McMurdo	This study	Not Specified	s		-77.70000	Not Specified	162.68	Not Specified
mc164	McMurdo	This study	Not Specified	s		-77.51400	Not Specified	169.33	Not Specified
mc165	McMurdo	This study	Not Specified	s		-77.51300	Not Specified	169.332	Not Specified
mc166	McMurdo	This study	Not Specified	s		-77.84900	Not Specified	166.67	Not Specified
mc167	McMurdo	This study	Not Specified	s		-77.48700	Not Specified	169.294	Not Specified
mc168	McMurdo	This study	Not Specified	s		-77.48800	Not Specified	169.292	Not Specified
mc169		This study	Not Specified	s		-77.49100	Not Specified	169.28	Not Specified
mc170	McMurdo	This study	Not Specified	s		-77.85400	Not Specified	166.714	Not Specified
mc19	McMurdo	This study	Not Specified	s		-77.86000	Not Specified	165.23	Not Specified
mc20	McMurdo	This study	Not Specified	s		-77.88000	Not Specified	165.02	Not Specified
mc200	McMurdo	This study	Not Specified	s		-77.54995	Not Specified	166.16148	Not Specified
mc201	McMurdo	This study	Not Specified	s		-77.56284	Not Specified	166.21958	Not Specified
mc202	McMurdo	This study	Not Specified	s		-77.65674	Not Specified	166.36424	Not Specified
mc203	McMurdo	This study	Not Specified	s		-77.58070	Not Specified	166.25055	Not Specified
mc204	McMurdo	This study	Not Specified	s		-77.64020	Not Specified	166.40836	Not Specified
mc205	McMurdo	This study	Not Specified	s		-77.65666	Not Specified	166.72515	Not Specified
mc206	McMurdo	This study	Not Specified	s		-77.66665	Not Specified	166.78033	Not Specified
mc207	McMurdo	This study	Not Specified	s		-77.67871	Not Specified	166.5173	Not Specified
mc208	McMurdo	This study	Not Specified	s		-77.66786	Not Specified	166.53186	Not Specified
