tab	er_specimens
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_citation_names	specimen_class	specimen_lithology	specimen_type
mc01a	mc01a	mc01	McMurdo	This study	Igneous : Extrusive	Trachyte	Lava Flow
mc01b	mc01b	mc01	McMurdo	This study	Igneous : Extrusive	Trachyte	Lava Flow
mc01c	mc01c	mc01	McMurdo	This study	Igneous : Extrusive	Trachyte	Lava Flow
mc01d	mc01d	mc01	McMurdo	This study	Igneous : Extrusive	Trachyte	Lava Flow
mc01e	mc01e	mc01	McMurdo	This study	Igneous : Extrusive	Trachyte	Lava Flow
mc01f	mc01f	mc01	McMurdo	This study	Igneous : Extrusive	Trachyte	Lava Flow
mc01g	mc01g	mc01	McMurdo	This study	Igneous : Extrusive	Trachyte	Lava Flow
mc01h	mc01h	mc01	McMurdo	This study	Igneous : Extrusive	Trachyte	Lava Flow
mc02a	mc02a	mc02	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc02b	mc02b	mc02	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc02c	mc02c	mc02	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc02e	mc02e	mc02	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc02f	mc02f	mc02	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc02g	mc02g	mc02	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc02h	mc02h	mc02	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc03a	mc03a	mc03	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc03b	mc03b	mc03	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc03c	mc03c	mc03	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc03d	mc03d	mc03	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc03f	mc03f	mc03	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc03h	mc03h	mc03	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc04a	mc04a	mc04	McMurdo	This study	Igneous : Intrusive	Basalt	Volcanic Dike
mc04b	mc04b	mc04	McMurdo	This study	Igneous : Intrusive	Basalt	Volcanic Dike
mc04c-1	mc04c	mc04	McMurdo	This study	Igneous : Intrusive	Basalt	Volcanic Dike
mc04e	mc04e	mc04	McMurdo	This study	Igneous : Intrusive	Basalt	Volcanic Dike
mc04f	mc04f	mc04	McMurdo	This study	Igneous : Intrusive	Basalt	Volcanic Dike
mc04g	mc04g	mc04	McMurdo	This study	Igneous : Intrusive	Basalt	Volcanic Dike
mc04h	mc04h	mc04	McMurdo	This study	Igneous : Intrusive	Basalt	Volcanic Dike
mc06a	mc06a	mc06	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc06c	mc06c	mc06	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc06d	mc06d	mc06	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc06g	mc06g	mc06	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc06h	mc06h	mc06	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc07b	mc07b	mc07	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc07c	mc07c	mc07	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc07d	mc07d	mc07	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc07e	mc07e	mc07	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc07f	mc07f	mc07	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc08a	mc08a	mc08	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
mc08b	mc08b	mc08	McMurdo	This study	Igneous : Extrusive	Basalt	Lava Flow
