tab	pmag_sites
er_site_name	er_location_name	er_specimen_names	er_sample_names	er_analyst_mail_names	er_citation_names	magic_instrument_codes	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
mc01	McMurdo	mc01h:mc01b:mc01c:mc01a:mc01f:mc01g:mc01d:mc01e	mc01h:mc01b:mc01c:mc01a:mc01f:mc01g:mc01d:mc01e	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						1.18	0.005	Ma	0.00001654	4	0.000003374	20.4							
mc02	McMurdo	mc02g:mc02f:mc02e:mc02c:mc02b:mc02a:mc02h	mc02g:mc02f:mc02e:mc02d:mc02c:mc02b:mc02a:mc02h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.1	A	328.6	Direction included in Pmag_Results.	-80	0.33	0.01	Ma					1079.2	6	5	1	n	5.9958	0
mc03	McMurdo	mc03a:mc03b:mc03c:mc03d:mc03f:mc03h	mc03a:mc03b:mc03c:mc03d:mc03e:mc03f:mc03g:mc03h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3	A	352.0	Direction included in Pmag_Results.	-82.7	0.348	0.004	Ma					864.7	6	6	0	n	5.9942	0
mc04	McMurdo	mc04e:mc04g:mc04f:mc04a:mc04c-1:mc04b:mc04h	mc04e:mc04d:mc04g:mc04f:mc04a:mc04c:mc04b:mc04h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.6	A	352.1	Direction included in Pmag_Results.	-86.8	0.34	0.003	Ma					292.3	5	4	1	n	4.988	0
mc06	McMurdo	mc06c:mc06a:mc06g:mc06d:mc06h	mc06c:mc06b:mc06a:mc06g:mc06f:mc06e:mc06d:mc06h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.8	A	13.6	Direction included in Pmag_Results.	-78.8	4	4	Ma					254.4	5	5	0	n	4.9843	0
mc07	McMurdo	mc07d:mc07e:mc07f:mc07b:mc07c	mc07h:mc07d:mc07e:mc07f:mc07g:mc07a:mc07b:mc07c	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2	A	156.9	Direction included in Pmag_Results.	-69.1	4	4	Ma					555.9	5	5	0	n	4.9928	0
mc08	McMurdo	mc08a:mc08c:mc08b:mc08e:mc08d:mc08g:mc08f:mc08h	mc08a:mc08c:mc08b:mc08e:mc08d:mc08g:mc08f:mc08h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.65	0.025	Ma	0.00004336	3	0.000001508	3.479							
mc09	McMurdo	mc09b:mc09c:mc09a:mc09f:mc09g:mc09d:mc09e:mc09h	mc09b:mc09c:mc09a:mc09f:mc09g:mc09d:mc09e:mc09h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.074	0.0075	Ma	0.0000271	3	0.000001007	3.715							
mc10	McMurdo	mc10a:mc10b:mc10c:mc10d:mc10e:mc10f:mc10g:mc10h	mc10a:mc10b:mc10c:mc10d:mc10e:mc10f:mc10g:mc10h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00003737	1	0	0							
mc100	McMurdo	mc100h2:mc100a1:mc100e1:mc100e2:mc100d1:mc100g2:mc100g1:mc100f2	mc100i:mc100h:mc100j:mc100a:mc100c:mc100b:mc100e:mc100d:mc100g:mc100f	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6	A	9.9	Direction included in Pmag_Results.	-76.6	0.86	0.115	Ma					582.7	7	5	2	n	6.9914	0
mc101	McMurdo	mc101h1:mc101b1:mc101c1:mc101a1:mc101f1:mc101d1	mc101j:mc101h:mc101i:mc101b:mc101c:mc101a:mc101f:mc101g:mc101d:mc101e	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.1	A	38.5	Direction included in Pmag_Results.	-80.6	1.065	0.004	Ma					460.8	6	6	0	n	5.9891	0
mc102	McMurdo	mc102b1:mc102b2:mc102a2:mc102a1:mc102g1:mc102f1:mc102e1:mc102m2	mc102c:mc102b:mc102a:mc102g:mc102f:mc102e:mc102d:mc102k:mc102j:mc102i:mc102h:mc102m:mc102l	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.4	A	150.4	Direction included in Pmag_Results.	75.7	0.264	0.01	Ma					326.5	7	6	1	r	6.9832	0
mc103	McMurdo	mc103d2:mc103d1:mc103e2:mc103e1:mc103a2:mc103a1:mc103b1:mc103b2:mc103c1:mc103c2	mc103d:mc103e:mc103f:mc103g:mc103a:mc103b:mc103c:mc103l:mc103h:mc103i:mc103j:mc103k	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						1.421	0.015	Ma	0.000021	1	0	0							
mc104	McMurdo	mc104d1:mc104c2:mc104c1:mc104b1:mc104b2:mc104f1:mc104a1	mc104d:mc104g:mc104c:mc104b:mc104e:mc104f:mc104a:mc104i:mc104h:mc104k:mc104j	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2	A	72.1	Direction included in Pmag_Results.	-77.2	0.29	0.01	Ma					367.4	7	5	2	n	6.9864	0
mc105	McMurdo	mc105d1:mc105c1:mc105a1:mc105a2:mc105j1:mc105h1:mc105f1:mc105g1	mc105d:mc105e:mc105c:mc105a:mc105j:mc105k:mc105h:mc105f:mc105g:mc105b:mc105n:mc105l:mc105m:mc105i	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.86	0.035	Ma	0.00002862	4	0.000001917	6.697							
mc106	McMurdo	mc106e1:mc106d1:mc106c1:mc106b1:mc106a1	mc106l:mc106k:mc106j:mc106i:mc106h:mc106g:mc106f:mc106e:mc106d:mc106c:mc106b:mc106a	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8	A	19.5	Direction included in Pmag_Results.	-76.7	13.42	0.09	Ma					410.8	5	5	0	n	4.9903	0
mc107	McMurdo	mc107c1:mc107d2:mc107e2:mc107e1:mc107h1:mc107k1:mc107l1	mc107a:mc107b:mc107c:mc107d:mc107e:mc107f:mc107g:mc107h:mc107i:mc107j:mc107k:mc107l	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						2.57	0.19	Ma	0.00001524	1	0	0							
mc108	McMurdo	mc108a2:mc108a1:mc108c1:mc108b1:mc108d1:mc108g2:mc108h1:mc108k1	mc108a:mc108c:mc108b:mc108e:mc108d:mc108g:mc108f:mc108i:mc108h:mc108k:mc108j	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8	A	69.8	Direction included in Pmag_Results.	-72.4	0.41	0.07	Ma					403.2	5	5	0	n	4.9901	0
