tab	samples
cooling_rate_corr	cooling_rate_mcd	citations	location	sample_alternatives	sample	scientists	site	method_codes	participantlist	azimuth	bed_dip	bed_dip_direction	geologic_classes	cooling_rate	azimuth_dec_correction	description	dip	height	igsn	lat	lithologies	lon	texture	geologic_types
		This study	McMurdo		mc01a		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
		This study	McMurdo		mc01b		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
		This study	McMurdo		mc01c		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
		This study	McMurdo		mc01d		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
		This study	McMurdo		mc01e		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
		This study	McMurdo		mc01f		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
		This study	McMurdo		mc01g		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
		This study	McMurdo		mc01h		mc01	:SO-NO					Not Specified							-77.85000	Not Specified	166.64		Not Specified
		This study	McMurdo		mc02a		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
		This study	McMurdo		mc02b		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
		This study	McMurdo		mc02c		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
		This study	McMurdo		mc02d		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
		This study	McMurdo		mc02e		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
		This study	McMurdo		mc02f		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
		This study	McMurdo		mc02g		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
		This study	McMurdo		mc02h		mc02	:SO-NO					Not Specified							-77.85000	Not Specified	166.69		Not Specified
		This study	McMurdo		mc03a		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
		This study	McMurdo		mc03b		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
		This study	McMurdo		mc03c		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
		This study	McMurdo		mc03d		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
		This study	McMurdo		mc03e		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
		This study	McMurdo		mc03f		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
		This study	McMurdo		mc03g		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
		This study	McMurdo		mc03h		mc03	:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
		This study	McMurdo		mc04a		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
		This study	McMurdo		mc04b		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
		This study	McMurdo		mc04c		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
		This study	McMurdo		mc04d		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
		This study	McMurdo		mc04e		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
		This study	McMurdo		mc04f		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
		This study	McMurdo		mc04g		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
		This study	McMurdo		mc04h		mc04	:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
		This study	McMurdo		mc06a		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
		This study	McMurdo		mc06b		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
		This study	McMurdo		mc06c		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
		This study	McMurdo		mc06d		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
		This study	McMurdo		mc06e		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
		This study	McMurdo		mc06f		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
		This study	McMurdo		mc06g		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
		This study	McMurdo		mc06h		mc06	:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
		This study	McMurdo		mc07a		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
		This study	McMurdo		mc07b		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
		This study	McMurdo		mc07c		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
		This study	McMurdo		mc07d		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
		This study	McMurdo		mc07e		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
		This study	McMurdo		mc07f		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
		This study	McMurdo		mc07g		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
		This study	McMurdo		mc07h		mc07	:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
		This study	McMurdo		mc08a		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
		This study	McMurdo		mc08b		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
		This study	McMurdo		mc08c		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
		This study	McMurdo		mc08d		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
		This study	McMurdo		mc08e		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
		This study	McMurdo		mc08f		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
		This study	McMurdo		mc08g		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
		This study	McMurdo		mc08h		mc08	:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
		This study	McMurdo		mc09a		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
		This study	McMurdo		mc09b		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
		This study	McMurdo		mc09c		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
		This study	McMurdo		mc09d		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
		This study	McMurdo		mc09e		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
		This study	McMurdo		mc09f		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
		This study	McMurdo		mc09g		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
		This study	McMurdo		mc09h		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
		This study	McMurdo		mc100a		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc100b		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc100c		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc100d		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc100e		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc100f		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc100g		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc100h		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc100i		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc100j		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
		This study	McMurdo		mc101a		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
		This study	McMurdo		mc101b		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
		This study	McMurdo		mc101c		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
		This study	McMurdo		mc101d		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
		This study	McMurdo		mc101e		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
