tab	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05a1	Archeologic	Ceramic	9.61e-05	0.02	c	0.97	0.95	0.48	2.69	0.89	0.87	0.87	2.31	11.0	5.0	43.74	6e-05	Not Specified	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05a	pmagpy-3.4.1: thellier_gui.v.3.0	hz05a1
2.13	1.173968	1.819236	0.057769	0.344050 : 0.328649 : 0.327301 : -0.009684 : -0.000697 : -0.000627	6.0	0.011113	ATRM	0.348725 : 334.3 : -0.7	0.327526 : 247.0 : 75.7	0.323749 : 244.1 : -14.2	This study	Critical F: 3.1059									hz05a1;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	b	hz05a	pmagpy-3.4.1: thellier_gui.v.3.0	hz05a1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05a2	Archeologic	Ceramic	8.89e-05	0.01	c	1.03	0.97	0.83	1.33	0.89	0.82	0.87	2.19	10.0	5.0	76.53	6e-05	Not Specified	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05a	pmagpy-3.4.1: thellier_gui.v.3.0	hz05a2
0.84	4.222956	4.552863	1.11355	0.331962 : 0.327829 : 0.340209 : -0.001051 : 0.012687 : -0.010832	6.0	0.007775	ATRM	0.352843 : 135.8 : 52.7	0.329380 : 35.3 : 7.9	0.317777 : 299.5 : 36.1	This study	Critical F: 3.1059									hz05a2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05a	pmagpy-3.4.1: thellier_gui.v.3.0	hz05a2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05a3	Archeologic	Ceramic	8.62e-05	0.02	c	1.05	0.97	0.82	0.4	0.83	0.79	0.83	1.37	9.0	6.0	34.44	6e-05	Not Specified	863.0	573.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05a	pmagpy-3.4.1: thellier_gui.v.3.0	hz05a3
0.58	3.586323	3.979692	0.876838	0.330940 : 0.332237 : 0.336823 : 0.013169 : -0.006450 : -0.009857	6.0	0.008471	ATRM	0.353006 : 223.2 : 35.6	0.329106 : 65.4 : 52.3	0.317888 : 141.1 : -10.8	This study	Critical F: 3.1059									hz05a3;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05a	pmagpy-3.4.1: thellier_gui.v.3.0	hz05a3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b1	Archeologic	Ceramic	7.900000000000001e-05	0.03	c	1.0	0.97	0.69	3.17	0.81	0.83	0.89	1.42	12.0	6.0	26.21	6e-05	Not Specified	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b1
1.13	4.170097	0.89636	4.839868	0.335358 : 0.323140 : 0.341502 : -0.019860 : -0.006705 : 0.001870	6.0	0.010086	ATRM	0.352796 : 320.8 : 26.7	0.339292 : 158.8 : 62.1	0.307913 : 54.5 : 7.4	This study	Critical F: 3.1059									hz05b1;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b2	Archeologic	Ceramic	7.59e-05	0.03	c	1.04	0.97	2.04	1.42	0.86	0.95	0.9	3.5	13.0	6.0	29.68	6e-05	Not Specified	863.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b2
2.51	12.090165	7.740638	7.37291	0.313500 : 0.340034 : 0.346466 : 0.001776 : -0.013998 : 0.013753	6.0	0.006775	ATRM	0.359776 : 291.6 : 53.6	0.333120 : 64.4 : 26.6	0.307104 : 166.6 : 22.9	This study	Critical F: 3.1059									hz05b2;ATRM	Archeologic	Ceramic																Not Specified				AE-H:LP-AN-TRM	g	hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b2
