tab 	specimens
citations	description	method_codes	result_quality	sample	specimen	synthetic_alternatives	volume	weight
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	akaganeite (Dyar) Nanophase 1GOE 07/2010 J. Bosch T-series	akaganeite (Dyar) Nanophase 1GOE 07/2010 J. Bosch T-series Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	akaganeite (Dyar) Sklute, Ak020515	akaganeite (Dyar) Sklute, Ak020515 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	akaganeite (Dyar) Sklute, Ak102315	akaganeite (Dyar) Sklute, Ak102315 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 1: DB seep surf 2, E. Estes	ferrihydrite (Dyar) 1: DB seep surf 2, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 10: chat 1-3 <44, E. Estes	ferrihydrite (Dyar) 10: chat 1-3 <44, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 2: DB seep bio, E. Estes	ferrihydrite (Dyar) 2: DB seep bio, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 3: Ad, E. Estes	ferrihydrite (Dyar) 3: Ad, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 4: 22 1, E. Estes	ferrihydrite (Dyar) 4: 22 1, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 5: ken 1-1, E. Estes	ferrihydrite (Dyar) 5: ken 1-1, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 6: DB3 fine >44, E. Estes	ferrihydrite (Dyar) 6: DB3 fine >44, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 7: DB3 fine >74, E. Estes	ferrihydrite (Dyar) 7: DB3 fine >74, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 8: chat 1 >44, E. Estes	ferrihydrite (Dyar) 8: chat 1 >44, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 9: chat 1 >74, E. Estes	ferrihydrite (Dyar) 9: chat 1 >74, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) 96214, Smedley's Mine	ferrihydrite (Dyar) 96214, Smedley's Mine Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) air dried	ferrihydrite (Dyar) air dried Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) DB B+1 20 cm, E. Estes	ferrihydrite (Dyar) DB B+1 20 cm, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Dehouk, FH-150-0-A	ferrihydrite (Dyar) Dehouk, FH-150-0-A Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Dehouk, FH-150-1-A	ferrihydrite (Dyar) Dehouk, FH-150-1-A Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Dehouk, FH-40-0-A	ferrihydrite (Dyar) Dehouk, FH-40-0-A Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Dehouk, FH-40-1-A	ferrihydrite (Dyar) Dehouk, FH-40-1-A Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Dehouk, FH-40-2-A	ferrihydrite (Dyar) Dehouk, FH-40-2-A Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Dehouk, FH-40-3-A	ferrihydrite (Dyar) Dehouk, FH-40-3-A Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Dehouk, FH-40-h-A	ferrihydrite (Dyar) Dehouk, FH-40-h-A Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Dehouk, FH-ini, 21 may	ferrihydrite (Dyar) Dehouk, FH-ini, 21 may Moss			0.0
