tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	location_end_lat	location_begin_lon	er_location_name	location_begin_lat	location_end_lon
African Plate	Drill Site	This study	Atlantic Ocean	-27	355	DSDP Site 522	-27	355
>>>>>>>>>>
tab 	er_samples
er_citation_names	er_site_name	er_sample_name	sample_core_depth	er_location_name	magic_method_codes
This study	15-1-013	15-1-013	55.23	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-022	15-1-022	55.31	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-024	15-1-024	55.34	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-028	15-1-028	55.38	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-031	15-1-031	55.41	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-035	15-1-035	55.44	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-039	15-1-039	55.48	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-041	15-1-041	55.51	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-045	15-1-045	55.54	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-047	15-1-047	55.56	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-051	15-1-051	55.6	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-054	15-1-054	55.63	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-057	15-1-057	55.66	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-060	15-1-060	55.7	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-063	15-1-063	55.73	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-066	15-1-066	55.76	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-069	15-1-069	55.78	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-072	15-1-072	55.81	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-075	15-1-075	55.85	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-079	15-1-079	55.88	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-082	15-1-082	55.91	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-085	15-1-085	55.94	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-088	15-1-088	55.97	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-091	15-1-091	56.01	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-094	15-1-094	56.04	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-097	15-1-097	56.07	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-100	15-1-100	56.1	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-103	15-1-103	56.12	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-1-106	15-1-106	56.16	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
