tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	lowensta	LT-NO:DE-VM:LP-DIR-T	pmagpy-3.4.0	1.6	351.5	average of multiple measurements	g	-72.3	4.319e-06	1	3.0	3.37e-08	2.51e-08	3.91e-09	u	273	0	0	273
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.5	352.9		g	-71.8	4.33e-06	2	1	3.26e-08	2.37e-08	2.77e-09	u	273	2.000e-02	0	273
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.8	356.4		g	-71.7	4.34e-06	3	1	3.28e-08	5.44e-08	2.17e-09	u	273	4.000e-02	0	273
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.6	355.8		g	-71.3	4.36e-06	4	1	1.51e-08	2.01e-07	5.69e-09	u	273	0	0	373.0
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.6	349.0		g	-70.6	4.49e-06	5	1	2.29e-08	4.16e-08	5.82e-09	u	273	0	0	423.0
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	356.7		g	-70.4	4.57e-06	6	1	3.55e-08	4.42e-08	1.12e-08	u	273	0	0	473.0
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	355.1		g	-70.4	4.59e-06	7	1	5.71e-08	4.02e-08	2.13e-08	u	273	0	0	523.0
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	356.9		g	-69.2	4.55e-06	8	1	4.43e-08	9.54e-08	1.82e-08	u	273	0	0	573.0
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	356.3		g	-68.4	4.49e-06	9	1	2.01e-08	6.20e-08	6.91e-09	u	273	0	0	623.0
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	358.8		g	-68.8	4.48e-06	10	1	2.92e-08	1.22e-07	1.17e-08	u	273	0	0	673.0
