Sample ID	Alpha (azi)	Betha(dip)	Strike	dip	Lat	Long	Vol	Chi
mk118	22	21	0	0	35.23788	32.92075	8	1	1
mk120	30	15	0	0	35.23788	32.92075	8	1	1
mk121	33	8	0	0	35.23788	32.92075	8	1	1
mk123	84	40	0	0	35.23788	32.92075	8	1	1
mk124	65	56	0	0	35.23788	32.92075	8	1	1
mk125	62	46	0	0	35.23788	32.92075	8	1	1
mk127	90	30	0	0	35.23788	32.92075	8	1	1
mk129	61	42	0	0	35.23788	32.92075	8	1	1
mk130	80	34	0	0	35.23788	32.92075	8	1	1
mk131	85	31	0	0	35.23788	32.92075	8	1	1
mk133	95	28	0	0	35.23788	32.92075	8	1	1
mk134	70	46	0	0	35.23788	32.92075	8	1	1
mk135	70	55	0	0	35.23788	32.92075	8	1	1
mk136	90	34	0	0	35.23788	32.92075	8	1	1
mk137	109	10	0	0	35.23788	32.92075	8	1	1
mk138	97	6	0	0	35.23788	32.92075	8	1	1
mk139	92	14	0	0	35.23788	32.92075	8	1	1
mk232	77	29	0	0	35.23788	32.92075	8	1	1
mk234	94	19	0	0	35.23788	32.92075	8	1	1
mk235	77	34	0	0	35.23788	32.92075	8	1	1
mk236	84	27	0	0	35.23788	32.92075	8	1	1
mk238	72	54	0	0	35.23788	32.92075	8	1	1
mk239	72	31	0	0	35.23788	32.92075	8	1	1
mk240	45	26	0	0	35.23788	32.92075	8	1	1
mk242	59	28	0	0	35.23788	32.92075	8	1	1
mk244	90	47	0	0	35.23788	32.92075	8	1	1
mk245	92	60	0	0	35.23788	32.92075	8	1	1
mk448	60	19	0	0	35.23788	32.92075	8	1	1
mk449	54	24	0	0	35.23788	32.92075	8	1	1
mk450	64	22	0	0	35.23788	32.92075	8	1	1
mk451	60	29	0	0	35.23788	32.92075	8	1	1
mk452	45	25	0	0	35.23788	32.92075	8	1	1
mk454	42	33	0	0	35.23788	32.92075	8	1	1
mk455	46	38	0	0	35.23788	32.92075	8	1	1
mk456	41	36	0	0	35.23788	32.92075	8	1	1
mk457	85	29	0	0	35.23788	32.92075	8	1	1
mk458	69	9	0	0	35.23788	32.92075	8	1	1
mk701	7	53	0	0	35.23788	32.92075	8	1	1
mk703	6	50	0	0	35.23788	32.92075	8	1	1
mk705	4	29	0	0	35.23788	32.92075	8	1	1
mk706	11	26	0	0	35.23788	32.92075	8	1	1
mk707	10	13	0	0	35.23788	32.92075	8	1	1
mk708	36	38	0	0	35.23788	32.92075	8	1	1
mk709	18	28	0	0	35.23788	32.92075	8	1	1
mk711	3	28	0	0	35.23788	32.92075	8	1	1
mk712	16	33	0	0	35.23788	32.92075	8	1	1
mk714	0	38	0	0	35.23788	32.92075	8	1	1
mk715	2	38	0	0	35.23788	32.92075	8	1	1
mk716	1	36	0	0	35.23788	32.92075	8	1	1
mk717	26	7	0	0	35.23788	32.92075	8	1	1
mk718	34	36	0	0	35.23788	32.92075	8	1	1
mk719	37	29	0	0	35.23788	32.92075	8	1	1
mk804	88	19	0	0	35.23788	32.92075	8	1	1
mk805	82	21	0	0	35.23788	32.92075	8	1	1
mk806	10	31	0	0	35.23788	32.92075	8	1	1
mk807	92	38	0	0	35.23788	32.92075	8	1	1
mk808	94	30	0	0	35.23788	32.92075	8	1	1
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									