tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	external_database_ids	external_database_names	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-0.00	318-U1359B-003H_2A-0.00	318-U1359B-003H_2A-0.00	"3348648057.953375"	LIMS	318-U1359B-003H_2A-0.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	22.6		g	69.2	4.310e-07	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-10.00	318-U1359B-003H_2A-10.00	318-U1359B-003H_2A-10.00	""	LIMS	318-U1359B-003H_2A-10.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	36.1		g	77.1	7.797e-07	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-100.00	318-U1359B-003H_2A-100.00	318-U1359B-003H_2A-100.00	""	LIMS	318-U1359B-003H_2A-100.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	347		g	86.5	6.916e-07	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-105.00	318-U1359B-003H_2A-105.00	318-U1359B-003H_2A-105.00	""	LIMS	318-U1359B-003H_2A-105.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	245.2		g	86.4	7.614e-07	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-110.00	318-U1359B-003H_2A-110.00	318-U1359B-003H_2A-110.00	""	LIMS	318-U1359B-003H_2A-110.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	204		g	84.1	9.436e-07	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-115.00	318-U1359B-003H_2A-115.00	318-U1359B-003H_2A-115.00	""	LIMS	318-U1359B-003H_2A-115.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	53.6		g	67.9	1.845e-06	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-120.00	318-U1359B-003H_2A-120.00	318-U1359B-003H_2A-120.00	""	LIMS	318-U1359B-003H_2A-120.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	347.7		g	58.4	2.577e-06	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-125.00	318-U1359B-003H_2A-125.00	318-U1359B-003H_2A-125.00	""	LIMS	318-U1359B-003H_2A-125.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	303.9		g	63.5	1.443e-06	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-130.00	318-U1359B-003H_2A-130.00	318-U1359B-003H_2A-130.00	""	LIMS	318-U1359B-003H_2A-130.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	155.7		g	67.3	6.353e-07	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-135.00	318-U1359B-003H_2A-135.00	318-U1359B-003H_2A-135.00	""	LIMS	318-U1359B-003H_2A-135.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	134.2		g	47.9	1.324e-07	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
TAUXE	This study	318	U1359B	318-U1359B-003H_2A-140.00	318-U1359B-003H_2A-140.00	318-U1359B-003H_2A-140.00	""	LIMS	318-U1359B-003H_2A-140.00:LT-NO	ODP-SRM:ODP-SRM-AF	LT-NO	pmagpy-3.2.1		202010:02:10:12:07:00.00	309		g	47	1.519e-08	1		u	2.730e+02	0.000e+00	0	0	0	2.730e+02
