tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.201e+00	4.576e+01	1	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.196e+00	4.575e+01	2	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.180e+00	4.552e+01	3	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.163e+00	4.526e+01	4	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.145e+00	4.508e+01	5	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.128e+00	4.480e+01	6	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.111e+00	4.456e+01	7	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.094e+00	4.433e+01	8	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.077e+00	4.406e+01	9	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.059e+00	4.386e+01	10	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.042e+00	4.366e+01	11	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.025e+00	4.339e+01	12	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	1.008e+00	4.313e+01	13	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	9.908e-01	4.288e+01	14	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	9.735e-01	4.264e+01	15	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	9.564e-01	4.240e+01	16	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	9.392e-01	4.214e+01	17	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	9.221e-01	4.190e+01	18	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	9.048e-01	4.169e+01	19	u	273		273
This study	unknown	myspec		myspe	myspec		myspec:LP-HYS		LP-HYS	pmagpy-2.143	g	8.877e-01	4.142e+01	20	u	273		273
