tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	185.0		g	10.3	3.001e-05	1	u	2.730e+02	0	0	0	0	2.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	187.5		g	10.5	2.986e-05	2	u	2.730e+02	0	0	0	0	3.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	184.2		g	9.8	2.982e-05	3	u	2.730e+02	0	2.500e-05	0.0	90.0	3.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	185.4		g	9.4	2.919e-05	4	u	2.730e+02	0	2.500e-05	0.0	90.0	4.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.1	187.4		g	9.4	2.925e-05	5	u	2.730e+02	0	0	0	0	4.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	188.3		g	10.4	2.748e-05	6	u	2.730e+02	0	0	0	0	5.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	187.9		g	7.8	2.713e-05	7	u	2.730e+02	0	2.500e-05	0.0	90.0	5.730e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.2	184.0		g	7.4	2.657e-05	8	u	2.730e+02	0	2.500e-05	0.0	90.0	6.230e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	0.3	186.7		g	10.9	2.671e-05	9	u	2.730e+02	0	0	0	0	6.230e+02
	This study	Socorro	sc12b	sc12	sc12b2		sc12b2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI		LT-T-Z:DE-VM:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	pmagpy-2.130	114.5	186.2	average of multiple measurements	g	10.8	2.672e-05	10	u	2.730e+02	0	0	0	0	6.730e+02
