tab	samples
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	result_type	sample	site	software_packages	specimens	location
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	8.82e-05	1.14e-06	1.24	3	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz05a	hz05a	pmagpy-3.4.1: thellier_gui.v.3.0	hz05a1:hz05a2:hz05a3	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.57e-05	5.16e-06	6.68	7	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz05b	hz05b	pmagpy-3.4.1: thellier_gui.v.3.0	hz05b1:hz05b2:hz05b3:hz05b4:hz05b5:hz05b6:hz05b7	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	8.32e-05	5.33e-07	0.61	6	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz05c	hz05c	pmagpy-3.4.1: thellier_gui.v.3.0	hz05c1:hz05c2:hz05c3:hz05c4:hz05c5:hz05c6	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.76e-05	5.58e-07	0.78	5	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz05e	hz05e	pmagpy-3.4.1: thellier_gui.v.3.0	hz05e2:hz05e3:hz05e4:hz05e5:hz05e6	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	8.15e-05	2.08e-06	2.46	5	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz05f	hz05f	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f1:hz05f2:hz05f3:hz05f4:hz05f6	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.33e-05	2.03e-06	2.60	6	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz05g	hz05g	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g1:hz05g2:hz05g3:hz05g4:hz05g5:hz05g6	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.78e-05	3.73e-06	5.23	7	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz06a	hz06a	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a1:hz06a2:hz06a3:hz06a4:hz06a5:hz06a6:hz06a7	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.07e-05	1.22e-06	1.60	5	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz06b	hz06b	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b1:hz06b2:hz06b3:hz06b4:hz06b5	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	7.77e-05	2.62e-06	3.16	3	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz06c	hz06c	pmagpy-3.4.1: thellier_gui.v.3.0	hz06c1:hz06c2:hz06c3	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.44e-05	2.02e-06	2.82	4	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz07a	hz07a	pmagpy-3.4.1: thellier_gui.v.3.0	hz07a1:hz07a2:hz07a4:hz07a5	
