Sample name,BExp,BAnc,σB,W = 1/(σB2),W×BAnc,W×(Banc-mw)2
187A  ,44.1,45.2,4.2,0.056689342403628114,2.562358276643991,4.912129802236089
283A  ,43.3,116.3,12.4,0.006503642039542143,0.7563735691987512,42.04957335441326
A-3-3     ,36.2,35.6,1.3,0.5917159763313609,21.06508875739645,0.05024613684840743
AL2770-3b ,35.8,26.0,3.9,0.06574621959237344,1.7094017094017093,6.432601067133665
BR06-4F   ,49.6,41.9,1.8,0.30864197530864196,12.932098765432098,11.142972990203967
C-4-4L    ,36.2,36.1,0.6,2.7777777777777777,100.27777777777777,0.12086811178065991
HEL2-2d   ,49.6,49.5,1.8,0.30864197530864196,15.277777777777777,57.158611121161336
KF-3-1     ,52.1,44.1,0.5,4.0,176.4,269.5242292148668
LV6C3A    ,24,23.4,0.7,2.0408163265306127,47.75510204081633,318.43910240096636
m428b1    ,25,25.1,1.7,0.34602076124567477,8.685121107266438,40.29563613943322
MCT       ,55.6,71.7,5.1,0.03844675124951942,2.7566320645905424,49.29856158426406
MSH6E13     ,55.6,22.1,2.8,0.1275510204081633,2.818877551020409,24.26056239147432
P1MY,45,30.1,0.6,2.7777777777777777,83.61111111111111,93.16764981287302
RD2358-4f ,37,85.7,7.8,0.01643655489809336,1.408612754766601,40.7773880699834
RS25b     ,30,29.3,0.6,2.7777777777777777,81.38888888888889,120.6849984841298
RS26a     ,60,63.2,2.9,0.11890606420927467,7.51486325802616,88.67532050823601
RS26e     ,60,58.1,2.2,0.20661157024793386,12.004132231404958,101.90532245347087
TS01-20A-2,45.7,50.1,1.3,0.5917159763313609,29.64497041420118,119.45811591202569
VM1F,44,74.0,3.6,0.07716049382716049,5.709876543209877,112.05749467067568
W3  ,60,60.7,2.4,0.1736111111111111,10.538194444444445,106.85181644608139
,,,,,,
,N,20.0,,17.408549094376426,624.8172590433754,1607.2632006722579
,m,49.41000000000001,,,,
,s,24.165240369283755,,,,
,dB(%),48.90759030415654,,,,
,dBN(%),66.3,,,,
,,,,,,
,mw,35.89140345103277,,,,
,sw,9.858263217987167,,,,
