Sample name,BLab,BExp,Tmin,Tmax,n,b,σb,BAnc,σB,f,fvds,FRAC,β,g,GAP-MAX,q,w,k→,SSE,k',SCAT (@ βthreshold = 0.1),R2corr,R2det,Z,Z*,IZZI_MD,Dec_Anc,Inc_Anc,MAD_Anc,Dec_Fee,Inc_Free,MAD_Free,α,α',θ,DANG,NRMdev,γ,CRM(%),npTRM,check(%),dCK,DRAT,maxDEV,CDRAT,CDRAT',DRATS,DRATS',Mean DRAT,Mean DRAT',Mean DEV,Mean DEV',dpal,nTail,DRATTail,dTR,MDVDS,dt*,nAdd,dAC,c
187A  ,50.0,44.1,150,300,4,-0.904,0.084,45.2,4.2,0.302,0.316,0.327,0.093,0.645,0.371,2.1,1.5,0.356,0.004,-0.113,1,0.983,0.996,0.1,1.9,0.043,148.9,15.2,0.9,146.1,18.7,1.7,4.4,57.4,108.7,4.6,4.9,3.2,333.4,3,26.9,6.4,15.8,21.3,22.0,34.9,16.8,26.7,7.3,11.6,9.9,15.7,41.4,3,7.8,3.5,3.7,5.9,,,
283A  ,50.0,43.3,200,450,6,-2.327,0.248,116.3,12.4,0.401,0.438,0.439,0.107,0.68,0.588,2.6,1.3,-0.546,0.0,-0.656,0,0.955,0.989,0.4,3.3,0.013,136.2,-15.1,1.0,140.2,-15.1,3.7,3.9,73.2,74.9,4.0,5.1,3.3,708.7,5,35.3,6.5,6.4,16.3,18.2,18.2,35.2,35.2,3.6,3.6,9.2,9.2,82.7,5,0.9,0.4,0.4,3.7,,,
A-3-3     ,30.0,36.2,330,580,10,-1.187,0.044,35.6,1.3,0.909,0.87,0.866,0.037,0.865,0.178,21.4,7.6,0.118,0.004,0.117,1,0.989,0.997,0.3,2.7,0.019,123.2,77.1,0.4,124.1,77.4,0.6,0.4,34.7,167.4,0.5,0.5,1.0,110.5,5,14.6,9.8,6.9,10.8,6.6,12.3,9.3,17.5,1.3,2.5,2.0,3.8,8.7,0,,,,,,,
AL2770-3b ,25.0,35.8,100,350,9,-1.038,0.155,26.0,3.9,0.344,0.289,0.396,0.15,0.836,0.203,1.9,0.7,0.28,0.023,-0.566,0,0.849,0.961,0.4,4.5,0.053,163.8,-46.5,3.5,152.6,-28.8,14.4,19.8,112.2,118.8,20.2,26.9,7.9,414.4,4,244.2,9.3,18.8,27.2,35.8,41.3,47.7,54.9,9.0,10.3,12.9,14.9,34.4,0,,,,,,,
BR06-4F   ,50.3,49.6,0,580,14,-0.834,0.037,41.9,1.8,0.969,0.894,0.961,0.044,0.858,0.281,18.9,5.5,0.103,0.011,0.103,1,0.977,0.994,0.4,3.6,0.021,158.3,12.9,2.4,158.7,11.7,3.7,1.3,65.6,155.8,1.9,1.3,4.8,78.5,6,8.3,4.2,3.4,4.4,1.0,8.0,1.3,10.4,0.2,1.3,0.2,1.7,2.1,4,1.0,1.6,1.5,0.0,,,
C-4-4L    ,30.0,36.2,425,540,6,-1.204,0.019,36.1,0.6,0.505,0.471,0.477,0.016,0.711,0.374,22.5,11.3,-0.002,0.002,-0.027,1,0.999,1.0,0.0,0.6,0.007,31.8,39.6,0.3,31.1,40.2,0.8,0.8,42.4,130.2,0.9,0.9,85.3,241.2,4,69.1,2.5,3.2,5.0,0.4,6.0,0.5,6.5,0.1,1.5,0.2,2.3,0.5,0,,,,,,,
HEL2-2d   ,50.3,49.6,0,350,7,-0.985,0.037,49.5,1.8,0.576,0.572,0.583,0.037,0.707,0.466,11.0,4.9,0.131,0.002,-0.146,1,0.993,0.998,0.1,1.3,0.01,75.9,60.6,0.9,75.9,60.5,3.3,0.1,17.7,83.1,0.1,0.1,7.3,51.8,2,28.0,8.1,10.0,14.1,10.5,10.5,14.7,14.7,5.2,5.2,7.4,7.4,16.1,2,2.4,1.9,1.9,0.0,,,
KF-3-1     ,60.0,52.1,0,550,13,-0.735,0.008,44.1,0.5,0.986,0.983,0.982,0.011,0.824,0.365,75.2,22.7,0.009,0.001,0.009,1,0.999,1.0,0.1,0.8,0.011,128.3,59.0,0.5,128.2,58.6,0.6,0.4,26.9,31.4,0.6,0.3,2.0,47.4,5,4.4,3.8,3.1,3.9,7.7,7.7,9.5,9.5,1.5,1.5,1.9,1.9,9.1,0,,,,,,,
LV6C3A    ,30.0,24.0,260,580,9,-0.78,0.023,23.4,0.7,0.935,0.695,0.818,0.03,0.719,0.398,22.8,8.6,-0.009,0.005,-0.065,1,0.994,0.998,0.2,2.6,0.044,155.8,-40.1,2.0,156.5,-39.2,3.4,1.0,103.5,50.8,1.4,1.4,0.9,115.0,6,51.4,5.0,4.2,5.4,7.2,10.7,8.6,12.7,1.2,1.8,1.5,2.3,6.7,13,3.9,6.0,4.5,4.4,,,
m428b1    ,25.0,25.0,0,575,9,-1.493,0.067,25.1,1.7,0.948,0.912,0.981,0.045,0.576,0.562,12.2,4.6,-0.35,0.001,-0.35,1,0.986,0.997,0.2,2.1,0.431,333.3,-5.5,1.3,332.5,-5.1,3.5,0.9,112.6,95.1,1.0,1.4,15.5,199.0,3,23.1,0.9,0.5,1.0,0.1,1.2,0.2,2.1,0.0,0.4,0.1,0.7,0.7,0,,,,,,,0.673
