tab 	er_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	specimen_volume
	This study	UTESTA	XXX-UTESTA-1H-3_W_88	XXX-UTESTA-1H-3_W_88	XXX-UTESTA-1H-3_W_88	XXX-UTESTA-1H-3_W_88:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-1H-1_W_62	XXX-UTESTA-1H-1_W_62	XXX-UTESTA-1H-1_W_62	XXX-UTESTA-1H-1_W_62:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-1H-2_W_87	XXX-UTESTA-1H-2_W_87	XXX-UTESTA-1H-2_W_87	XXX-UTESTA-1H-2_W_87:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-2H-1_W_87	XXX-UTESTA-2H-1_W_87	XXX-UTESTA-2H-1_W_87	XXX-UTESTA-2H-1_W_87:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-2H-3_W_77	XXX-UTESTA-2H-3_W_77	XXX-UTESTA-2H-3_W_77	XXX-UTESTA-2H-3_W_77:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-2H-2_W_97	XXX-UTESTA-2H-2_W_97	XXX-UTESTA-2H-2_W_97	XXX-UTESTA-2H-2_W_97:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-2H-4_W_70	XXX-UTESTA-2H-4_W_70	XXX-UTESTA-2H-4_W_70	XXX-UTESTA-2H-4_W_70:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-3H-1_W_61	XXX-UTESTA-3H-1_W_61	XXX-UTESTA-3H-1_W_61	XXX-UTESTA-3H-1_W_61:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-3H-2_W_86	XXX-UTESTA-3H-2_W_86	XXX-UTESTA-3H-2_W_86	XXX-UTESTA-3H-2_W_86:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
	This study	UTESTA	XXX-UTESTA-3H-3_W_86	XXX-UTESTA-3H-3_W_86	XXX-UTESTA-3H-3_W_86	XXX-UTESTA-3H-3_W_86:LP-AN-MS	-ins IODP-KLY4S	7.000e-06
