Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CCSF-XXX-U1456-ABC-20150419-Rev1 (m),Length (cm),Volume (cc),Sample type,Test,Request Code,Request number,Sample name,Text identifier,Date sample logged,Sample entered by,Location,Comments,Label identifier
XXX,UTEST,A,1,H,1,W,62,64,0.62,0.64,0.62,0.64,2,7,CUBE,PMAG,,,PMAG,CUBE6603801,4/10/15 3:04,JRS_LIMATANGO,JR,,XXX-UTESTA-1H-1-W 62/64-PMAG
XXX,UTEST,A,1,H,2,W,87,89,2.37,2.39,2.37,2.39,2,7,CUBE,PMAG,,,PMAG,CUBE6603811,4/10/15 3:05,JRS_LIMATANGO,JR,,XXX-UTESTA-1H-2-W 87/89-PMAG
XXX,UTEST,A,1,H,3,W,88,90,3.88,3.9,3.88,3.9,2,7,CUBE,PMAG,,,PMAG,CUBE6603821,4/10/15 3:08,JRS_LIMATANGO,JR,,XXX-UTESTA-1H-3-W 88/90-PMAG
XXX,UTEST,A,2,H,1,W,87,89,5.37,5.39,6.888,6.908,2,7,CUBE,PMAG,,,PMAG,CUBE6607161,4/10/15 5:59,JRS_LIMATANGO,JR,,XXX-UTESTA-2H-1-W 87/89-PMAG
XXX,UTEST,A,2,H,2,W,97,99,6.97,6.99,8.488,8.508,2,7,CUBE,PMAG,,,PMAG,CUBE6607171,4/10/15 6:00,JRS_LIMATANGO,JR,,XXX-UTESTA-2H-2-W 97/99-PMAG
XXX,UTEST,A,2,H,3,W,77,79,8.27,8.29,9.788,9.808,2,7,CUBE,PMAG,,,PMAG,CUBE6607181,4/10/15 6:00,JRS_LIMATANGO,JR,,XXX-UTESTA-2H-3-W 77/79-PMAG
XXX,UTEST,A,2,H,4,W,70,72,9.7,9.72,11.218,11.238,2,7,CUBE,PMAG,,,PMAG,CUBE6607191,4/10/15 6:00,JRS_LIMATANGO,JR,,XXX-UTESTA-2H-4-W 70/72-PMAG
XXX,UTEST,A,3,H,1,W,61,63,14.61,14.63,16.556,16.576,2,7,CUBE,PMAG,,,PMAG,CUBE6608331,4/10/15 0:00,JRS_LIMATANGO,JR,,XXX-UTESTA-3H-1-W 61/63-PMAG
XXX,UTEST,A,3,H,2,W,86,88,16.36,16.38,18.306,18.326,2,7,CUBE,PMAG,,,PMAG,CUBE6608341,4/10/15 0:00,JRS_LIMATANGO,JR,,XXX-UTESTA-3H-2-W 86/88-PMAG
XXX,UTEST,A,3,H,3,W,86,88,17.86,17.88,19.806,19.826,2,7,CUBE,PMAG,,,PMAG,CUBE6608351,4/10/15 0:00,JRS_LIMATANGO,JR,,XXX-UTESTA-3H-3-W 86/88-PMAG
