tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.3	198.6		g	-40.9	1.500e-06	1	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	321.3		g	3.0	1.840e-05	2	u	2.730e+02	1.800e-01	5.000e-05	315.0	0.0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.1	314.6		g	-0.1	4.858e-06	3	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	237.5		g	-5.3	2.160e-05	4	u	2.730e+02	1.800e-01	5.000e-05	225.0	0.0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	262.3		g	-6.4	6.515e-06	5	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.1	200.9		g	-7.4	2.290e-05	6	u	2.730e+02	1.800e-01	5.000e-05	180.0	0.0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	205.7		g	-15.3	7.913e-06	7	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.3	133.5		g	-55.6	2.335e-05	8	u	2.730e+02	1.800e-01	5.000e-05	90.0	-45.0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	127.4		g	-46.4	6.485e-06	9	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.4	248.3		g	-60.6	2.482e-05	10	u	2.730e+02	1.800e-01	5.000e-05	270.0	-45.0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.4	199.7		g	-69.3	8.918e-06	11	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	259.6		g	-21.1	2.238e-05	12	u	2.730e+02	1.800e-01	5.000e-05	270.0	0.0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.3	248.6		g	-21.5	8.349e-06	13	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.1	204.0		g	31.8	2.037e-05	14	u	2.730e+02	1.800e-01	5.000e-05	180.0	45.0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	213.2		g	26.1	5.390e-06	15	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	193.5		g	-35.5	2.661e-05	16	u	2.730e+02	1.800e-01	5.000e-05	180.0	-45.0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.1	202.3		g	-10.0	7.232e-06	17	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.01	bg2	bg2.01		bg2.01:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.4	205.1		g	-68.4	2.596e-05	18	u	2.730e+02	1.800e-01	5.000e-05	0.0	-90.0	2.730e+02
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.1	205.9		g	-7.8	1.691e-06	1	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	310.5		g	6.9	1.636e-05	2	u	2.730e+02	1.800e-01	5.000e-05	315.0	0.0	2.730e+02
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	307.1		g	8.5	5.031e-06	3	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	237.9		g	-1.3	1.960e-05	4	u	2.730e+02	1.800e-01	5.000e-05	225.0	0.0	2.730e+02
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	261.7		g	-2.5	5.831e-06	5	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	198.8		g	-6.1	2.019e-05	6	u	2.730e+02	1.800e-01	5.000e-05	180.0	0.0	2.730e+02
	This study	Bushveld	bg2.03	bg2	bg2.03		bg2.03:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	201.8		g	-14.5	6.648e-06	7	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
