tab 	er_ages
age	age_description	age_unit	er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes
0.44	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H-2-W-35	318-U1361A-001H-2-W-35	GM-INT:GM-POL:GM-FOSSIL
0.52	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H-3-W-90	318-U1361A-001H-3-W-90	GM-INT:GM-POL:GM-FOSSIL
0.57	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H-4-W-50	318-U1361A-001H-4-W-50	GM-INT:GM-POL:GM-FOSSIL
0.64	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H-5-W-59	318-U1361A-001H-5-W-59	GM-INT:GM-POL:GM-FOSSIL
0.70	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H-6-W-60	318-U1361A-001H-6-W-60	GM-INT:GM-POL:GM-FOSSIL
0.42	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.1	318-U1361A-001H_2A-0.1	GM-INT:GM-POL:GM-FOSSIL
0.43	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.15	318-U1361A-001H_2A-0.15	GM-INT:GM-POL:GM-FOSSIL
0.43	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.2	318-U1361A-001H_2A-0.2	GM-INT:GM-POL:GM-FOSSIL
0.43	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.25	318-U1361A-001H_2A-0.25	GM-INT:GM-POL:GM-FOSSIL
0.43	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.3	318-U1361A-001H_2A-0.3	GM-INT:GM-POL:GM-FOSSIL
0.44	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.35	318-U1361A-001H_2A-0.35	GM-INT:GM-POL:GM-FOSSIL
0.44	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.4	318-U1361A-001H_2A-0.4	GM-INT:GM-POL:GM-FOSSIL
0.44	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.45	318-U1361A-001H_2A-0.45	GM-INT:GM-POL:GM-FOSSIL
0.44	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.5	318-U1361A-001H_2A-0.5	GM-INT:GM-POL:GM-FOSSIL
0.44	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.55	318-U1361A-001H_2A-0.55	GM-INT:GM-POL:GM-FOSSIL
0.45	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.6	318-U1361A-001H_2A-0.6	GM-INT:GM-POL:GM-FOSSIL
0.45	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.65	318-U1361A-001H_2A-0.65	GM-INT:GM-POL:GM-FOSSIL
0.45	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.7	318-U1361A-001H_2A-0.7	GM-INT:GM-POL:GM-FOSSIL
0.45	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.75	318-U1361A-001H_2A-0.75	GM-INT:GM-POL:GM-FOSSIL
0.45	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.8	318-U1361A-001H_2A-0.8	GM-INT:GM-POL:GM-FOSSIL
0.46	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.85	318-U1361A-001H_2A-0.85	GM-INT:GM-POL:GM-FOSSIL
0.46	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.9	318-U1361A-001H_2A-0.9	GM-INT:GM-POL:GM-FOSSIL
0.46	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-0.95	318-U1361A-001H_2A-0.95	GM-INT:GM-POL:GM-FOSSIL
0.46	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1	318-U1361A-001H_2A-1	GM-INT:GM-POL:GM-FOSSIL
0.46	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1.05	318-U1361A-001H_2A-1.05	GM-INT:GM-POL:GM-FOSSIL
0.47	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1.1	318-U1361A-001H_2A-1.1	GM-INT:GM-POL:GM-FOSSIL
0.47	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1.15	318-U1361A-001H_2A-1.15	GM-INT:GM-POL:GM-FOSSIL
0.47	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1.2	318-U1361A-001H_2A-1.2	GM-INT:GM-POL:GM-FOSSIL
0.47	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1.25	318-U1361A-001H_2A-1.25	GM-INT:GM-POL:GM-FOSSIL
0.48	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1.3	318-U1361A-001H_2A-1.3	GM-INT:GM-POL:GM-FOSSIL
0.48	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1.35	318-U1361A-001H_2A-1.35	GM-INT:GM-POL:GM-FOSSIL
0.48	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1.4	318-U1361A-001H_2A-1.4	GM-INT:GM-POL:GM-FOSSIL
0.48	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-001H_2A-1.45	318-U1361A-001H_2A-1.45	GM-INT:GM-POL:GM-FOSSIL
